    nm         	pN
0.000000e+000	4.898206e+002
-4.717291e-003	4.785689e+002
7.185700e-003	4.680686e+002
-4.735069e-002	4.545644e+002
-2.229237e-003	4.455660e+002
-1.232026e-001	4.290580e+002
-9.470016e-002	4.193083e+002
-6.617872e-002	4.095594e+002
-7.089479e-002	3.983077e+002
-1.420306e-001	3.840530e+002
-1.633473e-001	3.720508e+002
-2.012837e-001	3.592971e+002
-2.558188e-001	3.457929e+002
-3.103540e-001	3.322888e+002
-2.486331e-001	3.240410e+002
-2.865492e-001	3.112882e+002
-2.912659e-001	3.000365e+002
-2.959832e-001	2.887848e+002
-3.172993e-001	2.767826e+002
-3.386160e-001	2.647804e+002
-2.602755e-001	2.572839e+002
-3.646297e-001	2.415273e+002
-3.195076e-001	2.325290e+002
-4.571012e-001	2.152695e+002
-4.285989e-001	2.055198e+002
-4.997346e-001	1.912651e+002
-5.044513e-001	1.800134e+002
-5.091484e-001	1.687626e+002
-4.972650e-001	1.582614e+002
-5.019626e-001	1.470106e+002
-5.398984e-001	1.342569e+002
-5.944342e-001	1.207528e+002
-6.157509e-001	1.087505e+002
-6.702867e-001	9.524637e+001
-6.085652e-001	8.699855e+001
-5.800431e-001	7.724968e+001
-5.847599e-001	6.599798e+001
-5.562384e-001	5.624910e+001
-5.277360e-001	4.649934e+001
-5.490521e-001	3.449712e+001
-5.869682e-001	2.174437e+001
-6.249040e-001	8.990728e+000
-6.794403e-001	-4.513430e+000
-6.841564e-001	-1.576513e+001
-7.054731e-001	-2.776735e+001
-7.267898e-001	-3.976958e+001
-7.148868e-001	-5.026986e+001
-6.199463e-001	-5.701574e+001
-7.077011e-001	-7.202185e+001
-8.120566e-001	-8.777849e+001
-8.333721e-001	-9.978070e+001
-7.882506e-001	-1.087791e+002
-8.095870e-001	-1.207822e+002
-8.641221e-001	-1.342863e+002
-8.190007e-001	-1.432847e+002
-7.074411e-001	-1.492791e+002
-6.789190e-001	-1.590280e+002
-7.832929e-001	-1.747855e+002
-8.212103e-001	-1.875383e+002
-8.425454e-001	-1.995414e+002
-7.642043e-001	-2.070378e+002
-9.017782e-001	-2.242964e+002
-8.732770e-001	-2.340461e+002
-9.111919e-001	-2.467989e+002
-8.826908e-001	-2.565487e+002
-9.206265e-001	-2.693023e+002
-8.921044e-001	-2.790512e+002
-9.134212e-001	-2.910534e+002
-9.347378e-001	-3.030556e+002
-9.726724e-001	-3.158092e+002
-1.010609e+000	-3.285629e+002
-1.015306e+000	-3.398137e+002
-9.868046e-001	-3.495635e+002
-9.416820e-001	-3.585618e+002
-9.629999e-001	-3.705641e+002
-1.050755e+000	-3.855702e+002
-1.055451e+000	-3.968210e+002
-9.771308e-001	-4.043183e+002
-1.015046e+000	-4.170710e+002
-1.069582e+000	-4.305752e+002
-1.057679e+000	-4.410755e+002
-1.095614e+000	-4.538291e+002
-1.067092e+000	-4.635780e+002
-1.121650e+000	-4.770830e+002
-1.093128e+000	-4.868319e+002
-1.031405e+000	-4.950797e+002
-1.036104e+000	-5.063306e+002
-9.577612e-001	-5.138269e+002
-9.458607e-001	-5.243272e+002
-1.083451e+000	-5.415867e+002
-1.071550e+000	-5.520870e+002
-1.009827e+000	-5.603348e+002
-9.979237e-001	-5.708350e+002
-1.002625e+000	-5.820859e+002
-1.090377e+000	-5.970920e+002
-1.028657e+000	-6.053398e+002
-9.503167e-001	-6.128362e+002
-9.550328e-001	-6.240879e+002
-9.265108e-001	-6.338368e+002
-9.810447e-001	-6.473410e+002
-8.861054e-001	-6.540868e+002
-8.409839e-001	-6.630852e+002
-8.456803e-001	-6.743360e+002
-8.337970e-001	-6.848372e+002
-8.717143e-001	-6.975899e+002
-7.435541e-001	-7.028339e+002
-6.485951e-001	-7.095789e+002
-6.865296e-001	-7.223325e+002
-6.247891e-001	-7.305795e+002
-6.295052e-001	-7.418312e+002
-5.843837e-001	-7.508295e+002
-4.562259e-001	-7.560735e+002
-5.273617e-001	-7.703282e+002
-6.151166e-001	-7.853342e+002
-5.533933e-001	-7.935820e+002
-4.750509e-001	-8.010784e+002
-3.967110e-001	-8.085749e+002
-3.848104e-001	-8.190752e+002
-1.902132e-001	-8.213152e+002
-9.525183e-002	-8.280602e+002
2.275228e+000	-7.319220e+002
1.165498e+001	-3.188729e+002
1.729755e+001	-7.479323e+001
1.820636e+001	-4.474119e+001
1.843420e+001	-4.547843e+001
1.861220e+001	-4.846902e+001
1.857426e+001	-6.122265e+001
1.865260e+001	-6.871906e+001
1.896348e+001	-6.570190e+001
1.927435e+001	-6.268474e+001
1.930286e+001	-7.243450e+001
1.933138e+001	-8.218338e+001
1.935988e+001	-9.193314e+001
1.978703e+001	-8.365875e+001
1.994841e+001	-8.740076e+001
2.044200e+001	-7.612249e+001
2.053694e+001	-8.286837e+001
2.058206e+001	-9.186672e+001
