    nm         	pN
0.000000e+000	6.147792e+002
2.850240e-002	6.050295e+002
-9.411254e-003	5.922768e+002
-3.072673e-002	5.802747e+002
-8.524470e-002	5.667713e+002
-2.227843e-001	5.495143e+002
-1.112652e-001	5.435180e+002
-1.657832e-001	5.300146e+002
-1.704894e-001	5.187634e+002
-2.914308e-001	5.022568e+002
-3.127389e-001	4.902549e+002
-3.174501e-001	4.790035e+002
-3.553649e-001	4.662508e+002
-4.098835e-001	4.527474e+002
-4.644058e-001	4.392439e+002
-5.023207e-001	4.264912e+002
-5.236306e-001	4.144892e+002
-5.615492e-001	4.017364e+002
-5.828591e-001	3.897345e+002
-6.539820e-001	3.754803e+002
-6.919013e-001	3.627275e+002
-7.630241e-001	3.484733e+002
-7.843390e-001	3.364712e+002
-8.056483e-001	3.244693e+002
-7.937496e-001	3.139688e+002
-7.818559e-001	3.034681e+002
-8.529788e-001	2.892140e+002
-9.241017e-001	2.749599e+002
-9.786252e-001	2.614563e+002
-1.082957e+000	2.457007e+002
-1.004641e+000	2.382032e+002
-1.092373e+000	2.231981e+002
-1.130287e+000	2.104454e+002
-1.201415e+000	1.961911e+002
-1.156307e+000	1.871921e+002
-1.227430e+000	1.729380e+002
-1.232141e+000	1.616866e+002
-1.220241e+000	1.511861e+002
-1.208343e+000	1.406856e+002
-1.229657e+000	1.286835e+002
-1.284177e+000	1.151801e+002
-1.371903e+000	1.001753e+002
-1.376614e+000	8.892383e+001
-1.397924e+000	7.692191e+001
-1.419233e+000	6.491999e+001
-1.473757e+000	5.141638e+001
-1.561484e+000	3.641152e+001
-1.566195e+000	2.516012e+001
-1.537691e+000	1.541039e+001
-1.592210e+000	1.906996e+000
-1.679937e+000	-1.309784e+001
-1.651433e+000	-2.284757e+001
-1.689358e+000	-3.560066e+001
-1.743876e+000	-4.910405e+001
-1.781791e+000	-6.185671e+001
-1.886122e+000	-7.761230e+001
-1.890827e+000	-8.886350e+001
-1.878939e+000	-9.936440e+001
-1.883644e+000	-1.106156e+002
-1.904953e+000	-1.226175e+002
-1.976077e+000	-1.368716e+002
-2.097013e+000	-1.533779e+002
-2.118332e+000	-1.653803e+002
-2.139642e+000	-1.773822e+002
-2.094535e+000	-1.863812e+002
-2.149053e+000	-1.998846e+002
-2.153759e+000	-2.111358e+002
-2.274694e+000	-2.276421e+002
-2.296015e+000	-2.396445e+002
-2.367137e+000	-2.538986e+002
-2.305425e+000	-2.621469e+002
-2.393153e+000	-2.771517e+002
-2.431067e+000	-2.899044e+002
-2.468991e+000	-3.026575e+002
-2.440487e+000	-3.124072e+002
-2.428589e+000	-3.229077e+002
-2.499710e+000	-3.371618e+002
-2.504416e+000	-3.484130e+002
-2.558936e+000	-3.619164e+002
-2.530443e+000	-3.716666e+002
-2.651380e+000	-3.881729e+002
-2.539853e+000	-3.941689e+002
-2.527955e+000	-4.046694e+002
-2.582472e+000	-4.181728e+002
-2.570574e+000	-4.286732e+002
-2.641707e+000	-4.429278e+002
-2.746039e+000	-4.586834e+002
-2.833767e+000	-4.736883e+002
-2.855075e+000	-4.856902e+002
-2.826570e+000	-4.954399e+002
-2.914308e+000	-5.104452e+002
-2.968827e+000	-5.239486e+002
-3.106368e+000	-5.412056e+002
-3.127679e+000	-5.532075e+002
-2.982943e+000	-5.577021e+002
-2.987650e+000	-5.689533e+002
-3.025572e+000	-5.817064e+002
-3.113300e+000	-5.967113e+002
-3.034984e+000	-6.042088e+002
-3.006482e+000	-6.139586e+002
-2.977980e+000	-6.237083e+002
-3.132122e+000	-6.417160e+002
-3.186651e+000	-6.552199e+002
-3.207962e+000	-6.672218e+002
-3.196061e+000	-6.777223e+002
-3.250581e+000	-6.912256e+002
-3.321704e+000	-7.054798e+002
-3.376233e+000	-7.189836e+002
-3.281313e+000	-7.257304e+002
-3.369039e+000	-7.407353e+002
-3.390349e+000	-7.527372e+002
-3.511283e+000	-7.692435e+002
-3.466177e+000	-7.782425e+002
-3.421070e+000	-7.872415e+002
-3.409182e+000	-7.977424e+002
-3.314262e+000	-8.044892e+002
-3.269151e+000	-8.134881e+002
-3.224044e+000	-8.224871e+002
-3.112520e+000	-8.284832e+002
-2.967787e+000	-8.329778e+002
-2.955889e+000	-8.434783e+002
-2.894176e+000	-8.517265e+002
-2.948704e+000	-8.652303e+002
-3.086243e+000	-8.824874e+002
-3.041136e+000	-8.914864e+002
-2.962821e+000	-8.989839e+002
-3.050549e+000	-9.139887e+002
-3.038650e+000	-9.244892e+002
-2.927136e+000	-9.304857e+002
