    nm         	pN
0.000000e+000	4.051545e+002
-5.457937e-002	3.916484e+002
-1.424048e-001	3.766391e+002
6.898207e-002	3.751581e+002
3.101562e-002	3.624031e+002
-1.066780e-001	3.451391e+002
-1.446347e-001	3.323845e+002
-1.636208e-002	3.271457e+002
-4.449880e-003	3.166458e+002
-9.161032e-003	3.053944e+002
-6.375022e-002	2.918878e+002
-1.349529e-001	2.776301e+002
-5.654856e-002	2.701366e+002
-7.788244e-002	2.581335e+002
-2.155761e-001	2.408695e+002
-2.867788e-001	2.266118e+002
-3.579914e-001	2.123536e+002
-3.294561e-001	2.026054e+002
-3.674124e-001	1.898508e+002
-4.219921e-001	1.763446e+002
-5.098172e-001	1.613354e+002
-5.311609e-001	1.493319e+002
-4.527572e-001	1.418383e+002
-5.073366e-001	1.283322e+002
-5.619160e-001	1.148261e+002
-6.164953e-001	1.013199e+002
-5.879603e-001	9.157163e+001
-5.095664e-001	8.407763e+001
-5.807692e-001	6.981991e+001
-5.356108e-001	6.082320e+001
-5.901908e-001	4.731705e+001
-5.616553e-001	3.756878e+001
-5.663664e-001	2.631735e+001
-6.043323e-001	1.356234e+001
-6.755350e-001	-6.953750e-001
-5.805079e-001	-7.437366e+000
-4.854814e-001	-1.417936e+001
-4.901925e-001	-2.543079e+001
-5.946401e-001	-4.119165e+001
-6.326071e-001	-5.394667e+001
-6.206949e-001	-6.444652e+001
-6.586516e-001	-7.720110e+001
-6.633615e-001	-8.845252e+001
-6.846954e-001	-1.004555e+002
-7.392748e-001	-1.139617e+002
-7.273730e-001	-1.244620e+002
-7.487069e-001	-1.364650e+002
-7.700408e-001	-1.484680e+002
-7.747507e-001	-1.597194e+002
-8.459528e-001	-1.739771e+002
-8.672879e-001	-1.859801e+002
-8.886304e-001	-1.979836e+002
-8.268494e-001	-2.062287e+002
-7.650696e-001	-2.144738e+002
-3.375847e-001	-2.061844e+002
1.231458e-001	-1.963918e+002
2.680405e-001	-2.008790e+002
4.628046e-001	-2.031116e+002
5.744551e-001	-2.091020e+002
2.871537e-001	-2.331302e+002
2.159516e-001	-2.473879e+002
2.943554e-001	-2.548815e+002
4.891195e-001	-2.571140e+002
5.342680e-001	-2.661112e+002
7.789003e-001	-2.660890e+002
1.223018e+000	-2.570475e+002
1.301412e+000	-2.645415e+002
1.462930e+000	-2.682772e+002
1.524710e+000	-2.765224e+002
1.835835e+000	-2.734939e+002
1.964108e+000	-2.787328e+002
2.341723e+000	-2.726980e+002
2.602978e+000	-2.719243e+002
2.631513e+000	-2.816726e+002
2.909392e+000	-2.801473e+002
3.021041e+000	-2.861377e+002
3.132691e+000	-2.921281e+002
3.427192e+000	-2.898512e+002
4.453112e+000	-2.545047e+002
5.146562e+000	-2.341901e+002
6.272208e+000	-1.943346e+002
7.697075e+000	-1.409503e+002
8.224298e+000	-1.281514e+002
8.834644e+000	-1.115942e+002
8.913048e+000	-1.190878e+002
8.941572e+000	-1.288365e+002
9.086468e+000	-1.333238e+002
9.131625e+000	-1.423205e+002
1.004118e+001	-1.122350e+002
1.043542e+001	-1.054487e+002
1.004838e+001	-1.339867e+002
1.055898e+001	-1.219394e+002
1.105296e+001	-1.106432e+002
1.159681e+001	-9.709272e+001
1.202429e+001	-8.880325e+001
1.230217e+001	-8.727795e+001
1.277952e+001	-7.673377e+001
1.219301e+001	-1.142902e+002
1.265374e+001	-1.044976e+002
1.289837e+001	-1.044755e+002
1.305989e+001	-1.082112e+002
1.350400e+001	-9.917014e+001
1.374863e+001	-9.914798e+001
1.337821e+001	-1.269344e+002
1.398855e+001	-1.103772e+002
1.423318e+001	-1.103551e+002
1.446119e+001	-1.110845e+002
1.478894e+001	-1.073045e+002
1.445176e+001	-1.335878e+002
1.519509e+001	-1.110180e+002
1.543973e+001	-1.109959e+002
1.528540e+001	-1.290119e+002
1.548016e+001	-1.312444e+002
1.577466e+001	-1.289675e+002
1.560372e+001	-1.477347e+002
1.558239e+001	-1.597377e+002
1.582702e+001	-1.597155e+002
1.635425e+001	-1.469166e+002
1.600045e+001	-1.739511e+002
1.621184e+001	-1.754321e+002
1.643985e+001	-1.761615e+002
1.668448e+001	-1.761393e+002
1.656340e+001	-1.926522e+002
1.642571e+001	-2.099162e+002
1.673683e+001	-2.068878e+002
1.689835e+001	-2.106234e+002
1.696013e+001	-2.188686e+002
1.707178e+001	-2.248590e+002
1.715018e+001	-2.323526e+002
1.717872e+001	-2.421009e+002
1.727375e+001	-2.488429e+002
1.715267e+001	-2.653557e+002
1.731418e+001	-2.690914e+002
1.739259e+001	-2.765850e+002
1.745437e+001	-2.848301e+002
1.756602e+001	-2.908206e+002
1.746157e+001	-3.065814e+002
1.760646e+001	-3.110687e+002
1.768487e+001	-3.185623e+002
1.773003e+001	-3.275590e+002
1.757570e+001	-3.455750e+002
1.906706e+001	-2.891844e+002
2.072465e+001	-2.252782e+002
2.042072e+001	-2.500579e+002
2.111418e+001	-2.297433e+002
2.411823e+001	-1.049592e+002
2.594204e+001	-3.353718e+001
2.538877e+001	-6.959094e+001
2.578301e+001	-6.280462e+001
2.631024e+001	-5.000528e+001
2.630552e+001	-6.125716e+001
2.669976e+001	-5.447084e+001
2.679479e+001	-6.121283e+001
2.659060e+001	-8.148313e+001
2.706795e+001	-7.093896e+001
2.734583e+001	-6.941365e+001
2.774007e+001	-6.262733e+001
2.765224e+001	-7.763662e+001
2.852856e+001	-4.905426e+001
2.869007e+001	-5.279040e+001
2.873522e+001	-6.178712e+001
2.844792e+001	-8.581526e+001
2.890865e+001	-7.602267e+001
2.905355e+001	-8.050995e+001
2.914858e+001	-8.725193e+001
2.982540e+001	-6.768888e+001
2.980407e+001	-7.969188e+001
2.979936e+001	-9.094330e+001
2.979465e+001	-1.021947e+002
3.012239e+001	-9.841471e+001
3.041690e+001	-9.613784e+001
3.019609e+001	-1.171597e+002
3.045734e+001	-1.163860e+002
3.073522e+001	-1.148607e+002
3.099648e+001	-1.140869e+002
3.097513e+001	-1.260904e+002
3.087069e+001	-1.418512e+002
3.166388e+001	-1.170267e+002
3.200825e+001	-1.124951e+002
3.165445e+001	-1.395300e+002
3.178273e+001	-1.447689e+002
3.166165e+001	-1.612813e+002
3.213901e+001	-1.507371e+002
3.208443e+001	-1.642433e+002
3.239555e+001	-1.612148e+002
3.244071e+001	-1.702115e+002
3.273521e+001	-1.679347e+002
3.396059e+001	-1.235697e+002
3.536884e+001	-7.093702e+001
3.582957e+001	-6.114442e+001
3.545916e+001	-8.893044e+001
3.601962e+001	-7.462840e+001
3.601491e+001	-8.587983e+001
3.617643e+001	-8.961552e+001
3.613847e+001	-1.023701e+002
3.613376e+001	-1.136215e+002
3.682721e+001	-9.330690e+001
3.700535e+001	-9.629104e+001
3.773205e+001	-7.447327e+001
3.902394e+001	-2.710158e+001
3.950129e+001	-1.655741e+001
3.972930e+001	-1.728683e+001
3.977446e+001	-2.628353e+001
4.003571e+001	-2.550980e+001
3.983153e+001	-4.578010e+001
4.044186e+001	-2.922334e+001
4.091922e+001	-1.867916e+001
4.131346e+001	-1.189285e+001
4.164120e+001	-8.112814e+000
4.166974e+001	-1.786110e+001
4.181463e+001	-2.234838e+001
4.152733e+001	-4.637653e+001
4.162235e+001	-5.311897e+001
4.246542e+001	-2.603976e+001
4.267680e+001	-2.752073e+001
4.350324e+001	-1.193538e+000
4.334892e+001	-1.920911e+001
4.296188e+001	-4.774671e+001
4.367196e+001	-2.668052e+001
4.411606e+001	-1.763949e+001
4.362928e+001	-5.068696e+001
4.410664e+001	-4.014234e+001
4.468373e+001	-2.508872e+001
4.451279e+001	-4.385588e+001
4.417561e+001	-7.013920e+001
4.448674e+001	-6.711075e+001
4.493085e+001	-5.806972e+001
4.590690e+001	-2.497792e+001
4.598530e+001	-3.247148e+001
4.609695e+001	-3.846190e+001
4.647456e+001	-3.242715e+001
4.665270e+001	-3.541129e+001
4.661475e+001	-4.816586e+001
4.715859e+001	-3.461539e+001
4.758608e+001	-2.632593e+001
4.778084e+001	-2.855849e+001
4.769302e+001	-4.356778e+001
4.848621e+001	-1.874372e+001
4.878071e+001	-1.646684e+001
4.831055e+001	-4.876230e+001
4.902063e+001	-2.769611e+001
4.938162e+001	-2.241293e+001
4.941016e+001	-3.216121e+001
4.972128e+001	-2.913276e+001
4.974981e+001	-3.888105e+001
5.011081e+001	-3.359787e+001
5.057154e+001	-2.380527e+001
5.018449e+001	-5.234332e+001
5.071172e+001	-3.954398e+001
5.075688e+001	-4.854068e+001
5.098488e+001	-4.927054e+001
5.124615e+001	-4.849635e+001
5.177337e+001	-3.569747e+001
5.160242e+001	-5.446506e+001
5.189692e+001	-5.218818e+001
5.244078e+001	-3.863726e+001
5.245268e+001	-4.913757e+001
5.214876e+001	-7.391730e+001
5.285883e+001	-5.285111e+001
5.292061e+001	-6.109624e+001
5.266655e+001	-8.362126e+001
5.316053e+001	-7.232551e+001
5.367113e+001	-6.027819e+001
5.316773e+001	-9.407679e+001
5.346223e+001	-9.179991e+001
5.428867e+001	-6.547270e+001
5.425071e+001	-7.822729e+001
5.484442e+001	-6.242210e+001
5.487296e+001	-7.217038e+001
5.500123e+001	-7.740922e+001
5.521262e+001	-7.889020e+001
5.545725e+001	-7.886804e+001
5.518658e+001	-1.021446e+002
5.569717e+001	-9.009731e+001
5.575895e+001	-9.834245e+001
5.582073e+001	-1.065876e+002
5.584927e+001	-1.163359e+002
5.635987e+001	-1.042885e+002
5.672086e+001	-9.900537e+001
5.704861e+001	-9.522535e+001
