    nm         	nN
0.000000e+000	6.318536e-001
-3.790629e-002	6.191013e-001
-5.920580e-002	6.070998e-001
-1.137004e-001	5.935975e-001
-1.681926e-001	5.800953e-001
-2.060903e-001	5.673434e-001
-2.439966e-001	5.545911e-001
-3.648766e-001	5.380873e-001
-3.861761e-001	5.260858e-001
-3.742830e-001	5.155851e-001
-3.955837e-001	5.035836e-001
-4.334900e-001	4.908313e-001
-4.713865e-001	4.780795e-001
-5.258799e-001	4.645772e-001
-4.807934e-001	4.555773e-001
-5.518832e-001	4.413246e-001
-5.565876e-001	4.300735e-001
-6.276866e-001	4.158205e-001
-6.655843e-001	4.030686e-001
-6.702868e-001	3.918175e-001
-6.417967e-001	3.820672e-001
-7.128871e-001	3.678145e-001
-6.678000e-001	3.588146e-001
-7.554971e-001	3.438111e-001
-7.767966e-001	3.318097e-001
-8.644834e-001	3.168066e-001
-9.521707e-001	3.018036e-001
-9.070836e-001	2.928037e-001
-8.952002e-001	2.823025e-001
-8.999034e-001	2.710514e-001
-9.378005e-001	2.582995e-001
-1.091874e+000	2.402950e-001
-9.969972e-001	2.335462e-001
-1.001700e+000	2.222951e-001
-1.006414e+000	2.110436e-001
-1.060907e+000	1.975413e-001
-1.015820e+000	1.885414e-001
-1.103508e+000	1.735384e-001
-1.108210e+000	1.622873e-001
-1.096317e+000	1.517866e-001
-1.101031e+000	1.405350e-001
-1.155524e+000	1.270328e-001
-1.143631e+000	1.165321e-001
-1.098544e+000	1.075322e-001
-1.169634e+000	9.327951e-002
-1.290514e+000	7.677569e-002
-1.345017e+000	6.327300e-002
-1.333124e+000	5.277229e-002
-1.371021e+000	4.002043e-002
-1.375724e+000	2.876933e-002
-1.397024e+000	1.676786e-002
-1.434930e+000	4.015542e-003
-1.389843e+000	-4.984365e-003
-1.460933e+000	-1.923702e-002
-1.449040e+000	-2.973772e-002
-1.486937e+000	-4.248959e-002
-1.441850e+000	-5.148951e-002
-1.463160e+000	-6.349143e-002
-1.434670e+000	-7.324175e-002
-1.505761e+000	-8.749439e-002
-1.560254e+000	-1.009966e-001
-1.531764e+000	-1.107470e-001
-1.519871e+000	-1.212477e-001
-1.574374e+000	-1.347504e-001
-1.612270e+000	-1.475022e-001
-1.650167e+000	-1.602541e-001
-1.654871e+000	-1.715052e-001
-1.725961e+000	-1.857578e-001
-1.680874e+000	-1.947578e-001
-1.685588e+000	-2.060093e-001
-1.673694e+000	-2.165100e-001
-1.761380e+000	-2.315130e-001
-1.799278e+000	-2.442649e-001
-1.853770e+000	-2.577672e-001
-1.891668e+000	-2.705190e-001
-1.863188e+000	-2.802698e-001
-1.901084e+000	-2.930217e-001
-1.889190e+000	-3.035223e-001
-1.960281e+000	-3.177750e-001
-1.998177e+000	-3.305269e-001
-1.986293e+000	-3.410280e-001
-1.924612e+000	-3.492776e-001
-2.012298e+000	-3.642806e-001
-2.050196e+000	-3.770325e-001
-2.038300e+000	-3.875331e-001
-2.059601e+000	-3.995347e-001
-2.064314e+000	-4.107862e-001
-2.052421e+000	-4.212869e-001
-2.140107e+000	-4.362899e-001
-2.194599e+000	-4.497921e-001
-2.232500e+000	-4.625441e-001
-2.320183e+000	-4.775471e-001
-2.258511e+000	-4.857970e-001
-2.180230e+000	-4.932962e-001
-2.317707e+000	-5.105504e-001
-2.256023e+000	-5.187999e-001
-2.376903e+000	-5.353037e-001
-2.398204e+000	-5.473053e-001
-2.436112e+000	-5.600576e-001
-2.407621e+000	-5.698078e-001
-2.379131e+000	-5.795582e-001
-2.367236e+000	-5.900588e-001
-2.405133e+000	-6.028107e-001
-2.426434e+000	-6.148122e-001
-2.480936e+000	-6.283149e-001
-2.552028e+000	-6.425676e-001
-2.606520e+000	-6.560698e-001
-2.544838e+000	-6.643193e-001
-2.632525e+000	-6.793224e-001
-2.687027e+000	-6.928251e-001
-2.741521e+000	-7.063273e-001
-2.762822e+000	-7.183288e-001
-2.717735e+000	-7.273288e-001
-2.672648e+000	-7.363287e-001
-2.677352e+000	-7.475798e-001
-2.698660e+000	-7.595817e-001
-2.620381e+000	-7.670808e-001
-2.625085e+000	-7.783319e-001
-2.613192e+000	-7.888327e-001
-2.617893e+000	-8.000837e-001
-2.572806e+000	-8.090836e-001
-2.643898e+000	-8.233363e-001
-2.681805e+000	-8.360886e-001
-2.703104e+000	-8.480900e-001
-2.741001e+000	-8.608420e-001
-2.762302e+000	-8.728434e-001
-2.700618e+000	-8.810930e-001
-2.738515e+000	-8.938448e-001
-2.859403e+000	-9.103491e-001
-2.947091e+000	-9.253521e-001
-2.852214e+000	-9.321008e-001
-2.807129e+000	-9.411009e-001
