    nm         	nN
0.000000e+000	6.309885e-001
2.844470e-002	6.212361e-001
-4.253886e-002	6.069883e-001
-8.037517e-002	5.942392e-001
-6.850164e-002	5.837376e-001
-1.229128e-001	5.702390e-001
-1.773203e-001	5.567407e-001
-2.317339e-001	5.432420e-001
-2.032880e-001	5.334897e-001
-1.748420e-001	5.237374e-001
-1.629685e-001	5.132358e-001
-2.505220e-001	4.982388e-001
-3.049295e-001	4.847404e-001
-3.262008e-001	4.727402e-001
-2.646150e-001	4.644863e-001
-3.024513e-001	4.517371e-001
-4.065753e-001	4.359909e-001
-4.609834e-001	4.224925e-001
-4.491087e-001	4.119910e-001
-4.703800e-001	3.999908e-001
-5.247874e-001	3.864924e-001
-5.294832e-001	3.752417e-001
-5.176134e-001	3.647399e-001
-5.720209e-001	3.512416e-001
-5.270050e-001	3.422384e-001
-5.482763e-001	3.302383e-001
-6.192555e-001	3.159906e-001
-7.068084e-001	3.009936e-001
-6.617932e-001	2.919905e-001
-8.156233e-001	2.739969e-001
-8.368947e-001	2.619967e-001
-8.913021e-001	2.484984e-001
-9.457096e-001	2.350000e-001
-1.000121e+000	2.215014e-001
-1.137382e+000	2.042570e-001
-1.026084e+000	1.982507e-001
-1.063927e+000	1.855013e-001
-1.018911e+000	1.764981e-001
-1.106464e+000	1.615011e-001
-1.160872e+000	1.480028e-001
-1.115856e+000	1.389996e-001
-1.120557e+000	1.277487e-001
-1.191535e+000	1.135011e-001
-1.262513e+000	9.925350e-002
-1.300354e+000	8.650412e-002
-1.371333e+000	7.225654e-002
-1.342888e+000	6.250419e-002
-1.447012e+000	4.675799e-002
-1.451708e+000	3.550723e-002
-1.489549e+000	2.275784e-002
-1.510816e+000	1.075788e-002
-1.548653e+000	-1.991279e-003
-1.520212e+000	-1.174384e-002
-1.574620e+000	-2.524221e-002
-1.595886e+000	-3.724218e-002
-1.617159e+000	-4.924236e-002
-1.621854e+000	-6.049311e-002
-1.626550e+000	-7.174387e-002
-1.747245e+000	-8.823928e-002
-1.851364e+000	-1.039853e-001
-1.889206e+000	-1.167347e-001
-1.927042e+000	-1.294838e-001
-1.981450e+000	-1.429822e-001
-2.019292e+000	-1.557316e-001
-2.073700e+000	-1.692299e-001
-2.128107e+000	-1.827283e-001
-2.132807e+000	-1.939793e-001
-2.154074e+000	-2.059793e-001
-2.175340e+000	-2.179792e-001
-2.180041e+000	-2.292302e-001
-2.151596e+000	-2.389826e-001
-2.255720e+000	-2.547287e-001
-2.194134e+000	-2.629827e-001
-2.265112e+000	-2.772303e-001
-2.253238e+000	-2.877318e-001
-2.456784e+000	-3.079732e-001
-2.444910e+000	-3.184748e-001
-2.482751e+000	-3.312242e-001
-2.454305e+000	-3.409765e-001
-2.508714e+000	-3.544749e-001
-2.546558e+000	-3.672243e-001
-2.617534e+000	-3.814719e-001
-2.622235e+000	-3.927229e-001
-2.544080e+000	-4.002276e-001
-2.565346e+000	-4.122276e-001
-2.652899e+000	-4.272245e-001
-2.740448e+000	-4.422213e-001
-2.712002e+000	-4.519737e-001
-2.683561e+000	-4.617262e-001
-2.820822e+000	-4.789706e-001
-2.825516e+000	-4.902214e-001
-2.929642e+000	-5.059676e-001
-2.934338e+000	-5.172184e-001
-3.038462e+000	-5.329646e-001
-3.109440e+000	-5.472121e-001
-3.080994e+000	-5.569645e-001
-3.201688e+000	-5.734599e-001
-3.173244e+000	-5.832123e-001
-3.277363e+000	-5.989582e-001
-3.315204e+000	-6.117076e-001
-3.353043e+000	-6.244568e-001
-3.390884e+000	-6.372062e-001
-3.395580e+000	-6.484570e-001
-3.516269e+000	-6.649521e-001
-3.620392e+000	-6.806983e-001
-3.641659e+000	-6.926983e-001
-3.778925e+000	-7.099429e-001
-3.849903e+000	-7.241905e-001
