    nm         	nN
0.000000e+000	-3.999381e+000
2.847785e-002	-4.009132e+000
-7.576101e-002	-4.024884e+000
-8.046234e-002	-4.036135e+000
-1.017533e-001	-4.048136e+000
-1.562332e-001	-4.061637e+000
-2.604720e-001	-4.077389e+000
-2.154046e-001	-4.086389e+000
-3.196435e-001	-4.102141e+000
-2.745760e-001	-4.111142e+000
-3.456357e-001	-4.125393e+000
-4.167052e-001	-4.139645e+000
-4.877649e-001	-4.153896e+000
-4.758766e-001	-4.164397e+000
-4.805780e-001	-4.175648e+000
-5.184584e-001	-4.188399e+000
-5.065702e-001	-4.198900e+000
-5.278709e-001	-4.210901e+000
-5.657514e-001	-4.223653e+000
-6.865799e-001	-4.240154e+000
-6.746916e-001	-4.250655e+000
-7.125721e-001	-4.263406e+000
-7.172833e-001	-4.274658e+000
-8.049326e-001	-4.289659e+000
-8.096339e-001	-4.300910e+000
-7.645665e-001	-4.309911e+000
-8.356261e-001	-4.324162e+000
-9.066956e-001	-4.338414e+000
-9.445761e-001	-4.351165e+000
-9.492774e-001	-4.362416e+000
-9.539788e-001	-4.373667e+000
-1.025038e+000	-4.387918e+000
-1.046329e+000	-4.399919e+000
-1.100809e+000	-4.413421e+000
-1.155279e+000	-4.426922e+000
-1.093622e+000	-4.435173e+000
-1.148093e+000	-4.448674e+000
-1.185973e+000	-4.461425e+000
-1.157495e+000	-4.471176e+000
-1.195385e+000	-4.483927e+000
-1.266445e+000	-4.498179e+000
-1.204788e+000	-4.506429e+000
-1.309027e+000	-4.522181e+000
-1.346907e+000	-4.534932e+000
-1.335019e+000	-4.545433e+000
-1.439268e+000	-4.561185e+000
-1.410790e+000	-4.570936e+000
-1.581387e+000	-4.589687e+000
-1.602678e+000	-4.601688e+000
-1.524432e+000	-4.609189e+000
-1.595501e+000	-4.623441e+000
-1.633382e+000	-4.636192e+000
-1.654673e+000	-4.648193e+000
-1.725732e+000	-4.662444e+000
-1.763613e+000	-4.675195e+000
-1.801503e+000	-4.687947e+000
-1.789615e+000	-4.698448e+000
-1.827495e+000	-4.711199e+000
-1.915144e+000	-4.726200e+000
-1.903256e+000	-4.736701e+000
-1.957726e+000	-4.750202e+000
-1.929258e+000	-4.759954e+000
-1.967139e+000	-4.772705e+000
-1.955251e+000	-4.783206e+000
-1.993131e+000	-4.795957e+000
-1.981243e+000	-4.806458e+000
-2.035713e+000	-4.819959e+000
-2.040424e+000	-4.831211e+000
-2.194432e+000	-4.849212e+000
-2.132775e+000	-4.857463e+000
-2.237013e+000	-4.873214e+000
-2.225125e+000	-4.883715e+000
-2.246426e+000	-4.895717e+000
-2.201359e+000	-4.904718e+000
-2.239239e+000	-4.917469e+000
-2.227351e+000	-4.927970e+000
-2.298411e+000	-4.942221e+000
-2.303112e+000	-4.953472e+000
-2.341002e+000	-4.966223e+000
-2.362293e+000	-4.978224e+000
-2.400174e+000	-4.990976e+000
-2.487823e+000	-5.005977e+000
-2.509114e+000	-5.017978e+000
-2.546994e+000	-5.030729e+000
-2.584885e+000	-5.043481e+000
-2.639355e+000	-5.056982e+000
-2.627466e+000	-5.067483e+000
-2.681936e+000	-5.080984e+000
-2.603690e+000	-5.088485e+000
-2.674760e+000	-5.102736e+000
-2.745819e+000	-5.116988e+000
-2.733931e+000	-5.127489e+000
-2.722043e+000	-5.137990e+000
-2.759923e+000	-5.150741e+000
-2.847572e+000	-5.165742e+000
-2.868873e+000	-5.177744e+000
-2.890164e+000	-5.189745e+000
-2.911455e+000	-5.201746e+000
-2.899567e+000	-5.212247e+000
-2.920858e+000	-5.224248e+000
