    nm         	pN
0.000000e+000	6.579290e+002
-3.787560e-002	6.451781e+002
-2.582281e-001	6.241769e+002
-3.790430e-001	6.076760e+002
-3.173933e-001	5.994250e+002
-2.225657e-001	5.926740e+002
-2.936193e-001	5.784230e+002
-4.476195e-001	5.604217e+002
-5.518473e-001	5.446708e+002
-4.238467e-001	5.394197e+002
-3.456075e-001	5.319187e+002
-4.332469e-001	5.169178e+002
-6.204141e-001	4.974169e+002
-6.085368e-001	4.869155e+002
-3.312459e-001	4.884143e+002
-3.027705e-001	4.786633e+002
-4.401732e-001	4.614124e+002
-5.278132e-001	4.464115e+002
-4.495752e-001	4.389105e+002
-3.879249e-001	4.306594e+002
-5.253374e-001	4.134081e+002
-6.129775e-001	3.984072e+002
-8.001441e-001	3.789064e+002
-7.716699e-001	3.691554e+002
-7.597822e-001	3.586544e+002
-8.142567e-001	3.451530e+002
-9.350722e-001	3.286521e+002
-8.900091e-001	3.196511e+002
-8.615343e-001	3.099001e+002
-9.491743e-001	2.948992e+002
-1.070000e+000	2.783979e+002
-1.058113e+000	2.678969e+002
-9.632863e-001	2.611459e+002
-8.518728e-001	2.551448e+002
-9.395122e-001	2.401439e+002
-9.773885e-001	2.273929e+002
-1.131390e+000	2.093916e+002
-1.119503e+000	1.988906e+002
-9.251501e-001	1.966395e+002
-8.966747e-001	1.868885e+002
-9.843153e-001	1.718876e+002
-9.060773e-001	1.643865e+002
-9.605413e-001	1.508856e+002
-9.320757e-001	1.411341e+002
-9.533642e-001	1.291332e+002
-1.024416e+000	1.148823e+002
-1.095469e+000	1.006313e+002
-1.083582e+000	9.013035e+001
-1.055106e+000	8.037934e+001
-1.092993e+000	6.762796e+001
-1.097694e+000	5.637698e+001
-9.862796e-001	5.037590e+001
-1.007568e+000	3.837494e+001
-9.459185e-001	3.012391e+001
-1.000382e+000	1.662297e+001
-1.005094e+000	5.371556e+000
-8.605033e-001	8.704519e-001
-8.983801e-001	-1.188049e+001
-9.362557e-001	-2.463143e+001
-9.243699e-001	-3.513243e+001
-9.456583e-001	-4.713339e+001
-9.337714e-001	-5.763438e+001
-9.053058e-001	-6.738583e+001
-1.009534e+000	-8.313672e+001
-1.063998e+000	-9.663765e+001
-1.035523e+000	-1.063887e+002
-1.106576e+000	-1.206396e+002
-9.785726e-001	-1.258907e+002
-9.501082e-001	-1.356421e+002
-9.713967e-001	-1.476431e+002
-9.429225e-001	-1.573941e+002
-9.476226e-001	-1.686451e+002
-9.191485e-001	-1.783961e+002
-9.404370e-001	-1.903970e+002
-8.953744e-001	-1.993981e+002
-9.332598e-001	-2.121494e+002
-1.037488e+000	-2.279003e+002
-1.158303e+000	-2.444012e+002
-9.473626e-001	-2.459024e+002
-6.866588e-001	-2.451536e+002
-7.577111e-001	-2.594045e+002
-8.121849e-001	-2.729059e+002
-8.168850e-001	-2.841568e+002
-6.059462e-001	-2.856580e+002
-3.618283e-001	-2.856592e+002
-2.504148e-001	-2.916603e+002
-2.717032e-001	-3.036612e+002
-9.393876e-002	-3.066624e+002
-4.887624e-002	-3.156634e+002
1.277341e-002	-3.239144e+002
3.730037e-001	-3.186657e+002
3.517177e-001	-3.306667e+002
4.631312e-001	-3.366677e+002
4.750072e-001	-3.471692e+002
5.864207e-001	-3.531702e+002
7.310109e-001	-3.576713e+002
7.594863e-001	-3.674223e+002
9.206612e-001	-3.711735e+002
1.164779e+000	-3.711746e+002
1.325956e+000	-3.749258e+002
1.304668e+000	-3.869267e+002
1.648311e+000	-3.824280e+002
2.025129e+000	-3.764293e+002
2.086778e+000	-3.846804e+002
2.380660e+000	-3.824316e+002
2.392546e+000	-3.929326e+002
2.686428e+000	-3.906838e+002
3.146183e+000	-3.809352e+002
3.854758e+000	-3.599367e+002
4.563333e+000	-3.389383e+002
4.807448e+000	-3.389395e+002
4.786160e+000	-3.509405e+002
4.963924e+000	-3.539416e+002
5.174865e+000	-3.554428e+002
5.402394e+000	-3.561939e+002
5.530394e+000	-3.614450e+002
5.708161e+000	-3.644461e+002
5.852749e+000	-3.689473e+002
6.080278e+000	-3.696984e+002
6.025815e+000	-3.831994e+002
6.236756e+000	-3.847005e+002
6.348167e+000	-3.907016e+002
6.360056e+000	-4.012026e+002
6.355344e+000	-4.124540e+002
6.533109e+000	-4.154552e+002
6.959702e+000	-4.072060e+002
7.120870e+000	-4.109576e+002
8.210973e+000	-3.727091e+002
8.770257e+000	-3.584605e+002
8.765558e+000	-3.697115e+002
8.727680e+000	-3.824625e+002
9.004972e+000	-3.809637e+002
9.066624e+000	-3.892147e+002
9.045333e+000	-4.012157e+002
9.339215e+000	-3.989669e+002
1.154070e+001	-3.104693e+002
1.311185e+001	-2.504712e+002
1.353843e+001	-2.422225e+002
1.379914e+001	-2.414737e+002
1.387738e+001	-2.489748e+002
1.375656e+001	-2.654756e+002
1.376844e+001	-2.759771e+002
1.402914e+001	-2.752283e+002
1.457185e+001	-2.617293e+002
1.453396e+001	-2.744807e+002
1.452926e+001	-2.857317e+002
1.457432e+001	-2.947327e+002
1.451986e+001	-3.082336e+002
1.471421e+001	-3.104847e+002
1.492515e+001	-3.119859e+002
1.501998e+001	-3.187370e+002
1.509822e+001	-3.262380e+002
1.520963e+001	-3.322391e+002
1.482340e+001	-3.607402e+002
1.488505e+001	-3.689912e+002
1.506281e+001	-3.719924e+002
1.509129e+001	-3.817434e+002
1.538517e+001	-3.794946e+002
1.546341e+001	-3.869956e+002
1.552506e+001	-3.952466e+002
1.552036e+001	-4.064976e+002
1.578106e+001	-4.057489e+002
1.585929e+001	-4.132503e+002
1.565554e+001	-4.335012e+002
1.563425e+001	-4.455021e+002
1.577883e+001	-4.500032e+002
1.592343e+001	-4.545043e+002
1.581920e+001	-4.702552e+002
1.596379e+001	-4.747563e+002
1.599225e+001	-4.845078e+002
1.605390e+001	-4.927588e+002
1.626484e+001	-4.942599e+002
1.634308e+001	-5.017610e+002
1.632179e+001	-5.137620e+002
1.658250e+001	-5.130132e+002
1.656121e+001	-5.250141e+002
1.642380e+001	-5.422650e+002
1.650203e+001	-5.497665e+002
1.658027e+001	-5.572675e+002
1.665851e+001	-5.647686e+002
1.680310e+001	-5.692697e+002
1.714674e+001	-5.647710e+002
1.717522e+001	-5.745220e+002
1.700464e+001	-5.932728e+002
1.709946e+001	-6.000239e+002
1.712794e+001	-6.097749e+002
1.710664e+001	-6.217763e+002
1.725123e+001	-6.262774e+002
1.727970e+001	-6.360284e+002
1.714230e+001	-6.532793e+002
1.751912e+001	-6.472806e+002
1.751442e+001	-6.585315e+002
1.757607e+001	-6.667826e+002
1.757137e+001	-6.780335e+002
1.759983e+001	-6.877849e+002
1.769466e+001	-6.945360e+002
1.856912e+001	-6.660373e+002
1.984168e+001	-6.195394e+002
2.429913e+001	-4.290428e+002
2.646744e+001	-3.420452e+002
2.714285e+001	-3.225463e+002
2.692250e+001	-3.435475e+002
2.710026e+001	-3.465487e+002
2.757662e+001	-3.360496e+002
2.780414e+001	-3.368008e+002
2.847954e+001	-3.173024e+002
2.852461e+001	-3.263033e+002
2.885166e+001	-3.225546e+002
2.924507e+001	-3.158059e+002
2.932331e+001	-3.233070e+002
2.936837e+001	-3.323080e+002
2.959590e+001	-3.330592e+002
2.927602e+001	-3.585603e+002
2.955331e+001	-3.570615e+002
2.976425e+001	-3.585627e+002
2.969320e+001	-3.728136e+002
2.997049e+001	-3.713148e+002
3.026437e+001	-3.690661e+002
3.019332e+001	-3.833170e+002
3.037108e+001	-3.863181e+002
3.031662e+001	-3.998190e+002
3.022897e+001	-4.148204e+002
3.029062e+001	-4.230714e+002
3.013663e+001	-4.410723e+002
3.069592e+001	-4.268237e+002
3.075757e+001	-4.350748e+002
3.110121e+001	-4.305760e+002
3.111310e+001	-4.410770e+002
3.124110e+001	-4.463281e+002
3.136910e+001	-4.515792e+002
