    nm         	pN
0.000000e+000	4.968566e+002
-1.027140e-002	4.871933e+002
-2.051648e-002	4.775310e+002
3.393253e-002	4.703259e+002
-8.418040e-002	4.565665e+002
-1.375758e-001	4.452652e+002
-2.125428e-001	4.331445e+002
-2.228127e-001	4.234813e+002
-2.977804e-001	4.113606e+002
-3.080270e-001	4.016982e+002
-3.830195e-001	3.895766e+002
-5.011339e-001	3.758171e+002
-4.466593e-001	3.686130e+002
-5.216504e-001	3.564914e+002
-6.181918e-001	3.435514e+002
-6.931602e-001	3.314307e+002
-7.465776e-001	3.201285e+002
-8.431182e-001	3.071885e+002
-9.828071e-001	2.926095e+002
-9.714799e-001	2.837666e+002
-9.601762e-001	2.749227e+002
-9.488497e-001	2.660797e+002
-9.806941e-001	2.555970e+002
-9.693677e-001	2.467540e+002
-1.044335e+000	2.346334e+002
-1.140900e+000	2.216924e+002
-1.151147e+000	2.120300e+002
-1.118269e+000	2.040056e+002
-1.214811e+000	1.910655e+002
-1.354499e+000	1.764866e+002
-1.256901e+000	1.709204e+002
-1.331869e+000	1.587997e+002
-1.342116e+000	1.491373e+002
-1.417107e+000	1.370158e+002
-1.319486e+000	1.314505e+002
-1.416027e+000	1.185104e+002
-1.491018e+000	1.063889e+002
-1.609132e+000	9.262938e+001
-1.705675e+000	7.968927e+001
-1.715921e+000	7.002687e+001
-1.704618e+000	6.118302e+001
-1.607019e+000	5.561687e+001
-1.487824e+000	5.087102e+001
-1.347080e+000	4.694371e+001
-1.465195e+000	3.318419e+001
-1.518612e+000	2.188205e+001
-1.550433e+000	1.140023e+001
-1.582253e+000	9.184383e-001
-1.570950e+000	-7.925429e+000
-1.581196e+000	-1.758782e+001
-1.699311e+000	-3.134731e+001
-1.666435e+000	-3.937176e+001
-1.698254e+000	-4.985358e+001
-1.708526e+000	-5.951688e+001
-1.718772e+000	-6.917927e+001
-1.685895e+000	-7.720368e+001
-1.717714e+000	-8.768550e+001
-1.684815e+000	-9.570904e+001
-1.608790e+000	-1.020946e+002
-1.511193e+000	-1.076608e+002
-1.629308e+000	-1.214203e+002
-1.725848e+000	-1.343604e+002
-1.736119e+000	-1.440237e+002
-1.767940e+000	-1.545055e+002
-1.670342e+000	-1.600717e+002
-1.637441e+000	-1.680952e+002
-1.647711e+000	-1.777585e+002
-1.722680e+000	-1.898792e+002
-1.776074e+000	-2.011804e+002
-1.872615e+000	-2.141205e+002
-1.839738e+000	-2.221449e+002
-1.785264e+000	-2.293490e+002
-1.989673e+000	-2.463862e+002
-1.978370e+000	-2.552301e+002
-2.053337e+000	-2.673508e+002
-2.085158e+000	-2.778326e+002
-2.203297e+000	-2.915930e+002
-2.170396e+000	-2.996166e+002
-2.159093e+000	-3.084604e+002
-2.212486e+000	-3.197616e+002
-2.309027e+000	-3.327017e+002
-2.319297e+000	-3.423650e+002
-2.372692e+000	-3.536662e+002
-2.275095e+000	-3.592324e+002
-2.220619e+000	-3.664365e+002
-2.187743e+000	-3.744610e+002
-2.176417e+000	-3.833039e+002
-2.337677e+000	-3.987023e+002
-2.391096e+000	-4.100044e+002
-2.336622e+000	-4.172085e+002
-2.390015e+000	-4.285098e+002
-2.378713e+000	-4.373537e+002
-2.518400e+000	-4.519325e+002
-2.528647e+000	-4.615950e+002
-2.668361e+000	-4.761748e+002
-2.592312e+000	-4.825594e+002
-2.537865e+000	-4.897646e+002
-2.677549e+000	-5.043435e+002
-2.709370e+000	-5.148253e+002
-2.719643e+000	-5.244886e+002
-2.643595e+000	-5.308733e+002
-2.610719e+000	-5.388977e+002
-2.577816e+000	-5.469212e+002
-2.609658e+000	-5.574039e+002
-2.512038e+000	-5.629692e+002
-2.587028e+000	-5.750907e+002
-2.705144e+000	-5.888503e+002
-2.693816e+000	-5.976932e+002
-2.574648e+000	-6.024400e+002
-2.671187e+000	-6.153800e+002
-2.810877e+000	-6.299590e+002
-2.842719e+000	-6.404417e+002
-2.723527e+000	-6.451876e+002
-2.798515e+000	-6.573091e+002
-2.916633e+000	-6.710687e+002
-2.883731e+000	-6.790922e+002
-2.915573e+000	-6.895748e+002
-2.796378e+000	-6.943207e+002
-2.957643e+000	-7.097191e+002
-2.730603e+000	-7.103687e+002
-2.309425e+000	-7.036445e+002
-2.470687e+000	-7.190428e+002
-2.243646e+000	-7.196924e+002
-2.016606e+000	-7.203420e+002
-1.811141e+000	-7.218110e+002
-1.691949e+000	-7.265569e+002
-1.853211e+000	-7.419553e+002
-1.604593e+000	-7.417854e+002
-1.442277e+000	-7.448933e+002
-1.344677e+000	-7.504595e+002
-9.450503e-001	-7.445536e+002
-6.129433e-003	-7.181641e+002
2.205590e+000	-6.434303e+002
9.422104e+000	-3.786008e+002
1.668177e+001	-1.121324e+002
1.828945e+001	-6.034156e+001
1.827920e+001	-7.000393e+001
1.835522e+001	-7.638951e+001
1.920788e+001	-5.327672e+001
2.109599e+001	9.165733e+000
2.238009e+001	4.866611e+001
2.312487e+001	6.768178e+001
