    nm         	nN
0.000000e+000	3.268441e-001
-1.033789e-002	3.171782e-001
-6.421050e-002	3.058588e-001
-1.616405e-001	2.928850e-001
-1.502125e-001	2.840458e-001
-2.258510e-001	2.718997e-001
-2.579804e-001	2.614061e-001
-2.900856e-001	2.509135e-001
-4.092588e-001	2.371138e-001
-3.543199e-001	2.299273e-001
-3.428922e-001	2.210882e-001
-4.402974e-001	2.081153e-001
-6.030283e-001	1.926612e-001
-5.262993e-001	1.863023e-001
-6.019386e-001	1.741562e-001
-6.340676e-001	1.636626e-001
-6.226396e-001	1.548235e-001
-5.677014e-001	1.476370e-001
-6.651072e-001	1.346641e-001
-5.884024e-001	1.283044e-001
-6.205073e-001	1.178117e-001
-6.526129e-001	1.073191e-001
-6.847426e-001	9.682553e-002
-5.644792e-001	9.212025e-002
-6.401426e-001	7.997317e-002
-7.593151e-001	6.617348e-002
-8.349544e-001	5.402730e-002
-8.235505e-001	4.518728e-002
-8.338883e-001	3.552142e-002
-9.095276e-001	2.337525e-002
-8.545897e-001	1.618875e-002
-9.955289e-001	1.562293e-003
-8.535230e-001	-2.317128e-003
-9.509289e-001	-1.529005e-002
-9.177576e-001	-2.330330e-002
-9.933968e-001	-3.544948e-002
-9.166675e-001	-4.180828e-002
-8.617296e-001	-4.899479e-002
-9.591355e-001	-6.196771e-002
-9.694983e-001	-7.163450e-002
-1.045137e+000	-8.378066e-002
-9.901747e-001	-9.096624e-002
-9.570035e-001	-9.897950e-002
-1.054409e+000	-1.119524e-001
-1.064772e+000	-1.216192e-001
-1.096877e+000	-1.321118e-001
-1.128983e+000	-1.426045e-001
-1.095812e+000	-1.506178e-001
-1.345586e+000	-1.693780e-001
-1.399458e+000	-1.806974e-001
-1.366286e+000	-1.887107e-001
-1.441926e+000	-2.008569e-001
-1.365196e+000	-2.072157e-001
-1.419093e+000	-2.185360e-001
-1.407664e+000	-2.273751e-001
-1.418026e+000	-2.370419e-001
-1.363064e+000	-2.442274e-001
-1.460471e+000	-2.572004e-001
-1.557901e+000	-2.701742e-001
-1.546472e+000	-2.790133e-001
-1.448000e+000	-2.845463e-001
-1.480105e+000	-2.950389e-001
-1.577511e+000	-3.080119e-001
-1.609641e+000	-3.185054e-001
-1.619979e+000	-3.281713e-001
-1.695619e+000	-3.403175e-001
-1.727747e+000	-3.508110e-001
-1.759854e+000	-3.613037e-001
-1.835493e+000	-3.734498e-001
-1.889389e+000	-3.847701e-001
-1.856192e+000	-3.927824e-001
-1.866556e+000	-4.024493e-001
-1.833360e+000	-4.104616e-001
-1.778423e+000	-4.176481e-001
-1.788760e+000	-4.273139e-001
-1.973234e+000	-4.435940e-001
-2.027130e+000	-4.549143e-001
-1.972168e+000	-4.620999e-001
-1.917229e+000	-4.692863e-001
-1.927569e+000	-4.789522e-001
-2.068508e+000	-4.935787e-001
-2.078871e+000	-5.032454e-001
-2.045677e+000	-5.112578e-001
-2.012505e+000	-5.192711e-001
-2.109909e+000	-5.322440e-001
-2.076714e+000	-5.402563e-001
-2.130609e+000	-5.515766e-001
-2.228016e+000	-5.645496e-001
-2.325423e+000	-5.775225e-001
-2.357551e+000	-5.880160e-001
-2.171987e+000	-5.902410e-001
-2.225885e+000	-6.015614e-001
-2.279757e+000	-6.128807e-001
-2.355397e+000	-6.250269e-001
-2.343993e+000	-6.338670e-001
-2.376097e+000	-6.443596e-001
-2.408202e+000	-6.548522e-001
-2.396798e+000	-6.636922e-001
-2.276557e+000	-6.683984e-001
-2.439266e+000	-6.838516e-001
-2.406071e+000	-6.918640e-001
-2.503478e+000	-7.048370e-001
-2.426772e+000	-7.111967e-001
-2.415368e+000	-7.200367e-001
-2.512772e+000	-7.330096e-001
-2.588411e+000	-7.451558e-001
-2.685818e+000	-7.581287e-001
-2.652646e+000	-7.661420e-001
-2.575917e+000	-7.725008e-001
-2.586281e+000	-7.821676e-001
-2.553086e+000	-7.901799e-001
-2.628748e+000	-8.023270e-001
-2.639089e+000	-8.119929e-001
-2.627658e+000	-8.208320e-001
-2.594487e+000	-8.288452e-001
-2.517781e+000	-8.352050e-001
-2.571653e+000	-8.465244e-001
-2.581993e+000	-8.561902e-001
-2.614124e+000	-8.666838e-001
-2.624461e+000	-8.763497e-001
-2.765399e+000	-8.909761e-001
-2.732228e+000	-8.989894e-001
-2.590223e+000	-9.028688e-001
-2.665862e+000	-9.150150e-001
-2.719734e+000	-9.263343e-001
-2.773606e+000	-9.376537e-001
-2.849272e+000	-9.498009e-001
-2.837844e+000	-9.586401e-001
-2.804670e+000	-9.666532e-001
-2.902077e+000	-9.796262e-001
-2.781836e+000	-9.843323e-001
-2.901010e+000	-9.981320e-001
-2.976649e+000	-1.010278e+000
-2.921711e+000	-1.017465e+000
-2.801447e+000	-1.022170e+000
-2.811813e+000	-1.031837e+000
-2.778616e+000	-1.039849e+000
-2.876022e+000	-1.052822e+000
-2.973452e+000	-1.065796e+000
-2.983789e+000	-1.075462e+000
-2.994153e+000	-1.085129e+000
-2.982725e+000	-1.093968e+000
-2.949531e+000	-1.101980e+000
-2.894589e+000	-1.109166e+000
-2.774354e+000	-1.113873e+000
-2.458210e+000	-1.111138e+000
-2.316205e+000	-1.115017e+000
-2.152409e+000	-1.118069e+000
-2.162773e+000	-1.127736e+000
-2.216645e+000	-1.139055e+000
-2.074637e+000	-1.142935e+000
-1.714964e+000	-1.138547e+000
-1.355291e+000	-1.134158e+000
-1.039173e+000	-1.131425e+000
-6.795003e-001	-1.127036e+000
-1.021801e-001	-1.114381e+000
2.325252e+000	-1.031454e+000
7.538651e+000	-8.427085e-001
1.007489e+001	-7.556483e-001
1.687723e+001	-5.065506e-001
2.217769e+001	-3.144977e-001
2.469217e+001	-2.282644e-001
2.524775e+001	-2.164353e-001
2.528092e+001	-2.244485e-001
2.524881e+001	-2.349411e-001
2.543435e+001	-2.371671e-001
2.518457e+001	-2.559274e-001
2.528305e+001	-2.614603e-001
2.525094e+001	-2.719530e-001
2.574122e+001	-2.626042e-001
2.640560e+001	-2.466422e-001
2.741824e+001	-2.174528e-001
2.786495e+001	-2.097585e-001
2.783285e+001	-2.202511e-001
2.808369e+001	-2.199967e-001
2.789922e+001	-2.362767e-001
2.797592e+001	-2.426364e-001
2.790028e+001	-2.547826e-001
2.780288e+001	-2.677555e-001
2.796665e+001	-2.708082e-001
2.815219e+001	-2.730341e-001
