    nm         	pN
0.000000e+000	5.028141e+002
-7.411930e-002	4.907257e+002
-6.292148e-002	4.818778e+002
-7.307449e-002	4.722190e+002
-2.538413e-001	4.560798e+002
-2.639724e-001	4.464218e+002
-2.314676e-001	4.383832e+002
-2.415979e-001	4.287252e+002
-2.943883e-001	4.174469e+002
-2.832124e-001	4.085982e+002
-1.653897e-001	4.038003e+002
-1.968505e-001	3.933321e+002
-2.283105e-001	3.828640e+002
-2.811235e-001	3.715848e+002
-2.059360e-001	3.651675e+002
-1.734320e-001	3.571289e+002
-1.622327e-001	3.482810e+002
-1.723872e-001	3.386222e+002
-2.465065e-001	3.265337e+002
-1.073541e-001	3.225459e+002
-1.814734e-001	3.104575e+002
-3.409106e-001	2.951284e+002
-5.643367e-001	2.773689e+002
-5.957960e-001	2.669008e+002
-6.059505e-001	2.572419e+002
-6.374105e-001	2.467738e+002
-7.328594e-001	2.338752e+002
-6.790257e-001	2.266468e+002
-6.678263e-001	2.177989e+002
-6.353216e-001	2.097604e+002
-6.454519e-001	2.001024e+002
-6.556064e-001	1.904435e+002
-6.017485e-001	1.832160e+002
-5.692438e-001	1.751774e+002
-4.513984e-001	1.703803e+002
-5.468700e-001	1.574809e+002
-6.849775e-001	1.429620e+002
-7.164375e-001	1.324938e+002
-7.052631e-001	1.236451e+002
-6.940638e-001	1.147973e+002
-7.681831e-001	1.027088e+002
-7.356783e-001	9.467027e+001
-7.031501e-001	8.663260e+001
-6.493157e-001	7.940418e+001
-7.447646e-001	6.650559e+001
-7.549191e-001	5.684671e+001
-6.797315e-001	5.042933e+001
-6.685564e-001	4.158061e+001
-6.786868e-001	3.192263e+001
-7.528060e-001	1.983419e+001
-6.563131e-001	1.422607e+001
-5.598200e-001	8.617954e+000
-6.552682e-001	-4.280627e+000
-6.227400e-001	-1.231830e+001
-6.328945e-001	-2.197718e+001
-5.363781e-001	-2.758441e+001
-5.678615e-001	-3.805343e+001
-6.206504e-001	-4.933172e+001
-5.454863e-001	-5.574998e+001
-5.982767e-001	-6.702827e+001
-5.231126e-001	-7.344655e+001
-5.545726e-001	-8.391467e+001
-5.860341e-001	-9.438281e+001
-6.175175e-001	-1.048518e+002
-6.276471e-001	-1.145098e+002
-5.311541e-001	-1.201179e+002
-5.199562e-001	-1.289658e+002
-5.514397e-001	-1.394348e+002
-5.615707e-001	-1.490928e+002
-6.570189e-001	-1.619914e+002
-5.818548e-001	-1.684096e+002
-6.559742e-001	-1.804981e+002
-5.808115e-001	-1.869163e+002
-6.975887e-001	-2.006251e+002
-6.224246e-001	-2.070433e+002
-5.472370e-001	-2.134607e+002
-5.360626e-001	-2.223095e+002
-5.461937e-001	-2.319674e+002
-5.350178e-001	-2.408161e+002
-6.091371e-001	-2.529046e+002
-6.192667e-001	-2.625626e+002
-7.360468e-001	-2.762713e+002
-7.461998e-001	-2.859302e+002
-7.563323e-001	-2.955882e+002
-6.811668e-001	-3.020064e+002
-7.552861e-001	-3.140949e+002
-8.294054e-001	-3.261833e+002
-7.969005e-001	-3.342219e+002
-7.857013e-001	-3.430697e+002
-7.318676e-001	-3.502982e+002
-7.206682e-001	-3.591460e+002
-6.668345e-001	-3.663744e+002
-6.982960e-001	-3.768425e+002
-7.297780e-001	-3.873115e+002
-7.612394e-001	-3.977797e+002
-7.287346e-001	-4.058183e+002
-7.815235e-001	-4.170965e+002
-7.916546e-001	-4.267545e+002
-8.444684e-001	-4.380337e+002
-7.692794e-001	-4.444511e+002
-8.220932e-001	-4.557303e+002
-8.322257e-001	-4.653882e+002
-8.423554e-001	-4.750462e+002
-1.023122e+000	-4.911854e+002
-1.054604e+000	-5.016544e+002
-1.043405e+000	-5.105023e+002
-9.042554e-001	-5.144901e+002
-7.437742e-001	-5.176677e+002
-7.965616e-001	-5.289460e+002
-9.133388e-001	-5.426548e+002
-8.595080e-001	-5.498833e+002
-7.843424e-001	-5.563014e+002
-8.158039e-001	-5.667696e+002
-8.472624e-001	-5.772378e+002
-8.147577e-001	-5.852763e+002
-8.675480e-001	-5.965546e+002
-8.777040e-001	-6.062135e+002
-8.878336e-001	-6.158715e+002
