    nm         	pN
0.000000e+000	5.264086e+002
7.469497e-002	5.199725e+002
6.462818e-002	5.103170e+002
-9.052673e-003	4.982452e+002
6.566568e-002	4.918100e+002
1.191647e-001	4.845688e+002
3.113958e-003	4.708877e+002
3.541636e-002	4.628415e+002
2.534884e-002	4.531859e+002
1.528059e-002	4.435303e+002
5.189686e-003	4.338738e+002
5.871212e-002	4.266335e+002
1.122119e-001	4.193924e+002
8.094773e-002	4.089317e+002
4.965945e-002	3.984701e+002
1.839528e-002	3.880094e+002
5.069768e-002	3.799632e+002
1.943278e-002	3.695025e+002
3.056191e-002	3.606520e+002
2.047027e-002	3.509955e+002
9.518936e-002	3.445603e+002
1.062958e-001	3.357090e+002
1.174250e-001	3.268585e+002
1.350084e-003	3.131765e+002
-2.991409e-002	3.027158e+002
6.597826e-002	2.970849e+002
-7.679936e-003	2.850139e+002
-1.774672e-002	2.753584e+002
3.575160e-002	2.681172e+002
4.488156e-003	2.576565e+002
-5.602746e-003	2.480001e+002
-5.806430e-002	2.367342e+002
1.663140e-002	2.302982e+002
7.015383e-002	2.230579e+002
1.769302e-002	2.117921e+002
-5.598784e-002	1.997203e+002
-4.485870e-002	1.908699e+002
8.640344e-003	1.836287e+002
1.976875e-002	1.747782e+002
-1.151881e-002	1.643166e+002
2.080697e-002	1.562713e+002
1.073873e-002	1.466157e+002
-2.054883e-002	1.361541e+002
1.177769e-002	1.281087e+002
4.407935e-002	1.200625e+002
-5.077477e-002	1.071865e+002
2.724282e-003	9.994530e+001
-4.973654e-002	8.867950e+001
-5.980406e-002	7.902392e+001
-1.546823e-001	6.614701e+001
-7.996321e-002	5.971185e+001
-9.005338e-002	5.005538e+001
-1.213190e-001	3.959468e+001
-1.737791e-001	2.832888e+001
-1.202800e-001	2.108773e+001
-1.303483e-001	1.143214e+001
-9.804517e-002	3.385885e+000
-8.691604e-002	-5.464575e+000
-1.182036e-001	-1.592616e+001
-1.070745e-001	-2.477664e+001
-1.807334e-001	-3.684756e+001
-1.908236e-001	-4.650403e+001
-1.796944e-001	-5.535450e+001
-1.897861e-001	-6.501098e+001
-1.786569e-001	-7.386145e+001
-1.675512e-001	-8.271282e+001
-1.776180e-001	-9.236840e+001
-2.512769e-001	-1.044393e+002
-1.977778e-001	-1.116805e+002
-2.078446e-001	-1.213361e+002
-2.603296e-001	-1.326027e+002
-2.915937e-001	-1.430634e+002
-3.016620e-001	-1.527190e+002
-2.905562e-001	-1.615704e+002
-2.794271e-001	-1.704209e+002
-2.259266e-001	-1.776620e+002
-1.936016e-001	-1.857074e+002
-2.036917e-001	-1.953639e+002
-1.713667e-001	-2.034092e+002
-2.026542e-001	-2.138708e+002
-2.339199e-001	-2.243315e+002
-1.592234e-001	-2.307676e+002
-2.540768e-001	-2.436436e+002
-1.793818e-001	-2.500797e+002
-2.530393e-001	-2.621505e+002
-1.783210e-001	-2.685857e+002
-2.308044e-001	-2.798524e+002
-2.408727e-001	-2.895079e+002
-2.085696e-001	-2.975542e+002
-2.186378e-001	-3.072098e+002
-2.499020e-001	-3.176705e+002
-2.811895e-001	-3.281321e+002
-1.429039e-001	-3.321528e+002
-1.317762e-001	-3.410033e+002
-7.827569e-002	-3.482445e+002
-6.714656e-002	-3.570949e+002
-3.484489e-002	-3.651412e+002
3.987492e-002	-3.715764e+002
8.585906e-003	-3.820379e+002
4.091242e-002	-3.900833e+002
1.368048e-001	-3.957142e+002
1.479339e-001	-4.045647e+002
1.802370e-001	-4.126110e+002
1.489714e-001	-4.230717e+002
1.389061e-001	-4.327272e+002
1.500089e-001	-4.415786e+002
9.754881e-002	-4.528444e+002
1.086546e-001	-4.616958e+002
5.619447e-002	-4.729616e+002
2.156760e-001	-4.761772e+002
2.903973e-001	-4.826123e+002
2.803057e-001	-4.922688e+002
2.278427e-001	-5.035347e+002
1.753592e-001	-5.148013e+002
3.136697e-001	-5.188212e+002
3.671673e-001	-5.260623e+002
2.723124e-001	-5.389383e+002
3.470074e-001	-5.453744e+002
3.793368e-001	-5.534197e+002
1.996925e-001	-5.695162e+002
3.591770e-001	-5.727318e+002
4.762638e-001	-5.775577e+002
4.450011e-001	-5.880183e+002
5.408934e-001	-5.936492e+002
6.156117e-001	-6.000844e+002
1.707702e+000	-5.678771e+002
2.121520e+000	-5.614323e+002
2.090257e+000	-5.718930e+002
3.076364e+000	-5.437112e+002
1.001844e+001	-2.893057e+002
1.503171e+001	-1.081614e+002
1.572108e+001	-9.125023e+001
1.617729e+001	-8.319524e+001
1.637919e+001	-8.479974e+001
1.687780e+001	-7.513452e+001
1.722805e+001	-7.110416e+001
1.785384e+001	-5.660829e+001
1.782255e+001	-6.706988e+001
1.766411e+001	-8.236122e+001
1.816274e+001	-7.269511e+001
1.847060e+001	-7.027497e+001
1.826976e+001	-8.717652e+001
1.847163e+001	-8.878193e+001
1.884306e+001	-8.394736e+001
1.893898e+001	-8.957740e+001
1.941639e+001	-8.071729e+001
1.938512e+001	-9.117799e+001
1.916309e+001	-1.088846e+002
1.957693e+001	-1.024390e+002
2.011793e+001	-9.116354e+001
2.036220e+001	-9.115873e+001
2.001298e+001	-1.136960e+002
2.061757e+001	-1.000053e+002
2.103142e+001	-9.355959e+001
2.131808e+001	-9.194456e+001
2.111724e+001	-1.088461e+002
2.091640e+001	-1.257477e+002
2.145740e+001	-1.144722e+002
2.182885e+001	-1.096368e+002
2.217910e+001	-1.056064e+002
2.195707e+001	-1.233131e+002
2.215895e+001	-1.249185e+002
2.257279e+001	-1.184728e+002
2.194804e+001	-1.514756e+002
2.287056e+001	-1.257091e+002
2.322081e+001	-1.216788e+002
2.316833e+001	-1.329455e+002
2.292512e+001	-1.514564e+002
2.359330e+001	-1.353503e+002
2.385876e+001	-1.345404e+002
2.378508e+001	-1.466122e+002
2.458044e+001	-1.256754e+002
2.437961e+001	-1.425770e+002
2.432714e+001	-1.538428e+002
2.444423e+001	-1.586686e+002
2.521840e+001	-1.385370e+002
2.548386e+001	-1.377271e+002
2.574933e+001	-1.369171e+002
2.607836e+001	-1.336928e+002
2.602590e+001	-1.449586e+002
2.629137e+001	-1.441487e+002
2.672641e+001	-1.368979e+002
2.690708e+001	-1.393084e+002
2.689699e+001	-1.489649e+002
2.709889e+001	-1.505694e+002
2.730077e+001	-1.521748e+002
2.752384e+001	-1.529751e+002
2.804364e+001	-1.425047e+002
2.803358e+001	-1.521603e+002
2.789631e+001	-1.666474e+002
2.805581e+001	-1.698622e+002
2.825769e+001	-1.714676e+002
2.837478e+001	-1.762934e+002
2.897936e+001	-1.626026e+002
2.920244e+001	-1.634029e+002
2.970107e+001	-1.537368e+002
2.937305e+001	-1.754690e+002
2.936298e+001	-1.851246e+002
2.903496e+001	-2.068568e+002
2.946998e+001	-1.996069e+002
3.058327e+001	-1.665945e+002
3.125147e+001	-1.504875e+002
3.122018e+001	-1.609491e+002
3.125251e+001	-1.689944e+002
3.223862e+001	-1.408126e+002
3.256767e+001	-1.375874e+002
3.255758e+001	-1.472439e+002
3.303501e+001	-1.383829e+002
3.294016e+001	-1.512589e+002
3.316323e+001	-1.520592e+002
3.364064e+001	-1.431991e+002
3.360938e+001	-1.536598e+002
3.349333e+001	-1.673409e+002
3.433106e+001	-1.447948e+002
3.421501e+001	-1.584760e+002
3.448047e+001	-1.576660e+002
3.485192e+001	-1.528306e+002
3.486302e+001	-1.616819e+002
3.506490e+001	-1.632873e+002
3.552114e+001	-1.552314e+002
3.595616e+001	-1.479815e+002
3.603087e+001	-1.544167e+002
3.608437e+001	-1.616579e+002
3.586234e+001	-1.793645e+002
3.650932e+001	-1.640635e+002
3.692316e+001	-1.576179e+002
3.678592e+001	-1.721041e+002
3.675463e+001	-1.825657e+002
3.689294e+001	-1.865855e+002
3.726436e+001	-1.817509e+002
3.799613e+001	-1.632295e+002
3.802846e+001	-1.712749e+002
3.810315e+001	-1.777110e+002
3.841101e+001	-1.752908e+002
3.837975e+001	-1.857515e+002
3.843325e+001	-1.929926e+002
3.829600e+001	-2.074789e+002
3.877341e+001	-1.986188e+002
3.931443e+001	-1.873424e+002
4.034293e+001	-1.575504e+002
4.287633e+001	-7.059843e+001
4.369286e+001	-4.885749e+001
4.353442e+001	-6.414884e+001
4.363033e+001	-6.977888e+001
