    nm         	pN
0.000000e+000	5.982525e+002
1.170167e-001	5.934239e+002
6.458872e-002	5.821594e+002
3.331871e-002	5.716985e+002
4.444199e-002	5.628478e+002
9.790743e-002	5.556053e+002
1.090307e-001	5.467546e+002
1.423432e-002	5.338808e+002
4.651699e-002	5.258338e+002
5.763881e-002	5.169831e+002
4.755449e-002	5.073268e+002
-4.874909e-003	4.960622e+002
-1.495924e-002	4.864060e+002
1.734536e-002	4.783599e+002
2.844526e-002	4.695083e+002
3.956708e-002	4.606575e+002
2.950614e-002	4.510022e+002
4.060458e-002	4.421505e+002
-1.182409e-002	4.308860e+002
-2.190914e-002	4.212297e+002
3.158041e-002	4.139882e+002
3.118543e-004	4.035274e+002
1.143441e-002	3.946766e+002
1.372737e-003	3.850213e+002
5.483890e-002	3.777789e+002
4.477723e-002	3.681235e+002
9.824339e-002	3.608811e+002
4.581473e-002	3.496165e+002
5.691390e-002	3.407649e+002
1.739539e-001	3.359372e+002
1.003184e-001	3.238672e+002
9.025672e-002	3.142118e+002
1.225394e-001	3.061648e+002
1.336612e-001	2.973140e+002
6.004905e-002	2.852449e+002
7.114822e-002	2.763932e+002
8.227004e-002	2.675425e+002
5.100222e-002	2.570817e+002
6.212405e-002	2.482309e+002
9.440598e-002	2.401839e+002
1.902633e-001	2.345516e+002
1.589947e-001	2.240907e+002
8.538181e-002	2.120215e+002
1.176886e-001	2.039754e+002
4.405232e-002	1.919054e+002
1.610931e-001	1.870777e+002
2.145593e-001	1.798353e+002
2.256811e-001	1.709845e+002
2.155960e-001	1.613283e+002
2.055351e-001	1.516730e+002
2.166335e-001	1.428213e+002
2.489396e-001	1.347752e+002
2.812222e-001	1.267282e+002
2.711613e-001	1.170728e+002
3.669937e-001	1.114396e+002
3.992998e-001	1.033935e+002
3.680312e-001	9.293266e+001
3.156033e-001	8.166810e+001
3.267017e-001	7.281647e+001
3.166393e-001	6.316112e+001
3.701062e-001	5.591872e+001
4.024123e-001	4.787258e+001
3.288001e-001	3.580341e+001
3.822656e-001	2.856100e+001
3.722046e-001	1.890564e+001
4.680385e-001	1.327247e+001
6.062379e-001	9.248511e+000
6.385440e-001	1.202378e+000
5.649084e-001	-1.086768e+001
4.701135e-001	-2.374148e+001
5.447865e-001	-3.017838e+001
6.618032e-001	-3.500695e+001
6.517423e-001	-4.466230e+001
7.475747e-001	-5.029548e+001
7.374903e-001	-5.995172e+001
7.274294e-001	-6.960706e+001
7.597340e-001	-7.765320e+001
7.496497e-001	-8.730943e+001
8.666663e-001	-9.213800e+001
8.777896e-001	-1.009887e+002
7.829932e-001	-1.138625e+002
7.729075e-001	-1.235188e+002
8.475819e-001	-1.299557e+002
9.222301e-001	-1.363935e+002
9.545362e-001	-1.444396e+002
1.029186e+000	-1.508774e+002
1.146204e+000	-1.557060e+002
1.051408e+000	-1.685798e+002
1.020162e+000	-1.790397e+002
1.010078e+000	-1.886960e+002
1.021200e+000	-1.975467e+002
1.222951e+000	-1.991568e+002
1.318784e+000	-2.047900e+002
1.478170e+000	-2.080094e+002
1.807023e+000	-2.047918e+002
2.008773e+000	-2.064019e+002
2.146999e+000	-2.104250e+002
2.200464e+000	-2.176674e+002
2.253930e+000	-2.249098e+002
2.265053e+000	-2.337605e+002
2.191439e+000	-2.458297e+002
2.393192e+000	-2.474398e+002
2.361925e+000	-2.579007e+002
2.563699e+000	-2.595099e+002
2.426512e+000	-2.739938e+002
2.670629e+000	-2.739947e+002
2.512283e+000	-2.892824e+002
2.798769e+000	-2.876740e+002
2.703973e+000	-3.005478e+002
2.842174e+000	-3.045718e+002
3.255763e+000	-2.981358e+002
3.393963e+000	-3.021597e+002
3.447452e+000	-3.094013e+002
3.331448e+000	-3.230806e+002
3.448490e+000	-3.279083e+002
3.417220e+000	-3.383691e+002
3.767259e+000	-3.343469e+002
3.757199e+000	-3.440023e+002
3.810664e+000	-3.512447e+002
4.308962e+000	-3.415911e+002
4.404819e+000	-3.472234e+002
4.310023e+000	-3.600972e+002
4.448222e+000	-3.641212e+002
4.459322e+000	-3.729728e+002
4.533997e+000	-3.794097e+002
4.862850e+000	-3.761922e+002
5.827165e+000	-3.488380e+002
8.570813e+000	-2.539001e+002
1.205586e+001	-1.308016e+002
1.416403e+001	-6.000111e+001
