    nm         	pN
0.000000e+000	5.538944e+002
2.511393e-002	5.466728e+002
2.694382e-001	5.466788e+002
5.341250e-002	5.315065e+002
1.275540e-002	5.221164e+002
-5.979152e-003	5.134490e+002
1.912804e-002	5.062272e+002
-8.728494e-002	4.946690e+002
-6.217774e-002	4.874471e+002
-5.898805e-002	4.795027e+002
-9.964515e-002	4.701125e+002
-2.279824e-001	4.578314e+002
-2.686319e-001	4.484415e+002
-2.654489e-001	4.404968e+002
-2.841826e-001	4.318295e+002
-2.590687e-001	4.246079e+002
-2.997250e-001	4.152178e+002
-3.184587e-001	4.065505e+002
-4.687201e-001	3.935465e+002
-3.340019e-001	3.899387e+002
-3.308113e-001	3.819942e+002
-5.249204e-001	3.675446e+002
-4.121247e-001	3.632140e+002
-5.404619e-001	3.509329e+002
-3.619036e-001	3.487705e+002
-2.052610e-001	3.458855e+002
-1.143895e-001	3.408320e+002
-2.427276e-001	3.285509e+002
-1.956970e-001	3.220519e+002
-2.363541e-001	3.126618e+002
-2.989279e-001	3.025490e+002
-1.861330e-001	2.982183e+002
-1.829425e-001	2.902739e+002
-2.674396e-001	2.794383e+002
-2.423324e-001	2.722164e+002
-1.733776e-001	2.664403e+002
-2.140347e-001	2.570502e+002
-2.327676e-001	2.483829e+002
-3.172656e-001	2.375472e+002
-4.236794e-001	2.259890e+002
-4.862540e-001	2.158762e+002
-2.857773e-001	2.144365e+002
-2.168225e-001	2.086604e+002
-6.018670e-002	2.057752e+002
7.453158e-002	2.021673e+002
1.195698e-002	1.920546e+002
-6.775882e-003	1.833872e+002
3.690762e-001	1.877299e+002
3.064957e-001	1.776169e+002
2.877687e-001	1.689498e+002
1.375081e-001	1.559459e+002
-1.442819e-001	1.386053e+002
-7.533469e-002	1.328289e+002
-7.214416e-002	1.248845e+002
1.873323e-002	1.198312e+002
1.315290e-001	1.155005e+002
1.566361e-001	1.082787e+002
2.829809e-002	9.599757e+001
1.191696e-001	9.094406e+001
3.467157e-002	8.010844e+001
1.255431e-001	7.505493e+001
2.164213e-001	7.000163e+001
2.634527e-001	6.350264e+001
3.543242e-001	5.844913e+001
5.548068e-001	5.700963e+001
4.922322e-001	4.689685e+001
4.515767e-001	3.750670e+001
4.109197e-001	2.811655e+001
4.141094e-001	2.017210e+001
3.953765e-001	1.150479e+001
3.108793e-001	6.691835e-001
2.702290e-001	-8.720732e+000
3.611005e-001	-1.377426e+001
4.081319e-001	-2.027323e+001
6.305370e-001	-2.098991e+001
6.775684e-001	-2.748888e+001
7.245999e-001	-3.398787e+001
1.122369e+000	-2.892265e+001
7.967385e-001	-4.770869e+001
8.437682e-001	-5.420768e+001
6.277425e-001	-6.937993e+001
6.309339e-001	-7.732439e+001
1.050625e+000	-7.153632e+001
1.185343e+000	-7.514415e+001
1.100846e+000	-8.597976e+001
1.367093e+000	-8.525095e+001
1.523729e+000	-8.813615e+001
1.548836e+000	-9.535799e+001
1.486263e+000	-1.054708e+002
1.533293e+000	-1.119697e+002
1.602249e+000	-1.177459e+002
1.649278e+000	-1.242449e+002
1.915525e+000	-1.235161e+002
2.072161e+000	-1.264013e+002
2.141117e+000	-1.321774e+002
2.253911e+000	-1.365081e+002
2.059803e+000	-1.509577e+002
2.062992e+000	-1.589022e+002
2.241552e+000	-1.610645e+002
2.222819e+000	-1.697318e+002
2.160245e+000	-1.798446e+002
2.404567e+000	-1.798386e+002
2.385834e+000	-1.885059e+002
2.673999e+000	-1.870545e+002
3.071773e+000	-1.819891e+002
3.754523e+000	-1.675277e+002
3.998845e+000	-1.675218e+002
4.243170e+000	-1.675158e+002
4.114831e+000	-1.797969e+002
4.446842e+000	-1.768998e+002
4.428109e+000	-1.855671e+002
4.606669e+000	-1.877294e+002
4.850990e+000	-1.877235e+002
5.182994e+000	-1.848266e+002
5.668459e+000	-1.768700e+002
5.803170e+000	-1.804780e+002
6.507843e+000	-1.652938e+002
6.576797e+000	-1.710700e+002
7.040336e+000	-1.638362e+002
6.890075e+000	-1.768402e+002
7.002869e+000	-1.811708e+002
7.466402e+000	-1.739373e+002
7.316141e+000	-1.869412e+002
7.801605e+000	-1.789846e+002
7.892476e+000	-1.840381e+002
8.377932e+000	-1.760818e+002
8.227670e+000	-1.890857e+002
8.208938e+000	-1.977530e+002
8.409420e+000	-1.991925e+002
8.872958e+000	-1.919588e+002
8.941907e+000	-1.977351e+002
8.988938e+000	-2.042341e+002
8.685231e+000	-2.222973e+002
8.732262e+000	-2.287963e+002
8.866981e+000	-2.324041e+002
9.659334e+000	-2.143290e+002
1.021056e+001	-2.042043e+002
1.036720e+001	-2.070893e+002
1.076496e+001	-2.020240e+002
1.107505e+001	-1.998498e+002
1.131938e+001	-1.998438e+002
1.165139e+001	-1.969467e+002
1.191763e+001	-1.962179e+002
1.198658e+001	-2.019942e+002
1.240628e+001	-1.962060e+002
1.219025e+001	-2.113782e+002
1.225921e+001	-2.171544e+002
1.232816e+001	-2.229307e+002
1.226558e+001	-2.330435e+002
1.281680e+001	-2.229188e+002
1.474907e+001	-1.672595e+002
1.580449e+001	-1.405109e+002
1.536925e+001	-1.629109e+002
1.548204e+001	-1.672416e+002
1.605519e+001	-1.563940e+002
1.618990e+001	-1.600019e+002
1.623694e+001	-1.665008e+002
1.634973e+001	-1.708315e+002
1.661598e+001	-1.701027e+002
1.657532e+001	-1.794929e+002
1.732383e+001	-1.628632e+002
1.763392e+001	-1.606889e+002
1.785632e+001	-1.614058e+002
1.856099e+001	-1.462216e+002
1.854226e+001	-1.548889e+002
1.946615e+001	-1.324770e+002
1.940357e+001	-1.425898e+002
1.931907e+001	-1.534254e+002
1.982646e+001	-1.447462e+002
1.972003e+001	-1.563046e+002
1.992052e+001	-1.577441e+002
1.990178e+001	-1.664114e+002
1.994881e+001	-1.729104e+002
2.034659e+001	-1.678450e+002
2.135816e+001	-1.425421e+002
2.206283e+001	-1.273579e+002
2.239483e+001	-1.244610e+002
2.255148e+001	-1.273460e+002
2.329999e+001	-1.107163e+002
2.317165e+001	-1.229974e+002
2.332829e+001	-1.258826e+002
2.366030e+001	-1.229855e+002
2.405807e+001	-1.179203e+002
2.406126e+001	-1.258647e+002
2.386716e+001	-1.403141e+002
2.454990e+001	-1.258528e+002
2.490383e+001	-1.222331e+002
2.506047e+001	-1.251180e+002
2.506366e+001	-1.330627e+002
2.502301e+001	-1.424526e+002
2.546462e+001	-1.359417e+002
2.562126e+001	-1.388269e+002
2.573405e+001	-1.431576e+002
2.564956e+001	-1.539932e+002
2.611310e+001	-1.467595e+002
2.653279e+001	-1.409714e+002
2.686480e+001	-1.380743e+002
2.706528e+001	-1.395140e+002
2.739729e+001	-1.366169e+002
2.840886e+001	-1.113140e+002
2.896008e+001	-1.011893e+002
2.931401e+001	-9.756932e+001
2.997484e+001	-8.383085e+001
2.945191e+001	-1.091218e+002
2.980584e+001	-1.055021e+002
3.090510e+001	-7.730801e+001
3.128095e+001	-7.296542e+001
3.231444e+001	-4.693966e+001
3.354523e+001	-1.440897e+001
3.275925e+001	-4.837321e+001
3.328854e+001	-3.897136e+001
3.344519e+001	-4.185635e+001
3.314148e+001	-5.991975e+001
3.360501e+001	-5.268600e+001
3.398086e+001	-4.834340e+001
3.345794e+001	-7.363439e+001
3.477641e+001	-3.821275e+001
3.451654e+001	-5.483047e+001
3.482663e+001	-5.265619e+001
3.564091e+001	-3.385824e+001
3.496453e+001	-6.420870e+001
3.483619e+001	-7.648979e+001
3.464209e+001	-9.093919e+001
3.473296e+001	-9.599270e+001
3.545956e+001	-8.008568e+001
3.530930e+001	-9.308962e+001
3.656200e+001	-5.983630e+001
3.674056e+001	-6.199865e+001
3.665606e+001	-7.283427e+001
3.687847e+001	-7.355093e+001
3.677205e+001	-8.510940e+001
3.752056e+001	-6.847975e+001
3.789641e+001	-6.413715e+001
3.772423e+001	-7.786372e+001
3.847274e+001	-6.123407e+001
3.821288e+001	-7.785179e+001
3.843528e+001	-7.856867e+001
3.861384e+001	-8.073103e+001
3.846358e+001	-9.373496e+001
3.846677e+001	-1.016794e+002
3.921528e+001	-8.504977e+001
3.941576e+001	-8.648929e+001
3.963816e+001	-8.720617e+001
3.981672e+001	-8.936852e+001
3.997336e+001	-9.225373e+001
4.048074e+001	-8.357450e+001
4.090044e+001	-7.778622e+001
4.009253e+001	-1.124733e+002
4.031493e+001	-1.131902e+002
4.088808e+001	-1.023426e+002
4.170235e+001	-8.354469e+001
4.157402e+001	-9.582578e+001
4.120454e+001	-1.160573e+002
4.131734e+001	-1.203880e+002
4.248236e+001	-9.002579e+001
4.252939e+001	-9.652478e+001
4.244489e+001	-1.073604e+002
4.262345e+001	-1.095228e+002
4.264856e+001	-1.167444e+002
4.311209e+001	-1.095108e+002
4.256725e+001	-1.355244e+002
4.272389e+001	-1.384096e+002
4.353817e+001	-1.196117e+002
4.367288e+001	-1.232195e+002
4.549555e+001	-7.117396e+001
4.582755e+001	-6.827706e+001
4.580882e+001	-7.694437e+001
4.583393e+001	-8.416598e+001
4.574944e+001	-9.500159e+001
4.612529e+001	-9.065899e+001
4.718070e+001	-6.391062e+001
4.771000e+001	-5.450855e+001
4.834891e+001	-4.149269e+001
4.865900e+001	-3.931842e+001
4.888140e+001	-4.003531e+001
4.912572e+001	-4.002934e+001
4.926044e+001	-4.363716e+001
4.961436e+001	-4.001742e+001
5.038480e+001	-2.266494e+001
4.964267e+001	-5.518370e+001
5.004044e+001	-5.011827e+001
5.103009e+001	-2.553821e+001
5.092367e+001	-3.709645e+001
5.110223e+001	-3.925881e+001
5.097388e+001	-5.154011e+001
5.104284e+001	-5.731625e+001
5.179135e+001	-4.068662e+001
5.159725e+001	-5.513602e+001
5.173197e+001	-5.874384e+001
5.145018e+001	-7.608441e+001
5.147529e+001	-8.330624e+001
5.237725e+001	-6.161712e+001
5.277503e+001	-5.655168e+001
5.317279e+001	-5.148647e+001
5.350481e+001	-4.858933e+001
5.357376e+001	-5.436548e+001
5.344542e+001	-6.664656e+001
5.436930e+001	-4.423482e+001
5.404367e+001	-6.302086e+001
5.371804e+001	-8.180689e+001
5.389660e+001	-8.396924e+001
5.418476e+001	-8.251782e+001
5.462638e+001	-7.600690e+001
5.473917e+001	-8.033758e+001
5.531232e+001	-6.949004e+001
5.527166e+001	-7.888019e+001
5.562560e+001	-7.526021e+001
5.576031e+001	-7.886827e+001
5.633346e+001	-6.802071e+001
5.681891e+001	-6.006434e+001
5.712900e+001	-5.789006e+001
5.741717e+001	-5.643842e+001
5.713538e+001	-7.377898e+001
5.709472e+001	-8.316912e+001
5.744866e+001	-7.954915e+001
5.762721e+001	-8.171151e+001
5.784961e+001	-8.242840e+001
5.842276e+001	-7.158085e+001
5.853556e+001	-7.591152e+001
5.845105e+001	-8.674714e+001
5.882691e+001	-8.240455e+001
5.915892e+001	-7.950743e+001
5.940324e+001	-7.950147e+001
5.929682e+001	-9.105993e+001
6.002342e+001	-7.515290e+001
6.020198e+001	-7.731527e+001
6.077512e+001	-6.646773e+001
6.115096e+001	-6.212535e+001
6.082534e+001	-8.091139e+001
6.177114e+001	-5.777679e+001
6.116053e+001	-8.595872e+001
6.116372e+001	-9.390341e+001
6.132036e+001	-9.678838e+001
6.233193e+001	-7.148547e+001
6.231320e+001	-8.015277e+001
6.236023e+001	-8.665176e+001
6.242918e+001	-9.242790e+001
6.284888e+001	-8.663984e+001
6.322473e+001	-8.229725e+001
6.305254e+001	-9.602402e+001
6.329687e+001	-9.601806e+001
6.327813e+001	-1.046854e+002
6.374167e+001	-9.745161e+001
6.352565e+001	-1.126239e+002
6.431801e+001	-9.454851e+001
6.432119e+001	-1.024932e+002
6.458744e+001	-1.017644e+002
6.417412e+001	-1.234416e+002
6.437460e+001	-1.248811e+002
6.505735e+001	-1.104198e+002
6.538936e+001	-1.075226e+002
6.504180e+001	-1.270315e+002
6.506691e+001	-1.342534e+002
6.531124e+001	-1.342474e+002
6.557748e+001	-1.335186e+002
6.599718e+001	-1.277305e+002
6.589076e+001	-1.392888e+002
6.635430e+001	-1.320552e+002
6.673014e+001	-1.277126e+002
6.706216e+001	-1.248155e+002
6.726264e+001	-1.262550e+002
6.717814e+001	-1.370906e+002
6.768552e+001	-1.284114e+002
6.773255e+001	-1.349104e+002
6.780150e+001	-1.406868e+002
6.806775e+001	-1.399580e+002
6.772019e+001	-1.594668e+002
6.833718e+001	-1.471738e+002
6.805539e+001	-1.645142e+002
6.851893e+001	-1.572806e+002
6.902631e+001	-1.486014e+002
6.850338e+001	-1.738924e+002
6.901077e+001	-1.652132e+002
6.956198e+001	-1.550885e+002
6.952133e+001	-1.644784e+002
6.959029e+001	-1.702548e+002
6.976884e+001	-1.724171e+002
6.953090e+001	-1.883120e+002
6.986290e+001	-1.854151e+002
7.039220e+001	-1.760130e+002
7.028579e+001	-1.875715e+002
7.044243e+001	-1.904565e+002
7.048946e+001	-1.969555e+002
7.117221e+001	-1.824941e+002
7.185496e+001	-1.680328e+002
7.247194e+001	-1.557398e+002
7.205863e+001	-1.774168e+002
7.160146e+001	-2.005397e+002
7.219653e+001	-1.889693e+002
7.202435e+001	-2.026961e+002
7.198370e+001	-2.120860e+002
7.222802e+001	-2.120800e+002
7.262579e+001	-2.070148e+002
7.308933e+001	-1.997810e+002
7.364055e+001	-1.896563e+002
7.318339e+001	-2.127790e+002
7.362500e+001	-2.062681e+002
7.373780e+001	-2.105988e+002
7.345601e+001	-2.279393e+002
7.378802e+001	-2.250422e+002
7.392274e+001	-2.286501e+002
7.401361e+001	-2.337036e+002
7.438946e+001	-2.293610e+002
7.559832e+001	-1.975531e+002
7.700448e+001	-1.592403e+002
7.805990e+001	-1.324917e+002
7.964142e+001	-8.839682e+001
7.968845e+001	-9.489579e+001
7.984509e+001	-9.778101e+001
8.017710e+001	-9.488388e+001
8.068447e+001	-8.620465e+001
8.103840e+001	-8.258491e+001
8.141426e+001	-7.824232e+001
8.154898e+001	-8.185013e+001
8.168369e+001	-8.545796e+001
8.140190e+001	-1.027985e+002
8.221618e+001	-8.400056e+001
8.213168e+001	-9.483619e+001
8.233216e+001	-9.627570e+001
8.286146e+001	-8.687385e+001
8.343461e+001	-7.602630e+001
8.324051e+001	-9.047570e+001
8.333137e+001	-9.552923e+001
8.418950e+001	-7.528557e+001
8.469688e+001	-6.660635e+001
8.456854e+001	-7.888744e+001
8.446212e+001	-9.044590e+001
8.521063e+001	-7.381626e+001
8.571801e+001	-6.513703e+001
8.607194e+001	-6.151728e+001
8.655741e+001	-5.356068e+001
8.660444e+001	-6.005967e+001
8.625688e+001	-7.956855e+001
8.623815e+001	-8.823585e+001
8.652631e+001	-8.678443e+001
8.705561e+001	-7.738236e+001
8.738763e+001	-7.448523e+001
8.697431e+001	-9.616243e+001
8.721863e+001	-9.615646e+001
8.794522e+001	-8.024967e+001
8.797034e+001	-8.747127e+001
8.830234e+001	-8.457438e+001
8.817400e+001	-9.685546e+001
8.850601e+001	-9.395834e+001
8.844343e+001	-1.040713e+002
8.835894e+001	-1.149067e+002
8.873479e+001	-1.105644e+002
8.904487e+001	-1.083901e+002
8.937688e+001	-1.054930e+002
8.955544e+001	-1.076553e+002
9.032588e+001	-9.030283e+001
9.065789e+001	-8.740570e+001
9.094605e+001	-8.595426e+001
9.097116e+001	-9.317611e+001
9.097435e+001	-1.011206e+002
9.080217e+001	-1.148471e+002
9.150684e+001	-9.966316e+001
9.131274e+001	-1.141126e+002
9.135977e+001	-1.206115e+002
9.193291e+001	-1.097640e+002
9.189226e+001	-1.191540e+002
9.163239e+001	-1.357719e+002
9.255628e+001	-1.133599e+002
9.223064e+001	-1.321459e+002
9.262841e+001	-1.270807e+002
9.278506e+001	-1.299657e+002
9.322667e+001	-1.234548e+002
9.336139e+001	-1.270629e+002
9.340842e+001	-1.335618e+002
9.332392e+001	-1.443975e+002
9.383130e+001	-1.357182e+002
9.436060e+001	-1.263162e+002
9.445147e+001	-1.313697e+002
9.463003e+001	-1.335320e+002
9.485244e+001	-1.342487e+002
9.516253e+001	-1.320744e+002
9.461768e+001	-1.580883e+002
9.451126e+001	-1.696467e+002
9.539130e+001	-1.486804e+002
9.570139e+001	-1.465062e+002
9.625261e+001	-1.363812e+002
9.665038e+001	-1.313160e+002
9.630283e+001	-1.508249e+002
9.705135e+001	-1.341950e+002
9.902746e+001	-7.709024e+001
1.001486e+002	-4.817356e+001
1.009629e+002	-2.937537e+001
1.019526e+002	-4.795316e+000
1.017146e+002	-2.069018e+001
1.016301e+002	-3.152580e+001
1.017429e+002	-3.585648e+001
1.024914e+002	-1.922683e+001
1.026042e+002	-2.355750e+001
1.031116e+002	-1.487827e+001
1.035313e+002	-9.090215e+000
1.035126e+002	-1.775751e+001
1.035158e+002	-2.570197e+001
1.038916e+002	-2.135938e+001
1.042675e+002	-1.701678e+001
1.048406e+002	-6.169246e+000
1.046026e+002	-2.206434e+001
1.046058e+002	-3.000880e+001
1.055516e+002	-6.874202e+000
1.048533e+002	-3.794729e+001
1.048127e+002	-4.733743e+001
1.060873e+002	-1.336127e+001
1.062440e+002	-1.624647e+001
1.064225e+002	-1.840860e+001
