    nm         	pN
0.000000e+000	5.573088e+002
1.565617e-001	5.544211e+002
9.401572e-002	5.443093e+002
-5.617165e-002	5.313078e+002
-3.107288e-002	5.240857e+002
-5.975785e-003	5.168635e+002
1.912467e-002	5.096414e+002
1.099490e-001	5.045864e+002
-4.023330e-002	4.915851e+002
2.477863e-001	4.930317e+002
1.414204e-001	4.814751e+002
-1.183149e-001	4.648617e+002
-9.321947e-002	4.576395e+002
1.509819e-001	4.576414e+002
-1.087551e-001	4.410279e+002
-2.589425e-001	4.280264e+002
-1.900221e-001	4.222492e+002
-2.744764e-001	4.114150e+002
-2.274693e-001	4.049152e+002
-9.282176e-002	4.013050e+002
-2.210958e-001	3.890261e+002
-1.302690e-001	3.839711e+002
2.629189e-002	3.810834e+002
-8.007311e-002	3.695268e+002
-2.959911e-001	3.543581e+002
-3.804462e-001	3.435239e+002
-1.362448e-001	3.435258e+002
-3.083404e-001	3.298020e+002
-4.366145e-001	3.175230e+002
-3.019660e-001	3.139129e+002
1.175190e-001	3.196941e+002
-3.266670e-002	3.066927e+002
3.624941e-002	3.009153e+002
-4.383284e-003	2.915259e+002
-1.197802e-003	2.835813e+002
-4.183133e-002	2.741919e+002
7.090715e-002	2.698594e+002
-2.107381e-001	2.525236e+002
-1.035907e-002	2.510807e+002
1.023803e-001	2.467481e+002
1.493873e-001	2.402484e+002
2.621258e-001	2.359158e+002
3.091328e-001	2.294161e+002
2.246786e-001	2.185819e+002
2.278666e-001	2.106374e+002
3.406050e-001	2.063048e+002
1.027780e-001	1.904137e+002
3.469794e-001	1.904157e+002
2.187028e-001	1.781366e+002
3.314413e-001	1.738041e+002
3.565392e-001	1.665819e+002
2.063527e-001	1.535805e+002
6.915700e-001	1.615290e+002
5.194744e-001	1.478051e+002
6.103004e-001	1.427501e+002
7.230422e-001	1.384177e+002
5.947648e-001	1.261386e+002
6.636818e-001	1.203612e+002
7.983335e-001	1.167512e+002
1.283547e+000	1.246996e+002
1.418198e+000	1.210895e+002
1.530936e+000	1.167570e+002
1.687498e+000	1.138693e+002
1.537310e+000	1.008679e+002
1.452855e+000	9.003366e+001
1.850429e+000	9.509243e+001
1.634511e+000	7.992375e+001
1.265221e+000	5.969821e+001
1.136948e+000	4.741924e+001
1.381149e+000	4.742118e+001
1.778722e+000	5.247996e+001
1.650447e+000	4.020098e+001
1.697455e+000	3.370122e+001
1.613000e+000	2.286700e+001
1.681917e+000	1.708960e+001
1.707016e+000	9.867476e+000
2.542798e+000	2.937450e+001
2.524074e+000	2.070751e+001
2.636812e+000	1.637498e+001
2.552357e+000	5.540761e+000
2.621274e+000	-2.366200e-001
2.843566e+000	-9.570596e-001
3.000128e+000	-3.844725e+000
3.178597e+000	-6.010022e+000
3.225605e+000	-1.250978e+001
3.294522e+000	-1.828716e+001
3.385351e+000	-2.334207e+001
3.520002e+000	-2.695211e+001
3.391726e+000	-3.923120e+001
3.657836e+000	-3.850688e+001
3.529561e+000	-5.078587e+001
3.795672e+000	-5.006155e+001
3.974142e+000	-5.222684e+001
4.327896e+000	-4.861282e+001
4.287264e+000	-5.800218e+001
4.290449e+000	-6.594680e+001
4.490829e+000	-6.738972e+001
4.625480e+000	-7.099976e+001
4.650579e+000	-7.822190e+001
5.179613e+000	-6.882866e+001
5.621008e+000	-6.232502e+001
5.930940e+000	-6.015585e+001
