    nm         	pN
0.000000e+000	5.414859e+002
4.706679e-002	5.349881e+002
-5.942869e-002	5.234271e+002
9.732663e-002	5.205459e+002
1.882672e-001	5.154946e+002
1.695191e-001	5.068269e+002
6.302366e-002	4.952659e+002
8.814937e-002	4.880447e+002
1.571572e-001	4.822703e+002
2.919782e-001	4.786659e+002
5.384893e-002	4.627649e+002
2.983576e-001	4.627769e+002
2.796088e-001	4.541091e+002
2.608616e-001	4.454414e+002
1.324259e-001	4.331570e+002
1.356206e-001	4.252127e+002
1.607463e-001	4.179915e+002
1.200581e-001	4.086003e+002
5.743632e-002	3.984860e+002
6.062938e-002	3.905416e+002
6.382243e-002	3.825972e+002
3.302646e-001	3.833325e+002
3.553979e-001	3.761115e+002
6.437811e-001	3.775702e+002
6.250331e-001	3.689024e+002
6.501597e-001	3.616812e+002
6.972264e-001	3.551834e+002
6.346047e-001	3.450690e+002
6.816723e-001	3.385713e+002
4.874218e-001	3.241170e+002
4.906149e-001	3.161726e+002
8.009384e-001	3.183546e+002
8.699387e-001	3.125800e+002
6.976292e-001	2.988491e+002
1.007953e+000	3.010312e+002
1.186647e+000	2.988733e+002
1.124026e+000	2.887590e+002
1.193026e+000	2.829843e+002
1.218159e+000	2.757634e+002
1.133597e+000	2.649256e+002
1.070970e+000	2.548111e+002
1.183850e+000	2.504832e+002
1.538053e+000	2.541120e+002
1.321864e+000	2.389344e+002
1.325057e+000	2.309900e+002
1.437938e+000	2.266622e+002
1.397250e+000	2.172710e+002
1.466257e+000	2.114966e+002
1.732699e+000	2.122319e+002
1.692019e+000	2.028409e+002
1.717144e+000	1.956197e+002
1.457081e+000	1.789955e+002
1.613836e+000	1.761142e+002
1.507340e+000	1.645533e+002
1.532467e+000	1.573321e+002
1.711162e+000	1.551742e+002
1.977611e+000	1.559097e+002
2.309868e+000	1.588149e+002
2.005931e+000	1.407441e+002
1.855555e+000	1.277364e+002
2.056190e+000	1.263019e+002
2.234885e+000	1.241441e+002
1.974814e+000	1.075196e+002
1.802505e+000	9.378873e+001
2.047014e+000	9.380081e+001
2.401212e+000	9.742944e+001
2.536033e+000	9.382499e+001
2.495344e+000	8.443383e+001
2.520478e+000	7.721285e+001
2.786921e+000	7.794811e+001
2.746239e+000	6.855716e+001
2.990749e+000	6.856925e+001
3.147502e+000	6.568798e+001
2.887440e+000	4.906374e+001
2.912565e+000	4.184254e+001
3.025447e+000	3.751470e+001
2.853137e+000	2.378382e+001
2.724695e+000	1.149930e+001
2.881455e+000	8.618242e+000
3.213712e+000	1.152347e+001
3.677606e+000	1.876886e+001
3.614984e+000	8.654510e+000
3.464608e+000	-4.353175e+000
3.314232e+000	-1.736088e+001
3.624556e+000	-1.517882e+001
3.891005e+000	-1.444334e+001
4.069700e+000	-1.660122e+001
4.380023e+000	-1.441916e+001
4.558719e+000	-1.657704e+001
4.364463e+000	-3.103154e+001
4.345714e+000	-3.969931e+001
4.370847e+000	-4.692029e+001
4.308225e+000	-5.703463e+001
4.333353e+000	-6.425584e+001
4.336546e+000	-7.220021e+001
4.273917e+000	-8.231477e+001
4.671996e+000	-7.723935e+001
