    nm         	pN
0.000000e+000	5.400432e+002
2.509709e-002	5.328210e+002
5.020092e-002	5.255991e+002
5.338219e-002	5.176543e+002
-3.108129e-002	5.068198e+002
1.593162e-002	5.003202e+002
-1.123551e-001	4.880408e+002
-2.187260e-001	4.764840e+002
-8.406831e-002	4.728742e+002
-3.219156e-001	4.569825e+002
-1.434280e-001	4.548177e+002
-1.840682e-001	4.454281e+002
-7.131881e-002	4.410960e+002
1.071680e-001	4.389312e+002
-6.494026e-002	4.252070e+002
2.589503e-002	4.201523e+002
1.605586e-001	4.165426e+002
1.637415e-001	4.085979e+002
1.353986e-002	3.955960e+002
2.796798e-001	3.963213e+002
5.239048e-001	3.963240e+002
5.270936e-001	3.883795e+002
5.083683e-001	3.797124e+002
5.772954e-001	3.739354e+002
4.928311e-001	3.631009e+002
5.398440e-001	3.566013e+002
6.745017e-001	3.529914e+002
5.900382e-001	3.421569e+002
7.027943e-001	3.378250e+002
9.689276e-001	3.385500e+002
9.063791e-001	3.284381e+002
1.260165e+000	3.320532e+002
1.219530e+000	3.226638e+002
9.597629e-001	3.060493e+002
8.752994e-001	2.952148e+002
8.127501e-001	2.851028e+002
7.721166e-001	2.757135e+002
7.972137e-001	2.684913e+002
1.085262e+000	2.699389e+002
1.000798e+000	2.591044e+002
1.179285e+000	2.569397e+002
1.138652e+000	2.475503e+002
1.317139e+000	2.453856e+002
1.079286e+000	2.294936e+002
9.290844e-001	2.164917e+002
1.085664e+000	2.136046e+002
1.242236e+000	2.107174e+002
1.245425e+000	2.027729e+002
1.314346e+000	1.969956e+002
1.470925e+000	1.941085e+002
1.386462e+000	1.832740e+002
1.258175e+000	1.709946e+002
1.458571e+000	1.695522e+002
1.549412e+000	1.644978e+002
1.377296e+000	1.507733e+002
1.511961e+000	1.471637e+002
1.471320e+000	1.377740e+002
1.825112e+000	1.413893e+002
1.696820e+000	1.291097e+002
1.678094e+000	1.204427e+002
1.615545e+000	1.103307e+002
1.772118e+000	1.074434e+002
2.235471e+000	1.146711e+002
1.800410e+000	9.227699e+001
1.869331e+000	8.649972e+001
2.025910e+000	8.361267e+001
2.204397e+000	8.144794e+001
2.054197e+000	6.844601e+001
2.298422e+000	6.844873e+001
2.257782e+000	5.905912e+001
2.523921e+000	5.978440e+001
2.855792e+000	6.267691e+001
2.880896e+000	5.545495e+001
3.081298e+000	5.401279e+001
3.281693e+000	5.257040e+001
3.525918e+000	5.257313e+001
3.507192e+000	4.390607e+001
3.488467e+000	3.523902e+001
3.425918e+000	2.512708e+001
3.538668e+000	2.079491e+001
3.717156e+000	1.863019e+001
3.983295e+000	1.935547e+001
3.986478e+000	1.141075e+001
4.011582e+000	4.188806e+000
4.014772e+000	-3.755680e+000
4.105606e+000	-8.810406e+000
4.240270e+000	-1.242001e+001
4.265367e+000	-1.964218e+001
4.619153e+000	-1.602712e+001
4.644257e+000	-2.324906e+001
4.625531e+000	-3.191612e+001
4.475330e+000	-4.491806e+001
4.522343e+000	-5.141767e+001
5.139079e+000	-3.913283e+001
5.186091e+000	-4.563244e+001
4.948243e+000	-6.152416e+001
5.104817e+000	-6.441144e+001
5.305218e+000	-6.585360e+001
5.637088e+000	-6.296111e+001
5.486887e+000	-7.596304e+001
5.249042e+000	-9.185477e+001
5.339876e+000	-9.690948e+001
5.233506e+000	-1.084663e+002
5.302424e+000	-1.142436e+002
5.590479e+000	-1.127958e+002
5.703229e+000	-1.171279e+002
5.881717e+000	-1.192926e+002
5.819161e+000	-1.294048e+002
6.019563e+000	-1.308470e+002
6.066575e+000	-1.373466e+002
6.529928e+000	-1.301190e+002
6.620763e+000	-1.351737e+002
6.952641e+000	-1.322810e+002
6.977738e+000	-1.395031e+002
7.331530e+000	-1.358879e+002
7.115592e+000	-1.510573e+002
7.535115e+000	-1.452747e+002
