    nm         	pN
0.000000e+000	6.104978e+002
-1.063237e-001	5.989426e+002
1.596807e-001	5.996634e+002
3.145964e-002	5.873861e+002
2.317604e-001	5.859406e+002
4.101571e-001	5.837729e+002
2.819293e-001	5.714955e+002
4.384270e-001	5.686057e+002
1.787902e-001	5.519956e+002
3.352930e-001	5.491060e+002
2.946712e-001	5.397170e+002
2.321488e-001	5.296059e+002
4.324563e-001	5.281606e+002
6.765567e-001	5.281592e+002
3.512162e-001	5.093828e+002
4.639092e-001	5.050487e+002
6.642150e-001	5.036034e+002
6.673962e-001	4.956586e+002
6.705775e-001	4.877139e+002
6.518615e-001	4.790471e+002
7.207600e-001	4.732691e+002
8.772459e-001	4.703790e+002
8.366334e-001	4.609903e+002
5.112921e-001	4.422138e+002
8.210978e-001	4.443788e+002
8.680863e-001	4.378784e+002
9.369839e-001	4.321004e+002
1.049677e+000	4.277664e+002
1.074768e+000	4.205440e+002
8.589394e-001	4.053783e+002
8.840154e-001	3.981554e+002
1.215733e+000	4.010428e+002
1.218912e+000	3.930980e+002
1.331605e+000	3.887640e+002
1.904228e+000	3.995944e+002
1.644592e+000	3.829842e+002
1.341161e+000	3.649301e+002
1.563365e+000	3.642068e+002
1.281832e+000	3.468747e+002
1.810647e+000	3.562607e+002
1.682420e+000	3.439832e+002
2.036034e+000	3.475926e+002
1.864010e+000	3.338712e+002
1.801488e+000	3.237601e+002
2.264599e+000	3.309797e+002
2.399201e+000	3.273680e+002
2.292884e+000	3.158130e+002
2.427473e+000	3.122009e+002
2.430654e+000	3.042561e+002
2.302440e+000	2.919791e+002
2.152314e+000	2.789797e+002
2.221200e+000	2.732013e+002
2.771925e+000	2.833097e+002
2.928413e+000	2.804196e+002
2.975401e+000	2.739192e+002
2.737674e+000	2.580314e+002
2.828469e+000	2.529754e+002
2.875458e+000	2.464750e+002
3.053855e+000	2.443073e+002
3.626479e+000	2.551377e+002
3.629659e+000	2.471929e+002
3.523342e+000	2.356379e+002
3.417023e+000	2.240828e+002
3.266899e+000	2.110834e+002
3.883316e+000	2.233577e+002
3.733191e+000	2.103582e+002
3.648771e+000	1.995252e+002
3.958575e+000	2.016901e+002
3.896066e+000	1.915795e+002
3.986848e+000	1.865230e+002
3.814826e+000	1.728016e+002
3.708508e+000	1.612465e+002
4.105916e+000	1.662998e+002
4.109095e+000	1.583551e+002
4.353197e+000	1.583537e+002
4.465890e+000	1.540197e+002
4.797605e+000	1.569071e+002
4.581777e+000	1.417413e+002
5.088695e+000	1.504053e+002
5.573705e+000	1.583469e+002
5.533090e+000	1.489582e+002
5.229660e+000	1.309041e+002
5.101432e+000	1.186267e+002
5.893079e+000	1.366785e+002
5.370624e+000	1.114029e+002
5.658533e+000	1.128460e+002
5.727418e+000	1.070675e+002
5.642998e+000	9.623445e+001
6.062316e+000	1.020102e+002
6.372121e+000	1.041752e+002
6.068677e+000	8.612061e+001
6.247073e+000	8.395291e+001
6.644493e+000	8.900666e+001
6.341050e+000	7.095213e+001
6.431846e+000	6.589611e+001
6.763549e+000	6.878307e+001
6.569629e+000	5.433970e+001
6.748026e+000	5.217199e+001
6.576004e+000	3.845060e+001
6.820106e+000	3.844924e+001
7.436523e+000	5.072354e+001
7.111196e+000	3.194749e+001
7.245784e+000	2.833541e+001
7.358477e+000	2.400135e+001
7.580682e+000	2.327804e+001
7.342940e+000	7.389837e+000
7.214728e+000	-4.887171e+000
7.831145e+000	7.387137e+000
7.921940e+000	2.331111e+000
7.749918e+000	-1.139028e+001
8.059724e+000	-9.225292e+000
8.391427e+000	-6.338333e+000
8.438414e+000	-1.283872e+001
8.879629e+000	-6.341044e+000
8.795208e+000	-1.717414e+001
9.280231e+000	-9.232081e+000
9.152004e+000	-2.150954e+001
9.242798e+000	-2.656557e+001
9.968727e+000	-1.068053e+001
9.993818e+000	-1.790289e+001
9.777989e+000	-3.306868e+001
1.006588e+001	-3.162610e+001
9.543442e+000	-5.690119e+001
9.568534e+000	-6.412355e+001
1.036017e+001	-4.607217e+001
1.049476e+001	-4.968425e+001
1.071696e+001	-5.040757e+001
1.061064e+001	-6.196264e+001
1.085475e+001	-6.196400e+001
1.098933e+001	-6.557609e+001
1.116773e+001	-6.774378e+001
1.149943e+001	-6.485684e+001
1.194065e+001	-5.835914e+001
1.192193e+001	-6.702588e+001
1.188132e+001	-7.641460e+001
1.234443e+001	-6.919495e+001
1.239142e+001	-7.569533e+001
1.243841e+001	-8.219574e+001
1.298913e+001	-7.208733e+001
1.264190e+001	-9.158580e+001
1.249177e+001	-1.045852e+002
1.328340e+001	-8.653386e+001
1.348371e+001	-8.797917e+001
1.324597e+001	-1.038673e+002
1.349007e+001	-1.038687e+002
1.327424e+001	-1.190345e+002
1.360596e+001	-1.161471e+002
1.365295e+001	-1.226475e+002
1.369994e+001	-1.291479e+002
1.400974e+001	-1.269829e+002
1.405673e+001	-1.334833e+002
1.432273e+001	-1.327627e+002
1.450112e+001	-1.349304e+002
1.492044e+001	-1.291547e+002
1.487982e+001	-1.385438e+002
