    nm         	pN
0.000000e+000	5.703338e+002
1.126981e-001	5.660000e+002
6.374330e-003	5.544447e+002
7.526266e-002	5.486664e+002
-7.486916e-002	5.356667e+002
-2.787814e-002	5.291664e+002
-1.342019e-001	5.176112e+002
-6.529841e-002	5.118334e+002
-1.497232e-001	5.010001e+002
-3.702677e-002	4.966662e+002
-7.765525e-002	4.872770e+002
-1.401676e-001	4.771663e+002
1.632511e-002	4.742763e+002
8.522690e-002	4.684985e+002
6.651088e-002	4.598317e+002
1.135019e-001	4.533314e+002
1.385796e-001	4.461086e+002
1.636725e-001	4.388863e+002
2.325617e-001	4.331080e+002
2.357564e-001	4.251637e+002
2.827458e-001	4.186634e+002
4.830499e-001	4.172180e+002
5.738498e-001	4.121621e+002
5.332348e-001	4.027733e+002
4.926055e-001	3.933841e+002
6.710115e-001	3.912167e+002
8.713273e-001	3.897717e+002
6.992847e-001	3.760496e+002
6.367716e-001	3.659388e+002
8.151776e-001	3.637714e+002
8.183580e-001	3.558266e+002
8.215393e-001	3.478819e+002
9.561482e-001	3.442704e+002
8.498126e-001	3.327148e+002
8.311083e-001	3.240484e+002
9.876027e-001	3.211586e+002
1.166008e+000	3.189911e+002
1.081583e+000	3.081579e+002
1.150486e+000	3.023801e+002
1.109856e+000	2.929908e+002
1.047343e+000	2.828801e+002
1.247647e+000	2.814347e+002
1.491760e+000	2.814337e+002
1.385437e+000	2.698785e+002
1.410516e+000	2.626557e+002
1.610834e+000	2.612107e+002
1.460701e+000	2.482110e+002
1.989543e+000	2.575979e+002
1.905118e+000	2.467647e+002
1.842592e+000	2.366534e+002
1.867684e+000	2.294311e+002
2.133695e+000	2.301521e+002
2.005474e+000	2.178749e+002
1.767736e+000	2.019868e+002
2.099455e+000	2.048743e+002
2.124547e+000	1.976520e+002
2.434368e+000	1.998174e+002
1.955698e+000	1.759855e+002
2.024586e+000	1.702072e+002
1.896353e+000	1.579295e+002
2.162377e+000	1.586510e+002
2.187456e+000	1.514282e+002
2.322065e+000	1.478168e+002
2.456662e+000	1.442050e+002
2.372237e+000	1.333717e+002
2.638262e+000	1.340932e+002
2.641442e+000	1.261485e+002
2.710331e+000	1.203701e+002
2.910647e+000	1.189252e+002
2.870019e+000	1.095359e+002
2.741798e+000	9.725872e+001
2.744979e+000	8.931395e+001
2.813867e+000	8.353563e+001
2.838961e+000	7.631332e+001
2.864053e+000	6.909099e+001
3.261478e+000	7.414492e+001
3.198953e+000	6.403371e+001
2.895506e+000	4.597913e+001
3.314846e+000	5.175552e+001
3.471338e+000	4.886565e+001
3.781159e+000	5.103113e+001
3.828150e+000	4.453081e+001
3.437099e+000	2.358779e+001
3.374572e+000	1.347656e+001
3.684393e+000	1.564205e+001
4.169439e+000	2.358489e+001
4.085013e+000	1.275166e+001
4.044398e+000	3.362889e+000
4.025682e+000	-5.303865e+000
4.072672e+000	-1.180419e+001
4.426290e+000	-8.194693e+000
4.451382e+000	-1.541702e+001
4.564080e+000	-1.975089e+001
4.742485e+000	-2.191831e+001
4.964700e+000	-2.264127e+001
5.033588e+000	-2.841959e+001
5.168185e+000	-3.203146e+001
5.215175e+000	-3.853178e+001
