    nm         	pN
0.000000e+000	5.591229e+002
1.011542e-001	5.507091e+002
2.658809e-001	5.460362e+002
5.418384e-001	5.479082e+002
3.728548e-001	5.235991e+002
5.375805e-001	5.189260e+002
5.592812e-001	5.058371e+002
5.492047e-001	4.908783e+002
7.457096e-001	4.880752e+002
8.786571e-001	4.815323e+002
1.138718e+000	4.824690e+002
1.223991e+000	4.731208e+002
1.150342e+000	4.544213e+002
1.044915e+000	4.338519e+002
1.146084e+000	4.254391e+002
1.358470e+000	4.235705e+002
1.364290e+000	4.095471e+002
1.322420e+000	3.927175e+002
1.487146e+000	3.880445e+002
1.508846e+000	3.749556e+002
1.689470e+000	3.712180e+002
1.949530e+000	3.721546e+002
1.891779e+000	3.543906e+002
2.183633e+000	3.571980e+002
2.523162e+000	3.628108e+002
2.465410e+000	3.450467e+002
2.630136e+000	3.403737e+002
2.747188e+000	3.328954e+002
2.975470e+000	3.319622e+002
2.917718e+000	3.141981e+002
3.018887e+000	3.057853e+002
3.199494e+000	3.020467e+002
3.205314e+000	2.880234e+002
3.115769e+000	2.683885e+002
3.344067e+000	2.674561e+002
3.715374e+000	2.749388e+002
3.816528e+000	2.665251e+002
3.758777e+000	2.487610e+002
3.939384e+000	2.450225e+002
3.849854e+000	2.253885e+002
4.014580e+000	2.207155e+002
3.988606e+000	2.048213e+002
4.042100e+000	1.936032e+002
4.604093e+000	2.123061e+002
4.594016e+000	1.973473e+002
4.949443e+000	2.038955e+002
4.971143e+000	1.908066e+002
4.913391e+000	1.730425e+002
5.093999e+000	1.693040e+002
5.179271e+000	1.599558e+002
5.773058e+000	1.805295e+002
5.905990e+000	1.739857e+002
5.895913e+000	1.590269e+002
6.012964e+000	1.515486e+002
6.034665e+000	1.384597e+002
5.929238e+000	1.178903e+002
5.982733e+000	1.066722e+002
6.258690e+000	1.085443e+002
6.391638e+000	1.020014e+002
6.715271e+000	1.066787e+002
6.879997e+000	1.020057e+002
6.726895e+000	7.863105e+001
6.732699e+000	6.460676e+001
6.913322e+000	6.086914e+001
6.966802e+000	4.965015e+001
7.210981e+000	4.965231e+001
7.486939e+000	5.152439e+001
7.651664e+000	4.685136e+001
7.816391e+000	4.217834e+001
7.790416e+000	2.628416e+001
8.018715e+000	2.535183e+001
7.770263e+000	-3.633409e+000
8.093895e+000	1.043945e+000
8.512878e+000	1.133188e+001
8.614032e+000	2.918177e+000
8.333818e+000	-2.793606e+001
8.466750e+000	-3.447987e+001
8.838057e+000	-2.699723e+001
8.621400e+000	-5.411167e+001
8.881475e+000	-5.317412e+001
8.903176e+000	-6.626302e+001
9.147356e+000	-6.626084e+001
9.264407e+000	-7.373915e+001
9.286108e+000	-8.682804e+001
9.482612e+000	-8.963116e+001
9.742673e+000	-8.869448e+001
9.748493e+000	-1.027179e+002
9.944997e+000	-1.055210e+002
1.025275e+001	-1.017782e+002
1.000430e+001	-1.307634e+002
1.034383e+001	-1.251506e+002
1.047676e+001	-1.316945e+002
1.038723e+001	-1.513284e+002
1.072676e+001	-1.457157e+002
1.087559e+001	-1.513241e+002
1.077016e+001	-1.718935e+002
1.072830e+001	-1.887221e+002
1.084536e+001	-1.962005e+002
1.108953e+001	-1.961983e+002
1.125425e+001	-2.008722e+002
1.127596e+001	-2.139602e+002
1.139301e+001	-2.214385e+002
1.141471e+001	-2.345274e+002
1.180190e+001	-2.261103e+002
1.198253e+001	-2.298479e+002
1.206780e+001	-2.391961e+002
1.228018e+001	-2.410647e+002
1.242901e+001	-2.466731e+002
1.249840e+001	-2.569558e+002
1.283792e+001	-2.513439e+002
1.284374e+001	-2.653674e+002
1.370768e+001	-2.288973e+002
1.352278e+001	-2.541427e+002
1.368751e+001	-2.588158e+002
1.423362e+001	-2.410473e+002
1.454137e+001	-2.373045e+002
1.464252e+001	-2.457182e+002
1.480725e+001	-2.503912e+002
1.514678e+001	-2.447785e+002
1.496190e+001	-2.700230e+002
1.526964e+001	-2.662811e+002
1.522778e+001	-2.831098e+002
1.534483e+001	-2.905881e+002
1.546188e+001	-2.980663e+002
1.697734e+001	-2.232594e+002
1.893778e+001	-1.222694e+002
1.930909e+001	-1.147868e+002
1.947381e+001	-1.194598e+002
1.951140e+001	-1.316142e+002
1.973969e+001	-1.325465e+002
2.014278e+001	-1.231939e+002
2.059354e+001	-1.110361e+002
2.145748e+001	-7.456604e+001
2.120903e+001	-1.035513e+002
2.154855e+001	-9.793853e+001
2.212644e+001	-7.830021e+001
2.273613e+001	-5.679111e+001
2.291674e+001	-6.052962e+001
2.319271e+001	-5.865667e+001
2.377060e+001	-3.901835e+001
2.368107e+001	-5.865233e+001
2.365509e+001	-7.454651e+001
2.429655e+001	-5.116750e+001
2.495389e+001	-2.685400e+001
2.488026e+001	-4.555259e+001
2.496552e+001	-5.490169e+001
2.498722e+001	-6.799058e+001
2.550155e+001	-5.209204e+001
2.558683e+001	-6.144026e+001
2.568798e+001	-6.985396e+001
2.590038e+001	-7.172169e+001
2.620812e+001	-6.797972e+001
2.665889e+001	-5.582099e+001
2.682360e+001	-6.049491e+001
2.714725e+001	-5.581665e+001
2.761390e+001	-4.272431e+001
2.816001e+001	-2.495588e+001
2.827706e+001	-3.243419e+001
2.793327e+001	-6.702915e+001
2.819335e+001	-6.609158e+001
2.878713e+001	-4.551786e+001
2.892006e+001	-5.206167e+001
2.887821e+001	-6.889035e+001
2.918594e+001	-6.514839e+001
2.919177e+001	-7.917178e+001
2.970610e+001	-6.327326e+001
2.995028e+001	-6.327110e+001
3.006731e+001	-7.075029e+001
3.062932e+001	-5.204648e+001
3.114365e+001	-3.614796e+001
3.130838e+001	-4.082098e+001
3.171147e+001	-3.146843e+001
3.189209e+001	-3.520604e+001
3.216805e+001	-3.333398e+001
3.222153e+001	-4.455298e+001
3.208432e+001	-6.699225e+001
3.269400e+001	-4.548314e+001
3.300174e+001	-4.174118e+001
3.264205e+001	-7.727152e+001
3.329941e+001	-5.295711e+001
3.367072e+001	-4.547446e+001
3.369242e+001	-5.856336e+001
3.380947e+001	-6.604167e+001
3.445092e+001	-4.266355e+001
3.479045e+001	-3.705080e+001
3.487572e+001	-4.639901e+001
3.486564e+001	-6.135779e+001
3.498269e+001	-6.883611e+001
3.506795e+001	-7.818520e+001
3.547105e+001	-6.883176e+001
3.563578e+001	-7.350478e+001
3.605476e+001	-6.321684e+001
3.633072e+001	-6.134478e+001
3.630474e+001	-7.723896e+001
3.610397e+001	-1.034189e+002
