    nm         	pN
0.000000e+000	6.203272e+002
2.171863e-002	6.072393e+002
7.523245e-002	5.960223e+002
9.695014e-002	5.829344e+002
7.364399e-003	5.632972e+002
2.907737e-002	5.502090e+002
1.620994e-001	5.436704e+002
2.792159e-001	5.361960e+002
2.373310e-001	5.193656e+002
1.954441e-001	5.025350e+002
1.535601e-001	4.857046e+002
1.275751e-001	4.698098e+002
2.764924e-001	4.642066e+002
3.459090e-001	4.539253e+002
1.927206e-001	4.305456e+002
2.462392e-001	4.193289e+002
3.792570e-001	4.127901e+002
3.691743e-001	3.978310e+002
4.226886e-001	3.866140e+002
6.511123e-001	3.856891e+002
5.615218e-001	3.660516e+002
5.991418e-001	3.538994e+002
7.162578e-001	3.464249e+002
8.969788e-001	3.426931e+002
1.014099e+000	3.352188e+002
9.086100e-001	3.146458e+002
1.089331e+000	3.109139e+002
1.206450e+000	3.034397e+002
1.228165e+000	2.903515e+002
1.249882e+000	2.772636e+002
1.303400e+000	2.660469e+002
1.325114e+000	2.529587e+002
1.585339e+000	2.539051e+002
1.527553e+000	2.361390e+002
1.612868e+000	2.267933e+002
2.016197e+000	2.361601e+002
2.324121e+000	2.399132e+002
2.711545e+000	2.483441e+002
2.383451e+000	2.146726e+002
2.754980e+000	2.221683e+002
2.872096e+000	2.146938e+002
3.052817e+000	2.109619e+002
3.185835e+000	2.044231e+002
3.446060e+000	2.053694e+002
3.738085e+000	2.081870e+002
3.727998e+000	1.932276e+002
3.574810e+000	1.698479e+002
3.930437e+000	1.764078e+002
3.999853e+000	1.661266e+002
4.180574e+000	1.623948e+002
4.297691e+000	1.549203e+002
4.510212e+000	1.530596e+002
4.865839e+000	1.596196e+002
4.871654e+000	1.455960e+002
4.845669e+000	1.297011e+002
5.201296e+000	1.362610e+002
5.350212e+000	1.306578e+002
5.069821e+000	9.979318e+001
5.218741e+000	9.419011e+001
5.447162e+000	9.326499e+001
5.898191e+000	1.054386e+002
6.222016e+000	1.101273e+002
6.673045e+000	1.223009e+002
6.519854e+000	9.892096e+001
6.589274e+000	8.863998e+001
6.404281e+000	6.338882e+001
6.489600e+000	5.404333e+001
6.988328e+000	6.902363e+001
7.010045e+000	5.593572e+001
7.254368e+000	5.594630e+001
7.943903e+000	8.215412e+001
7.536307e+000	4.380446e+001
7.510321e+000	2.790960e+001
7.770546e+000	2.885591e+001
7.983064e+000	2.699506e+001
8.211487e+000	2.607015e+001
8.408107e+000	2.327378e+001
8.811437e+000	3.264067e+001
8.896752e+000	2.329495e+001
8.886669e+000	8.335828e+000
8.590376e+000	-2.346446e+001
9.327611e+000	5.550052e+000
9.174423e+000	-1.782964e+001
9.689053e+000	-1.913619e+000
1.002878e+001	3.710601e+000
9.796086e+000	-2.434726e+001
1.010401e+001	-2.059425e+001
1.030063e+001	-2.339037e+001
1.044955e+001	-2.899343e+001
1.128219e+001	5.634734e+000
1.155831e+001	7.516526e+000
1.145283e+001	-1.305624e+001
1.155405e+001	-2.146623e+001
1.186197e+001	-1.771322e+001
1.232890e+001	-4.604127e+000
1.274812e+001	5.698246e+000
1.289704e+001	9.518166e-002
1.309366e+001	-2.701165e+000
1.362420e+001	1.415057e+001
1.386852e+001	1.416115e+001
1.371533e+001	-9.218541e+000
1.402325e+001	-5.465527e+000
1.455378e+001	1.138598e+001
1.460730e+001	1.692642e-001
1.481982e+001	-1.691343e+000
1.495284e+001	-8.230132e+000
1.518126e+001	-9.155043e+000
1.533019e+001	-1.475811e+001
1.584482e+001	1.157915e+000
1.572342e+001	-2.035080e+001
1.510912e+001	-7.086325e+001
1.594176e+001	-3.623507e+001
1.661540e+001	-1.096275e+001
1.665301e+001	-2.311518e+001
1.711994e+001	-1.000609e+001
1.688725e+001	-3.806395e+001
1.676586e+001	-5.957245e+001
1.739180e+001	-3.710707e+001
1.800183e+001	-1.557740e+001
1.795994e+001	-3.240797e+001
1.801346e+001	-4.362467e+001
1.865529e+001	-2.022379e+001
1.901092e+001	-1.366383e+001
1.911214e+001	-2.207383e+001
1.943596e+001	-1.738510e+001
1.966438e+001	-1.831023e+001
2.005181e+001	-9.879063e+000
2.020073e+001	-1.548213e+001
2.061996e+001	-5.179754e+000
2.086428e+001	-5.169169e+000
2.071109e+001	-2.854888e+001
2.055790e+001	-5.192883e+001
2.084993e+001	-4.911131e+001
2.185747e+001	-4.191331e+000
2.194279e+001	-1.353682e+001
2.177370e+001	-3.785226e+001
2.166821e+001	-5.842505e+001
2.216694e+001	-4.344474e+001
2.247486e+001	-3.969172e+001
2.283049e+001	-3.313178e+001
2.293171e+001	-4.154177e+001
2.346224e+001	-2.469003e+001
2.332495e+001	-4.713425e+001
2.383958e+001	-3.121822e+001
2.398850e+001	-3.682128e+001
2.434413e+001	-3.026134e+001
2.434994e+001	-4.428498e+001
2.472147e+001	-3.678952e+001
2.464778e+001	-5.549132e+001
2.517831e+001	-3.863957e+001
2.585194e+001	-1.336747e+001
2.574646e+001	-3.394048e+001
2.587948e+001	-4.047904e+001
2.583759e+001	-5.730962e+001
2.612962e+001	-5.449210e+001
2.605593e+001	-7.319388e+001
2.661826e+001	-5.447093e+001
2.741910e+001	-2.171396e+001
2.764752e+001	-2.263887e+001
2.731943e+001	-5.631038e+001
2.769095e+001	-4.881494e+001
2.845999e+001	-1.792919e+001
