    nm         	pN
0.000000e+000	4.533273e+002
-7.361221e-002	4.346299e+002
-2.015028e-002	4.234099e+002
-6.199324e-002	4.065820e+002
-7.207027e-002	3.916232e+002
-2.721587e-003	3.813380e+002
5.074412e-002	3.701182e+002
-6.985119e-003	3.523554e+002
1.735590e-001	3.486132e+002
2.746774e-001	3.401973e+002
2.646046e-001	3.252388e+002
3.180665e-001	3.140188e+002
3.556455e-001	3.018642e+002
2.979162e-001	2.841014e+002
3.990351e-001	2.756856e+002
3.571884e-001	2.588575e+002
2.994591e-001	2.410947e+002
4.958933e-001	2.382875e+002
7.876252e-001	2.410877e+002
1.031708e+000	2.410842e+002
1.164596e+000	2.345378e+002
1.440453e+000	2.364039e+002
1.620997e+000	2.326617e+002
1.722119e+000	2.242461e+002
1.616734e+000	2.036791e+002
1.527231e+000	1.840468e+002
2.009587e+000	1.980638e+002
2.237788e+000	1.971257e+002
2.195941e+000	1.802975e+002
2.392368e+000	1.774899e+002
2.080482e+000	1.447720e+002
2.022753e+000	1.270093e+002
2.155641e+000	1.204629e+002
2.510919e+000	1.270023e+002
2.643807e+000	1.204559e+002
2.840234e+000	1.176482e+002
2.877817e+000	1.054938e+002
2.931283e+000	9.427404e+001
3.223015e+000	9.707428e+001
3.117637e+000	7.650779e+001
3.377603e+000	7.743890e+001
3.446951e+000	6.715369e+001
4.024613e+000	8.677860e+001
4.173391e+000	8.116719e+001
4.417474e+000	8.116369e+001
4.312089e+000	6.059676e+001
4.317899e+000	4.657279e+001
4.514325e+000	4.376510e+001
4.583674e+000	3.347989e+001
4.795992e+000	3.160724e+001
4.690606e+000	1.104032e+001
4.791728e+000	2.624714e+000
5.115233e+000	7.294564e+000
5.406973e+000	1.009526e+001
5.635165e+000	9.156741e+000
5.752170e+000	1.675722e+000
5.742097e+000	-1.328282e+001
5.986180e+000	-1.328632e+001
6.055529e+000	-2.357153e+001
6.283730e+000	-2.450959e+001
6.178345e+000	-4.507652e+001
6.390654e+000	-4.694962e+001
6.539433e+000	-5.256103e+001
6.561125e+000	-6.565044e+001
6.725786e+000	-7.032728e+001
6.763362e+000	-8.248208e+001
6.991562e+000	-8.342016e+001
7.124450e+000	-8.996660e+001
7.241455e+000	-9.744763e+001
7.390233e+000	-1.030590e+002
7.411926e+000	-1.161484e+002
7.814853e+000	-1.068052e+002
7.931858e+000	-1.142863e+002
7.953558e+000	-1.273752e+002
7.848172e+000	-1.479421e+002
7.901638e+000	-1.591619e+002
8.161604e+000	-1.582308e+002
8.342148e+000	-1.619731e+002
8.729192e+000	-1.535645e+002
8.528502e+000	-1.797393e+002
8.661391e+000	-1.862858e+002
8.698965e+000	-1.984406e+002
8.641236e+000	-2.162033e+002
9.028287e+000	-2.077943e+002
9.065863e+000	-2.199491e+002
9.341719e+000	-2.180830e+002
9.395186e+000	-2.293028e+002
9.496300e+000	-2.377188e+002
9.692728e+000	-2.405265e+002
1.000035e+001	-2.367912e+002
1.003793e+001	-2.489456e+002
1.018670e+001	-2.545575e+002
1.024017e+001	-2.657772e+002
1.023010e+001	-2.807358e+002
1.061714e+001	-2.723272e+002
1.090888e+001	-2.695265e+002
1.140712e+001	-2.545749e+002
1.193713e+001	-2.377537e+002
1.200648e+001	-2.480390e+002
1.217114e+001	-2.527158e+002
1.236757e+001	-2.555234e+002
1.245281e+001	-2.648737e+002
1.283985e+001	-2.564650e+002
1.305216e+001	-2.583381e+002
1.305797e+001	-2.723621e+002
1.301613e+001	-2.891898e+002
1.326022e+001	-2.891933e+002
1.326603e+001	-3.032173e+002
1.554337e+001	-1.835794e+002
1.675643e+001	-1.265663e+002
1.749295e+001	-9.759427e+001
1.775291e+001	-9.666318e+001
1.756811e+001	-1.219035e+002
1.793927e+001	-1.144294e+002
1.840574e+001	-1.013470e+002
1.860217e+001	-1.041547e+002
1.900510e+001	-9.481103e+001
1.977339e+001	-6.396936e+001
1.993804e+001	-6.864665e+001
1.984855e+001	-8.827855e+001
2.018793e+001	-8.267412e+001
2.013021e+001	-1.004369e+002
2.037429e+001	-1.004404e+002
2.093607e+001	-8.174957e+001
2.132312e+001	-7.334095e+001
2.204375e+001	-4.530346e+001
2.197014e+001	-6.400079e+001
2.192829e+001	-8.082896e+001
2.249007e+001	-6.213861e+001
2.289300e+001	-5.279496e+001
2.280350e+001	-7.242731e+001
2.319055e+001	-6.401826e+001
2.333932e+001	-6.963011e+001
2.317040e+001	-9.393581e+001
2.355745e+001	-8.552675e+001
2.354737e+001	-1.004857e+002
2.356907e+001	-1.135747e+002
2.363842e+001	-1.238599e+002
2.418431e+001	-1.061041e+002
2.426955e+001	-1.154548e+002
2.454540e+001	-1.135887e+002
2.488479e+001	-1.079842e+002
2.503357e+001	-1.135956e+002
2.526176e+001	-1.145342e+002
2.541054e+001	-1.201456e+002
2.560697e+001	-1.229532e+002
2.585105e+001	-1.229567e+002
2.593628e+001	-1.323074e+002
2.594209e+001	-1.463313e+002
2.610675e+001	-1.510082e+002
2.635084e+001	-1.510117e+002
2.618191e+001	-1.753174e+002
2.637834e+001	-1.781251e+002
