    nm         	pN
0.000000e+000	6.405051e+002
6.934774e-002	6.302198e+002
-8.368876e-002	6.068490e+002
1.921612e-001	6.087147e+002
8.677642e-002	5.881479e+002
4.493393e-002	5.713199e+002
5.074412e-002	5.572960e+002
4.219013e-001	5.647698e+002
5.071320e-001	5.554191e+002
5.605968e-001	5.441992e+002
4.075603e-001	5.208284e+002
5.563333e-001	5.152167e+002
6.097961e-001	5.039967e+002
6.473751e-001	4.918421e+002
5.896458e-001	4.740794e+002
6.272243e-001	4.619247e+002
7.124593e-001	4.525743e+002
6.547305e-001	4.348116e+002
7.558513e-001	4.263959e+002
7.934264e-001	4.142411e+002
1.005742e+000	4.123683e+002
1.392782e+000	4.207767e+002
1.541551e+000	4.151647e+002
1.452056e+000	3.955329e+002
1.283134e+000	3.712273e+002
1.209522e+000	3.525300e+002
1.358292e+000	3.469181e+002
1.713567e+000	3.534573e+002
1.417566e+000	3.216742e+002
1.645765e+000	3.207360e+002
2.239303e+000	3.412952e+002
1.927420e+000	3.085776e+002
1.996768e+000	2.982923e+002
2.352043e+000	3.048315e+002
2.230776e+000	2.833301e+002
2.268351e+000	2.711753e+002
2.242396e+000	2.552822e+002
2.232322e+000	2.403236e+002
2.015744e+000	2.132139e+002
2.386901e+000	2.206877e+002
2.662754e+000	2.225536e+002
2.573253e+000	2.029213e+002
2.626718e+000	1.917015e+002
2.775487e+000	1.860895e+002
2.717759e+000	1.683268e+002
2.882418e+000	1.636499e+002
2.856455e+000	1.477563e+002
2.941693e+000	1.384061e+002
3.011041e+000	1.281208e+002
3.175693e+000	1.234434e+002
3.292697e+000	1.159624e+002
3.250850e+000	9.913422e+001
3.209013e+000	8.230653e+001
3.262477e+000	7.108671e+001
3.506559e+000	7.108307e+001
3.496477e+000	5.612407e+001
3.661137e+000	5.144713e+001
3.746368e+000	4.209644e+001
3.815715e+000	3.181119e+001
3.996258e+000	2.806883e+001
3.954419e+000	1.124114e+001
4.119071e+000	6.563754e+000
5.522742e+000	7.479266e+001
6.036858e+000	9.067849e+001
5.852053e+000	6.543834e+001
6.016712e+000	6.076140e+001
5.958983e+000	4.299868e+001
6.218947e+000	4.392962e+001
6.685415e+000	5.701173e+001
6.564141e+000	3.550986e+001
6.585841e+000	2.242089e+001
6.655188e+000	1.213563e+001
6.946925e+000	1.493616e+001
6.889197e+000	-2.826533e+000
7.085621e+000	-5.634335e+000
6.964354e+000	-2.713577e+001
7.113123e+000	-3.274773e+001
7.055395e+000	-5.051043e+001
7.220054e+000	-5.518738e+001
7.559438e+000	-4.958315e+001
7.755864e+000	-5.239094e+001
8.349409e+000	-3.183136e+001
8.847651e+000	-1.687965e+001
8.535761e+000	-4.959772e+001
8.414494e+000	-7.109915e+001
8.706230e+000	-6.829863e+001
8.823234e+000	-7.577974e+001
8.876698e+000	-8.699956e+001
8.898392e+000	-1.000890e+002
9.857285e+000	-5.803160e+001
1.037140e+001	-4.214576e+001
1.037721e+001	-5.616973e+001
1.093899e+001	-3.747930e+001
1.124661e+001	-3.374421e+001
1.185604e+001	-1.225006e+001
1.243369e+001	7.374481e+000
1.202651e+001	-3.095099e+001
1.258828e+001	-1.226099e+001
1.249878e+001	-3.189329e+001
1.277463e+001	-3.002735e+001
1.293928e+001	-3.470473e+001
1.278625e+001	-5.807531e+001
1.288736e+001	-6.649141e+001
1.319498e+001	-6.275633e+001
1.358203e+001	-5.434750e+001
1.376257e+001	-5.808987e+001
1.405431e+001	-5.528936e+001
1.421896e+001	-5.996674e+001
1.452658e+001	-5.623165e+001
1.480244e+001	-5.436570e+001
1.534833e+001	-3.661029e+001
1.519529e+001	-5.998131e+001
1.520109e+001	-7.400528e+001
1.555637e+001	-6.746605e+001
1.562572e+001	-7.775131e+001
1.547268e+001	-1.011219e+002
1.593915e+001	-8.804020e+001
1.618323e+001	-8.804384e+001
1.615727e+001	-1.039370e+002
1.657608e+001	-9.365898e+001
1.705843e+001	-7.964230e+001
1.679420e+001	-1.095562e+002
1.686355e+001	-1.198415e+002
1.705997e+001	-1.226492e+002
1.706578e+001	-1.366732e+002
1.696041e+001	-1.572397e+002
1.729979e+001	-1.516354e+002
1.776626e+001	-1.385533e+002
1.805800e+001	-1.357528e+002
1.823854e+001	-1.394952e+002
1.808550e+001	-1.628662e+002
1.836135e+001	-1.610002e+002
1.830362e+001	-1.787629e+002
1.848416e+001	-1.825058e+002
1.872824e+001	-1.825094e+002
1.879759e+001	-1.927942e+002
1.900990e+001	-1.946674e+002
1.923810e+001	-1.956056e+002
1.925979e+001	-2.086950e+002
1.926560e+001	-2.227190e+002
1.917610e+001	-2.423513e+002
1.973788e+001	-2.236609e+002
1.958484e+001	-2.470319e+002
1.955888e+001	-2.629250e+002
1.970765e+001	-2.685370e+002
1.991996e+001	-2.704102e+002
1.981459e+001	-2.909766e+002
2.013808e+001	-2.863070e+002
2.054102e+001	-2.769636e+002
2.103925e+001	-2.620123e+002
2.193461e+001	-2.236937e+002
2.248049e+001	-2.059383e+002
2.288342e+001	-1.965953e+002
2.323869e+001	-1.900561e+002
2.343513e+001	-1.928634e+002
2.401278e+001	-1.732388e+002
2.352617e+001	-2.162381e+002
2.373847e+001	-2.181113e+002
2.379194e+001	-2.293311e+002
2.402014e+001	-2.302693e+002
2.435953e+001	-2.246646e+002
2.450830e+001	-2.302766e+002
2.478414e+001	-2.284111e+002
2.480584e+001	-2.415001e+002
2.500227e+001	-2.443079e+002
2.499220e+001	-2.592664e+002
2.525216e+001	-2.583355e+002
2.560743e+001	-2.517963e+002
2.597859e+001	-2.443225e+002
2.588909e+001	-2.639547e+002
2.606963e+001	-2.676971e+002
2.634549e+001	-2.658312e+002
2.660545e+001	-2.649002e+002
2.654772e+001	-2.826629e+002
2.669649e+001	-2.882749e+002
2.692469e+001	-2.892131e+002
2.713700e+001	-2.910859e+002
2.734931e+001	-2.929591e+002
2.799051e+001	-2.695954e+002
2.842521e+001	-2.583828e+002
2.836748e+001	-2.761456e+002
2.872275e+001	-2.696063e+002
2.855383e+001	-2.939119e+002
2.851198e+001	-3.107400e+002
2.864487e+001	-3.172866e+002
2.900014e+001	-3.107473e+002
2.932365e+001	-3.060777e+002
2.942477e+001	-3.144933e+002
2.974827e+001	-3.098237e+002
2.986527e+001	-3.173048e+002
3.012524e+001	-3.163738e+002
3.028989e+001	-3.210508e+002
3.020040e+001	-3.406826e+002
3.058744e+001	-3.322743e+002
3.083152e+001	-3.322779e+002
3.086910e+001	-3.444327e+002
3.100199e+001	-3.509788e+002
3.154788e+001	-3.332234e+002
3.156957e+001	-3.463128e+002
3.194073e+001	-3.388390e+002
3.224835e+001	-3.351039e+002
3.207943e+001	-3.594095e+002
3.229174e+001	-3.612823e+002
3.232932e+001	-3.734371e+002
3.219217e+001	-3.958731e+002
3.242036e+001	-3.968113e+002
3.250560e+001	-4.061620e+002
3.255906e+001	-4.173819e+002
3.288256e+001	-4.127122e+002
3.338080e+001	-3.977609e+002
3.330718e+001	-4.164582e+002
3.371012e+001	-4.071148e+002
3.439897e+001	-3.809474e+002
3.472247e+001	-3.762777e+002
3.468063e+001	-3.931054e+002
3.517886e+001	-3.781541e+002
3.707496e+001	-2.809500e+002
3.779558e+001	-2.529129e+002
3.799200e+001	-2.557208e+002
3.809312e+001	-2.641369e+002
3.871844e+001	-2.417077e+002
3.886721e+001	-2.473196e+002
3.873006e+001	-2.697556e+002
3.906944e+001	-2.641514e+002
3.937706e+001	-2.604163e+002
3.935110e+001	-2.763094e+002
3.983346e+001	-2.622927e+002
3.993457e+001	-2.707088e+002
4.005157e+001	-2.781900e+002
4.000973e+001	-2.950177e+002
4.033324e+001	-2.903480e+002
4.049789e+001	-2.950249e+002
4.045605e+001	-3.118531e+002
4.044598e+001	-3.268116e+002
4.081713e+001	-3.193378e+002
4.102944e+001	-3.212111e+002
4.117822e+001	-3.268225e+002
4.127933e+001	-3.352386e+002
4.134868e+001	-3.455239e+002
4.151334e+001	-3.502009e+002
4.131264e+001	-3.763760e+002
4.176323e+001	-3.642285e+002
4.153077e+001	-3.922728e+002
4.218785e+001	-3.679745e+002
4.249547e+001	-3.642394e+002
4.242186e+001	-3.829367e+002
4.263417e+001	-3.848099e+002
4.252878e+001	-4.053768e+002
4.286818e+001	-3.997721e+002
4.311226e+001	-3.997758e+002
4.334045e+001	-4.007140e+002
4.375926e+001	-3.904364e+002
4.411453e+001	-3.838972e+002
4.434273e+001	-3.848354e+002
4.423735e+001	-4.054023e+002
4.459262e+001	-3.988630e+002
4.456667e+001	-4.147561e+002
4.469955e+001	-4.213027e+002
4.484832e+001	-4.269146e+002
4.493355e+001	-4.362653e+002
4.530472e+001	-4.287910e+002
4.534229e+001	-4.409459e+002
4.544341e+001	-4.493616e+002
4.543333e+001	-4.643206e+002
4.589980e+001	-4.512384e+002
4.622330e+001	-4.465688e+002
4.632443e+001	-4.549844e+002
4.612373e+001	-4.811592e+002
4.666963e+001	-4.634038e+002
4.707255e+001	-4.540608e+002
4.793614e+001	-4.176113e+002
5.005461e+001	-3.073218e+002
5.133120e+001	-2.465708e+002
5.238540e+001	-1.989051e+002
5.310602e+001	-1.708681e+002
5.292122e+001	-1.961083e+002
5.327649e+001	-1.895690e+002
5.366353e+001	-1.811606e+002
5.371700e+001	-1.923805e+002
5.394520e+001	-1.933187e+002
5.406219e+001	-2.008002e+002
5.510052e+001	-1.540691e+002
5.497925e+001	-1.755705e+002
5.504860e+001	-1.858558e+002
5.502264e+001	-2.017494e+002
5.501256e+001	-2.167079e+002
5.520899e+001	-2.195157e+002
5.578665e+001	-1.998907e+002
5.572892e+001	-2.176534e+002
5.625892e+001	-2.008330e+002
5.596292e+001	-2.326160e+002
5.674708e+001	-2.008403e+002
5.675289e+001	-2.148643e+002
5.661574e+001	-2.373003e+002
5.706633e+001	-2.251527e+002
5.772340e+001	-2.008548e+002
5.796748e+001	-2.008585e+002
5.765560e+001	-2.335761e+002
5.770907e+001	-2.447959e+002
5.815965e+001	-2.326488e+002
5.861023e+001	-2.205013e+002
5.853662e+001	-2.391985e+002
5.860597e+001	-2.494838e+002
5.873886e+001	-2.560303e+002
5.879232e+001	-2.672501e+002
5.881401e+001	-2.803396e+002
5.912163e+001	-2.766045e+002
5.965164e+001	-2.597836e+002
5.986395e+001	-2.616568e+002
6.001272e+001	-2.672683e+002
6.020915e+001	-2.700761e+002
6.027850e+001	-2.803614e+002
6.018900e+001	-2.999937e+002
6.035366e+001	-3.046706e+002
6.097896e+001	-2.822419e+002
6.092124e+001	-3.000046e+002
6.161009e+001	-2.738367e+002
6.136174e+001	-3.028161e+002
6.174879e+001	-2.944072e+002
6.184990e+001	-3.028233e+002
6.196691e+001	-3.103044e+002
6.178210e+001	-3.355446e+002
6.159730e+001	-3.607848e+002
6.200023e+001	-3.514414e+002
6.222842e+001	-3.523800e+002
6.279019e+001	-3.336896e+002
6.373320e+001	-2.925672e+002
6.383432e+001	-3.009829e+002
6.377659e+001	-3.187456e+002
6.408421e+001	-3.150105e+002
6.488425e+001	-2.823002e+002
6.509657e+001	-2.841730e+002
6.530887e+001	-2.860462e+002
6.568003e+001	-2.785724e+002
6.665482e+001	-2.355800e+002
6.693067e+001	-2.337145e+002
6.771482e+001	-2.019387e+002
6.780006e+001	-2.112894e+002
6.801237e+001	-2.131622e+002
6.800230e+001	-2.281208e+002
6.869114e+001	-2.019533e+002
6.890346e+001	-2.038261e+002
6.903635e+001	-2.103726e+002
6.902628e+001	-2.253312e+002
6.919092e+001	-2.300086e+002
6.914908e+001	-2.468367e+002
6.950436e+001	-2.402974e+002
6.952606e+001	-2.533864e+002
7.004017e+001	-2.375006e+002
7.006187e+001	-2.505900e+002
7.006768e+001	-2.646140e+002
7.091538e+001	-2.290995e+002
7.109592e+001	-2.328419e+002
7.097465e+001	-2.543433e+002
7.069453e+001	-2.851918e+002
7.100216e+001	-2.814562e+002
7.083324e+001	-3.057618e+002
7.117262e+001	-3.001576e+002
7.154378e+001	-2.926838e+002
7.207379e+001	-2.758629e+002
7.207959e+001	-2.898869e+002
7.262548e+001	-2.721315e+002
7.307607e+001	-2.599840e+002
7.330426e+001	-2.609226e+002
7.338950e+001	-2.702728e+002
7.326823e+001	-2.917742e+002
7.305165e+001	-3.188840e+002
7.367696e+001	-2.964553e+002
7.395282e+001	-2.945894e+002
7.448283e+001	-2.777685e+002
7.518756e+001	-2.506665e+002
7.560637e+001	-2.403885e+002
7.567572e+001	-2.506737e+002
7.564977e+001	-2.665669e+002
7.641804e+001	-2.357257e+002
7.712277e+001	-2.086237e+002
7.725566e+001	-2.151702e+002
7.759505e+001	-2.095655e+002
7.815682e+001	-1.908755e+002
7.849621e+001	-1.852709e+002
7.861322e+001	-1.927520e+002
7.936561e+001	-1.628458e+002
7.940319e+001	-1.750002e+002
7.985377e+001	-1.628531e+002
8.001843e+001	-1.675300e+002
8.007189e+001	-1.787498e+002
8.039540e+001	-1.740802e+002
8.056006e+001	-1.787571e+002
8.129656e+001	-1.497855e+002
8.128649e+001	-1.647441e+002
8.135584e+001	-1.750293e+002
8.164757e+001	-1.722288e+002
8.184400e+001	-1.750366e+002
8.186569e+001	-1.881260e+002
8.207800e+001	-1.899988e+002
8.249682e+001	-1.797208e+002
8.250263e+001	-1.937448e+002
8.261962e+001	-2.012263e+002
8.307021e+001	-1.890788e+002
8.363198e+001	-1.703888e+002
8.374899e+001	-1.778699e+002
8.383422e+001	-1.872206e+002
8.369707e+001	-2.096566e+002
8.427473e+001	-1.900316e+002
8.428054e+001	-2.040556e+002
8.460404e+001	-1.993859e+002
8.532466e+001	-1.713489e+002
8.507632e+001	-2.003278e+002
8.474855e+001	-2.339804e+002
8.481790e+001	-2.442656e+002
8.514140e+001	-2.395955e+002
8.548079e+001	-2.339913e+002
8.526421e+001	-2.611010e+002
8.571480e+001	-2.489535e+002
8.619715e+001	-2.349368e+002
8.666362e+001	-2.218547e+002
8.660589e+001	-2.396174e+002
8.684997e+001	-2.396210e+002
8.768178e+001	-2.050416e+002
8.783056e+001	-2.106531e+002
8.797932e+001	-2.162650e+002
8.817575e+001	-2.190728e+002
8.854690e+001	-2.115990e+002
8.917223e+001	-1.891698e+002
8.920980e+001	-2.013247e+002
8.886615e+001	-2.359114e+002
8.857015e+001	-2.676945e+002
8.902073e+001	-2.555474e+002
8.980489e+001	-2.237716e+002
9.012840e+001	-2.191020e+002
9.042013e+001	-2.163014e+002
9.045771e+001	-2.284558e+002
9.128953e+001	-1.938759e+002
9.140653e+001	-2.013575e+002
9.134880e+001	-2.191202e+002
9.184703e+001	-2.041685e+002
9.145572e+001	-2.415598e+002
9.158861e+001	-2.481063e+002
9.200743e+001	-2.378284e+002
9.198147e+001	-2.537215e+002
9.236851e+001	-2.453131e+002
9.280321e+001	-2.341006e+002
9.298375e+001	-2.378429e+002
9.276717e+001	-2.649527e+002
9.297948e+001	-2.668255e+002
9.298530e+001	-2.808495e+002
9.380122e+001	-2.472045e+002
9.404530e+001	-2.472082e+002
9.333630e+001	-3.032932e+002
9.421577e+001	-2.659091e+002
9.449163e+001	-2.640432e+002
9.427504e+001	-2.911529e+002
9.485270e+001	-2.715283e+002
9.454082e+001	-3.042460e+002
9.457840e+001	-3.164004e+002
9.534667e+001	-2.855596e+002
9.547956e+001	-2.921057e+002
9.543772e+001	-3.089338e+002
9.557061e+001	-3.154804e+002
9.579880e+001	-3.164186e+002
9.586815e+001	-3.267038e+002
9.615989e+001	-3.239033e+002
9.637220e+001	-3.257765e+002
9.675924e+001	-3.173682e+002
9.674916e+001	-3.323267e+002
9.683441e+001	-3.416769e+002
9.772975e+001	-3.033587e+002
9.810091e+001	-2.958845e+002
9.809084e+001	-3.108435e+002
9.812842e+001	-3.229979e+002
9.810245e+001	-3.388914e+002
9.869600e+001	-3.183319e+002
9.865416e+001	-3.351600e+002
9.915239e+001	-3.202083e+002
9.912643e+001	-3.361018e+002
9.940229e+001	-3.342359e+002
9.937632e+001	-3.501295e+002
9.973159e+001	-3.435902e+002
9.997567e+001	-3.435939e+002
9.998148e+001	-3.576179e+002
1.003050e+002	-3.529482e+002
1.008032e+002	-3.379965e+002
1.010632e+002	-3.370656e+002
1.010531e+002	-3.520241e+002
1.009477e+002	-3.725910e+002
1.009694e+002	-3.856804e+002
1.016106e+002	-3.623166e+002
1.017912e+002	-3.660590e+002
1.018446e+002	-3.772793e+002
1.021681e+002	-3.726092e+002
1.019357e+002	-4.006535e+002
1.021162e+002	-4.043959e+002
1.027415e+002	-3.819672e+002
1.029380e+002	-3.847749e+002
1.032297e+002	-3.819745e+002
1.035691e+002	-3.763698e+002
1.039402e+002	-3.688959e+002
1.037554e+002	-3.941361e+002
1.042537e+002	-3.791849e+002
1.043389e+002	-3.885355e+002
1.041223e+002	-4.156449e+002
1.042076e+002	-4.249955e+002
1.042134e+002	-4.390195e+002
1.048546e+002	-4.156558e+002
1.052257e+002	-4.081820e+002
1.050568e+002	-4.324875e+002
1.055550e+002	-4.175363e+002
1.060692e+002	-4.016500e+002
1.059002e+002	-4.259556e+002
1.058743e+002	-4.418492e+002
1.063407e+002	-4.287670e+002
1.066166e+002	-4.269015e+002
1.066542e+002	-4.390559e+002
1.071683e+002	-4.231701e+002
1.075553e+002	-4.147613e+002
1.077041e+002	-4.203732e+002
1.078211e+002	-4.278543e+002
1.078269e+002	-4.418783e+002
1.084681e+002	-4.185146e+002
1.090458e+002	-3.988900e+002
1.091946e+002	-4.045015e+002
1.092004e+002	-4.185255e+002
1.089361e+002	-4.484394e+002
1.094503e+002	-4.325531e+002
1.100120e+002	-4.138631e+002
1.101926e+002	-4.176055e+002
1.099760e+002	-4.447152e+002
1.102360e+002	-4.437839e+002
1.106071e+002	-4.363100e+002
1.106447e+002	-4.484649e+002
1.108094e+002	-4.531418e+002
1.118794e+002	-4.045416e+002
1.145221e+002	-2.634073e+002
1.149409e+002	-2.531293e+002
1.151691e+002	-2.540675e+002
1.171764e+002	-1.503209e+002
1.188025e+002	-6.900668e+001
1.191101e+002	-6.527159e+001
1.190523e+002	-8.303430e+001
1.188199e+002	-1.110786e+002
1.203347e+002	-3.630728e+001
1.200387e+002	-6.809033e+001
1.198222e+002	-9.519962e+001
1.201616e+002	-8.959540e+001
1.206121e+002	-7.744784e+001
1.210468e+002	-6.623531e+001
1.207191e+002	-9.988793e+001
1.206455e+002	-1.185852e+002
1.213978e+002	-8.867859e+001
1.214354e+002	-1.008334e+002
1.212983e+002	-1.232694e+002
1.220030e+002	-9.616741e+001
1.226601e+002	-7.186911e+001
1.226341e+002	-8.776224e+001
1.229894e+002	-8.122299e+001
1.231541e+002	-8.590038e+001
1.229057e+002	-1.148793e+002
1.229274e+002	-1.279687e+002
1.229491e+002	-1.410576e+002
1.237650e+002	-1.074127e+002
1.243904e+002	-8.498357e+001
1.245868e+002	-8.779137e+001
1.247514e+002	-9.246831e+001
1.249796e+002	-9.340698e+001
1.254938e+002	-7.752068e+001
1.256743e+002	-8.126305e+001
1.256801e+002	-9.528704e+001
1.258130e+002	-1.018336e+002
1.260730e+002	-1.009026e+002
1.261741e+002	-1.093183e+002
1.263546e+002	-1.130607e+002
1.264875e+002	-1.196072e+002
1.267792e+002	-1.168067e+002
1.268327e+002	-1.280270e+002
1.266797e+002	-1.513975e+002
1.274956e+002	-1.177526e+002
1.278509e+002	-1.112134e+002
1.282379e+002	-1.028045e+002
1.282914e+002	-1.140248e+002
1.286149e+002	-1.093547e+002
1.293514e+002	-8.038312e+001
1.290077e+002	-1.149703e+002
1.289341e+002	-1.336676e+002
1.290670e+002	-1.402141e+002
1.293746e+002	-1.364791e+002
1.292375e+002	-1.589150e+002
1.297675e+002	-1.420946e+002
1.303293e+002	-1.234042e+002
1.304621e+002	-1.299507e+002
1.307221e+002	-1.290198e+002
1.312203e+002	-1.140685e+002
1.314009e+002	-1.178109e+002
1.314702e+002	-1.280962e+002
1.316349e+002	-1.327731e+002
1.314819e+002	-1.561441e+002
1.323137e+002	-1.215642e+002
1.327007e+002	-1.131554e+002
1.325318e+002	-1.374610e+002
1.321722e+002	-1.729827e+002
1.327817e+002	-1.514886e+002
1.335817e+002	-1.187783e+002
1.337146e+002	-1.253248e+002
1.336728e+002	-1.421529e+002
1.334880e+002	-1.673931e+002
1.340180e+002	-1.505722e+002
1.340873e+002	-1.608575e+002
1.343473e+002	-1.599265e+002
1.344484e+002	-1.683422e+002
1.346131e+002	-1.730191e+002
1.351907e+002	-1.533946e+002
1.353395e+002	-1.590061e+002
1.352659e+002	-1.777038e+002
1.355099e+002	-1.777075e+002
1.358017e+002	-1.749070e+002
1.362682e+002	-1.618248e+002
1.363057e+002	-1.739797e+002
1.368993e+002	-1.534201e+002
1.373340e+002	-1.422076e+002
1.370380e+002	-1.739906e+002
1.374091e+002	-1.665163e+002
1.377962e+002	-1.581080e+002
1.379450e+002	-1.637199e+002
1.375219e+002	-2.029804e+002
1.376865e+002	-2.076573e+002
1.382324e+002	-1.899019e+002
1.382700e+002	-2.020568e+002
1.383235e+002	-2.132766e+002
1.390282e+002	-1.861741e+002
1.395900e+002	-1.674841e+002
1.394528e+002	-1.899201e+002
1.393792e+002	-2.086174e+002
1.395121e+002	-2.151639e+002
1.399309e+002	-2.048860e+002
1.403180e+002	-1.964776e+002
1.404826e+002	-2.011545e+002
1.405202e+002	-2.133094e+002
1.406213e+002	-2.217250e+002
1.408813e+002	-2.207941e+002
1.413477e+002	-2.077120e+002
1.415759e+002	-2.086502e+002
1.413117e+002	-2.385641e+002
1.415876e+002	-2.366981e+002
1.420064e+002	-2.264202e+002
1.418533e+002	-2.497912e+002
1.423198e+002	-2.367091e+002
1.419285e+002	-2.741004e+002
1.424903e+002	-2.554104e+002
1.430044e+002	-2.395242e+002
1.428990e+002	-2.600910e+002
1.430954e+002	-2.628988e+002
1.437366e+002	-2.395351e+002
1.440125e+002	-2.376696e+002
1.438753e+002	-2.601056e+002
1.436905e+002	-2.853458e+002
1.442682e+002	-2.657212e+002
1.445281e+002	-2.647898e+002
1.444386e+002	-2.844221e+002
1.447780e+002	-2.788174e+002
1.453557e+002	-2.591929e+002
1.457745e+002	-2.489149e+002
1.458439e+002	-2.592001e+002
1.460403e+002	-2.620079e+002
1.463479e+002	-2.582729e+002
1.459725e+002	-2.947292e+002
1.463277e+002	-2.881900e+002
1.464606e+002	-2.947365e+002
1.471495e+002	-2.685686e+002
1.471712e+002	-2.816580e+002
1.472405e+002	-2.919433e+002
1.473575e+002	-2.994244e+002
1.474110e+002	-3.106442e+002
1.474962e+002	-3.199949e+002
1.476609e+002	-3.246718e+002
1.483180e+002	-3.003739e+002
1.487527e+002	-2.891610e+002
1.487108e+002	-3.059891e+002
1.482560e+002	-3.471192e+002
1.484206e+002	-3.517961e+002
1.489824e+002	-3.331061e+002
1.493059e+002	-3.284360e+002
1.494706e+002	-3.331134e+002
1.515255e+002	-2.265622e+002
1.543747e+002	-7.327717e+001
1.549682e+002	-5.271759e+001
1.553394e+002	-4.524377e+001
1.562030e+002	-8.794717e+000
1.560340e+002	-3.309986e+001
1.559128e+002	-5.460175e+001
1.563316e+002	-4.432377e+001
1.567186e+002	-3.591494e+001
1.569627e+002	-3.591859e+001
1.578581e+002	2.400042e+000
1.576256e+002	-2.564427e+001
1.573455e+002	-5.649274e+001
1.579390e+002	-3.593316e+001
1.579449e+002	-4.995713e+001
1.581889e+002	-4.996079e+001
1.586713e+002	-3.594409e+001
1.585500e+002	-5.744551e+001
1.589847e+002	-4.623298e+001
1.595306e+002	-2.847755e+001
1.597429e+002	-3.035078e+001
1.601300e+002	-2.194196e+001
1.600405e+002	-4.157424e+001
1.598556e+002	-6.681442e+001
1.604492e+002	-4.625483e+001
1.608045e+002	-3.971559e+001
1.610009e+002	-4.252339e+001
1.611973e+002	-4.533119e+001
1.617114e+002	-2.944490e+001
1.620191e+002	-2.570982e+001
1.619455e+002	-4.440754e+001
1.624913e+002	-2.665212e+001
1.629737e+002	-1.263542e+001
1.630589e+002	-2.198567e+001
1.631918e+002	-2.853219e+001
1.638489e+002	-4.233886e+000
1.640771e+002	-5.172093e+000
1.637334e+002	-3.975930e+001
1.637869e+002	-5.097956e+001
1.639198e+002	-5.752564e+001
1.643545e+002	-4.631311e+001
1.645827e+002	-4.725132e+001
1.653351e+002	-1.734515e+001
1.653250e+002	-3.230369e+001
1.649496e+002	-6.876048e+001
1.654796e+002	-5.193963e+001
1.660890e+002	-3.044548e+001
1.665555e+002	-1.736335e+001
1.664183e+002	-3.979936e+001
1.666783e+002	-3.886843e+001
1.672559e+002	-1.924341e+001
1.675477e+002	-1.644334e+001
1.675217e+002	-3.233647e+001
1.680835e+002	-1.364648e+001
1.681529e+002	-2.393172e+001
1.684128e+002	-2.300081e+001
1.685775e+002	-2.767775e+001
1.688533e+002	-2.581181e+001
1.690974e+002	-2.581544e+001
1.695639e+002	-1.273376e+001
1.698397e+002	-1.086781e+001
1.697184e+002	-3.236925e+001
1.696131e+002	-5.293611e+001
1.701272e+002	-3.705028e+001
1.704030e+002	-3.518433e+001
1.706312e+002	-3.612255e+001
1.708277e+002	-3.893034e+001
1.711512e+002	-3.426069e+001
