    nm         	pN
0.000000e+000	4.570119e+002
6.935198e-002	4.467268e+002
7.516122e-002	4.327028e+002
3.331732e-002	4.158748e+002
2.324454e-002	4.009163e+002
6.081737e-002	3.887613e+002
1.460438e-001	3.794104e+002
1.200895e-001	3.635174e+002
1.894335e-001	3.532319e+002
3.064310e-001	3.457504e+002
5.504980e-001	3.457460e+002
4.610010e-001	3.261139e+002
5.144639e-001	3.148940e+002
5.838078e-001	3.046085e+002
6.690338e-001	2.952575e+002
6.907326e-001	2.821685e+002
5.535829e-001	2.597325e+002
8.929562e-001	2.653361e+002
9.146470e-001	2.522466e+002
1.333437e+000	2.625231e+002
1.418670e+000	2.531726e+002
1.440361e+000	2.400831e+002
1.223795e+000	2.129741e+002
1.372556e+000	2.073617e+002
1.314831e+000	1.895992e+002
1.304758e+000	1.746406e+002
1.739429e+000	1.858518e+002
2.047032e+000	1.895858e+002
1.894007e+000	1.662157e+002
1.995115e+000	1.577993e+002
2.128002e+000	1.512528e+002
2.086158e+000	1.344248e+002
2.393760e+000	1.381589e+002
2.844313e+000	1.503045e+002
2.961311e+000	1.428230e+002
3.110079e+000	1.372110e+002
3.814772e+000	1.643107e+002
3.344066e+000	1.222476e+002
3.667557e+000	1.269167e+002
3.736902e+000	1.166312e+002
3.965079e+000	1.156918e+002
3.716749e+000	8.671371e+001
3.722558e+000	7.268970e+001
4.331953e+000	9.418186e+001
4.607791e+000	9.604690e+001
4.772441e+000	9.136941e+001
4.968855e+000	8.856097e+001
4.704636e+000	5.864794e+001
5.059891e+000	6.518602e+001
5.748709e+000	9.135166e+001
5.818054e+000	8.106617e+001
5.728556e+000	6.143417e+001
6.290298e+000	8.012233e+001
6.613790e+000	8.479137e+001
6.333688e+000	5.394381e+001
6.514220e+000	5.020085e+001
6.964774e+000	6.234648e+001
6.938819e+000	4.645345e+001
7.008163e+000	3.616796e+001
7.331647e+000	4.083656e+001
7.210387e+000	1.933553e+001
7.216196e+000	5.311528e+000
7.301423e+000	-4.039414e+000
7.894934e+000	1.651820e+001
7.741910e+000	-6.851867e+000
7.858901e+000	-1.433378e+001
8.198273e+000	-8.730221e+000
8.569410e+000	-1.257633e+000
8.448150e+000	-2.275866e+001
8.581029e+000	-2.930562e+001
8.570956e+000	-4.426415e+001
8.672072e+000	-5.268014e+001
8.916139e+000	-5.268459e+001
9.430227e+000	-3.680044e+001
9.563107e+000	-4.334740e+001
9.743639e+000	-4.709036e+001
1.001948e+001	-4.522531e+001
1.007294e+001	-5.644532e+001
9.824602e+000	-8.542383e+001
9.893945e+000	-9.570931e+001
1.040804e+001	-7.982472e+001
1.044561e+001	-9.197968e+001
1.045142e+001	-1.060037e+002
1.087021e+001	-9.572709e+001
1.100309e+001	-1.022740e+002
1.131070e+001	-9.853952e+001
1.111002e+001	-1.247140e+002
1.132232e+001	-1.265875e+002
1.161403e+001	-1.237884e+002
1.195341e+001	-1.181849e+002
1.181626e+001	-1.406204e+002
1.212387e+001	-1.368863e+002
1.222497e+001	-1.453028e+002
1.224667e+001	-1.583918e+002
1.249074e+001	-1.583963e+002
1.283010e+001	-1.527931e+002
1.251824e+001	-1.855097e+002
1.277819e+001	-1.845797e+002
1.291107e+001	-1.911266e+002
1.325044e+001	-1.855231e+002
1.374865e+001	-1.705734e+002
1.373857e+001	-1.855319e+002
1.391911e+001	-1.892749e+002
1.381373e+001	-2.098414e+002
1.378777e+001	-2.257349e+002
1.403183e+001	-2.257393e+002
1.400588e+001	-2.416324e+002
1.417053e+001	-2.463099e+002
1.406515e+001	-2.668764e+002
1.464277e+001	-2.472537e+002
1.468036e+001	-2.594082e+002
1.492442e+001	-2.594127e+002
1.559735e+001	-2.341820e+002
1.585730e+001	-2.332519e+002
1.575192e+001	-2.538184e+002
1.656781e+001	-2.201758e+002
1.798728e+001	-1.510169e+002
1.927968e+001	-8.933558e+001
1.953963e+001	-8.840551e+001
1.986312e+001	-8.373646e+001
2.005953e+001	-8.654491e+001
2.009711e+001	-9.869943e+001
2.111949e+001	-5.290668e+001
2.130002e+001	-5.664964e+001
2.143290e+001	-6.319660e+001
2.178816e+001	-5.665853e+001
2.200045e+001	-5.853244e+001
2.233982e+001	-5.292888e+001
2.310805e+001	-2.209066e+001
2.312975e+001	-3.517970e+001
2.351677e+001	-2.677258e+001
2.396732e+001	-1.462695e+001
2.397313e+001	-2.865094e+001
2.382011e+001	-5.202102e+001
2.400064e+001	-5.576397e+001
2.395880e+001	-7.259198e+001
2.398049e+001	-8.568145e+001
2.404983e+001	-9.596694e+001
2.437332e+001	-9.129790e+001
2.483976e+001	-7.821774e+001
2.494087e+001	-8.663374e+001
2.516906e+001	-8.757271e+001
2.569904e+001	-7.075358e+001
2.580014e+001	-7.917002e+001
2.604421e+001	-7.917448e+001
2.606590e+001	-9.226395e+001
2.658000e+001	-7.637936e+001
2.682406e+001	-7.638380e+001
2.719520e+001	-6.891120e+001
2.681980e+001	-1.053663e+002
2.677796e+001	-1.221943e+002
2.735558e+001	-1.025716e+002
2.772673e+001	-9.509860e+001
2.828847e+001	-7.641045e+001
2.824662e+001	-9.323845e+001
2.837950e+001	-9.978540e+001
2.886183e+001	-8.577029e+001
2.862938e+001	-1.138139e+002
2.876226e+001	-1.203608e+002
2.878396e+001	-1.334498e+002
2.883742e+001	-1.446698e+002
2.916090e+001	-1.400012e+002
2.945262e+001	-1.372017e+002
2.993495e+001	-1.231866e+002
2.989310e+001	-1.400146e+002
2.954947e+001	-1.746007e+002
3.030182e+001	-1.446965e+002
3.049824e+001	-1.475049e+002
3.075818e+001	-1.465749e+002
3.054162e+001	-1.736839e+002
3.061096e+001	-1.839694e+002
3.077561e+001	-1.886469e+002
3.084496e+001	-1.989323e+002
3.124786e+001	-1.895903e+002
3.146016e+001	-1.914642e+002
3.181541e+001	-1.849261e+002
3.201183e+001	-1.877346e+002
3.200175e+001	-2.026931e+002
3.202345e+001	-2.157825e+002
3.198161e+001	-2.326101e+002
3.228921e+001	-2.288760e+002
3.269211e+001	-2.195344e+002
3.250732e+001	-2.447740e+002
3.291023e+001	-2.354319e+002
3.320195e+001	-2.326323e+002
3.346189e+001	-2.317022e+002
3.311826e+001	-2.662883e+002
3.358470e+001	-2.532077e+002
3.376523e+001	-2.569507e+002
3.383458e+001	-2.672361e+002
3.364978e+001	-2.924757e+002
3.386208e+001	-2.943496e+002
3.429675e+001	-2.831385e+002
3.482673e+001	-2.663194e+002
3.491195e+001	-2.756704e+002
