    nm         	pN
0.000000e+000	5.189623e+002
2.283303e-001	5.180318e+002
2.977186e-001	5.077490e+002
4.147897e-001	5.002718e+002
2.457693e-001	4.759605e+002
3.469491e-001	4.675483e+002
3.209707e-001	4.516538e+002
4.221499e-001	4.432416e+002
4.597468e-001	4.310880e+002
4.337764e-001	4.151940e+002
4.077980e-001	3.992996e+002
6.202364e-001	3.974341e+002
4.988988e-001	3.759285e+002
5.682871e-001	3.656456e+002
7.966098e-001	3.647147e+002
9.136810e-001	3.572376e+002
9.512859e-001	3.450845e+002
9.412066e-001	3.301256e+002
1.074171e+000	3.235836e+002
1.207134e+000	3.170416e+002
1.228839e+000	3.039530e+002
1.536636e+000	3.076985e+002
1.526557e+000	2.927396e+002
1.580054e+000	2.815217e+002
1.856060e+000	2.833966e+002
1.830089e+000	2.675026e+002
1.692852e+000	2.450614e+002
2.000650e+000	2.488070e+002
2.054146e+000	2.375890e+002
2.266584e+000	2.357235e+002
2.383656e+000	2.282464e+002
2.484828e+000	2.198337e+002
2.427065e+000	2.020690e+002
2.607713e+000	1.983328e+002
2.740676e+000	1.917908e+002
2.730597e+000	1.768320e+002
2.863561e+000	1.702899e+002
2.932949e+000	1.600071e+002
3.081812e+000	1.544006e+002
3.103517e+000	1.413120e+002
3.490782e+000	1.497335e+002
3.544278e+000	1.385155e+002
3.804392e+000	1.394554e+002
3.873780e+000	1.291725e+002
3.847809e+000	1.132785e+002
3.853623e+000	9.925469e+001
3.986586e+000	9.271268e+001
4.357959e+000	1.001992e+002
4.490922e+000	9.365717e+001
4.480843e+000	7.869828e+001
4.645598e+000	7.402697e+001
4.778562e+000	6.748497e+001
4.975101e+000	6.468387e+001
5.060381e+000	5.533610e+001
5.256928e+000	5.253546e+001
4.960756e+000	2.074231e+001
5.284445e+000	2.542300e+001
5.480984e+000	2.262191e+001
5.756997e+000	2.449727e+001
5.715127e+000	7.667702e+000
6.038817e+000	1.234839e+001
6.219463e+000	8.612186e+000
6.431902e+000	6.746642e+000
6.548974e+000	-7.304394e-001
6.729613e+000	-4.467090e+000
6.799009e+000	-1.474953e+001
6.757139e+000	-3.157910e+001
7.303345e+000	-1.380505e+001
7.563459e+000	-1.286526e+001
7.728214e+000	-1.753658e+001
7.797603e+000	-2.781947e+001
7.914674e+000	-3.529656e+001
7.793337e+000	-5.680214e+001
7.926301e+000	-6.334412e+001
8.202306e+000	-6.146920e+001
8.144544e+000	-7.923388e+001
8.341082e+000	-8.203498e+001
8.760138e+000	-7.174272e+001
8.543442e+000	-9.885942e+001
9.121432e+000	-7.921513e+001
9.031886e+000	-9.885005e+001
9.276108e+000	-9.884536e+001
9.695164e+000	-8.855310e+001
1.003475e+001	-8.293730e+001
1.024718e+001	-8.480282e+001
1.044372e+001	-8.760392e+001
1.060847e+001	-9.227569e+001
1.024872e+001	-1.278097e+002
1.007970e+001	-1.521211e+002
1.078485e+001	-1.249946e+002
1.074298e+001	-1.418241e+002
1.111435e+001	-1.343377e+002
1.121553e+001	-1.427499e+002
1.136440e+001	-1.483563e+002
1.178344e+001	-1.380645e+002
1.196409e+001	-1.418007e+002
1.195401e+001	-1.567596e+002
1.219824e+001	-1.567549e+002
1.231531e+001	-1.642320e+002
1.249595e+001	-1.679682e+002
1.283554e+001	-1.623520e+002
1.282546e+001	-1.773113e+002
1.321273e+001	-1.688893e+002
1.352053e+001	-1.651437e+002
1.360581e+001	-1.744915e+002
1.373877e+001	-1.810335e+002
1.393531e+001	-1.838345e+002
1.381397e+001	-2.053401e+002
1.361317e+001	-2.315217e+002
1.398454e+001	-2.240352e+002
1.488041e+001	-1.856860e+002
1.541073e+001	-1.688471e+002
1.535297e+001	-1.866118e+002
1.531109e+001	-2.034413e+002
1.585730e+001	-1.856673e+002
1.592669e+001	-1.959502e+002
1.612323e+001	-1.987513e+002
1.638334e+001	-1.978115e+002
1.643684e+001	-2.090295e+002
1.663338e+001	-2.118306e+002
1.690939e+001	-2.099552e+002
1.728076e+001	-2.024687e+002
1.750909e+001	-2.033992e+002
1.781689e+001	-1.996536e+002
1.907832e+001	-1.397941e+002
2.043513e+001	-7.432310e+001
2.069524e+001	-7.338331e+001
2.138449e+001	-4.719234e+001
2.137441e+001	-6.215124e+001
2.150737e+001	-6.869324e+001
2.184696e+001	-6.307698e+001
2.247264e+001	-4.062692e+001
2.236719e+001	-6.119739e+001
2.272267e+001	-5.464601e+001
2.333245e+001	-3.313108e+001
2.314754e+001	-5.837755e+001
2.335997e+001	-6.024353e+001
2.347704e+001	-6.772063e+001
2.338750e+001	-8.735553e+001
2.390191e+001	-7.145216e+001
2.419382e+001	-6.864168e+001
2.404069e+001	-9.201793e+001
