    nm         	pN
0.000000e+000	5.486354e+002
5.274538e-002	5.456551e+002
-5.396049e-002	5.401919e+002
-1.606058e-001	5.347298e+002
-2.673081e-001	5.292667e+002
-3.420894e-001	5.243007e+002
-4.806556e-001	5.183414e+002
-6.191683e-001	5.123830e+002
-6.620823e-001	5.079132e+002
-8.325159e-001	5.014578e+002
-9.073543e-001	4.964908e+002
-1.109655e+000	4.895392e+002
-1.184437e+000	4.845732e+002
-1.131752e+000	4.815919e+002
-1.206530e+000	4.766260e+002
-1.408831e+000	4.696743e+002
-1.451745e+000	4.652045e+002
-1.622180e+000	4.587490e+002
-1.696960e+000	4.537830e+002
-1.771795e+000	4.488162e+002
-2.005965e+000	4.413682e+002
-1.921356e+000	4.388841e+002
-1.836746e+000	4.364000e+002
-1.847795e+000	4.324264e+002
-1.954440e+000	4.269642e+002
-2.156798e+000	4.200116e+002
-2.231578e+000	4.150456e+002
-2.402013e+000	4.085902e+002
-2.381139e+000	4.051136e+002
-2.041540e+000	4.066000e+002
-2.084454e+000	4.021302e+002
-2.318624e+000	3.946823e+002
-2.457192e+000	3.887230e+002
-2.531970e+000	3.837570e+002
-2.511153e+000	3.802796e+002
-2.585932e+000	3.753136e+002
-2.533191e+000	3.723332e+002
-2.512370e+000	3.688559e+002
-2.650939e+000	3.628966e+002
-2.757585e+000	3.574344e+002
-2.800498e+000	3.529646e+002
-2.715889e+000	3.504805e+002
-2.854459e+000	3.445212e+002
-3.088685e+000	3.370724e+002
-3.099674e+000	3.330997e+002
-3.174511e+000	3.281328e+002
-3.408681e+000	3.206849e+002
-3.324070e+000	3.182008e+002
-3.143862e+000	3.172053e+002
-3.091120e+000	3.142249e+002
-3.134034e+000	3.097551e+002
-3.081291e+000	3.067748e+002
-3.124204e+000	3.023050e+002
-2.848341e+000	3.027989e+002
-2.923177e+000	2.978320e+002
-2.838568e+000	2.953479e+002
-2.817692e+000	2.918714e+002
-2.733083e+000	2.893873e+002
-2.903518e+000	2.829318e+002
-3.010222e+000	2.774687e+002
-3.148790e+000	2.715094e+002
-3.382960e+000	2.640615e+002
-3.330217e+000	2.610812e+002
-3.436919e+000	2.556181e+002
-3.352312e+000	2.531340e+002
-3.076448e+000	2.536279e+002
-3.183093e+000	2.481657e+002
-3.194140e+000	2.441921e+002
-3.109532e+000	2.417080e+002
-3.184312e+000	2.367420e+002
-3.322880e+000	2.307827e+002
-3.302062e+000	2.273053e+002
-3.153663e+000	2.258145e+002
-3.005322e+000	2.243227e+002
-3.112025e+000	2.188596e+002
-2.899894e+000	2.183612e+002
-2.783417e+000	2.163732e+002
-2.507554e+000	2.168672e+002
-2.486679e+000	2.133906e+002
-2.880292e+000	2.034600e+002
-2.827550e+000	2.004797e+002
-2.966120e+000	1.945204e+002
-2.913376e+000	1.915401e+002
-3.306991e+000	1.816094e+002
-3.445503e+000	1.756511e+002
-3.010251e+000	1.786269e+002
-2.702521e+000	1.796170e+002
-2.681643e+000	1.761405e+002
-2.469513e+000	1.756420e+002
-2.894994e+000	1.652152e+002
-2.937909e+000	1.607454e+002
-2.598253e+000	1.622326e+002
-3.055600e+000	1.513096e+002
-3.321691e+000	1.433646e+002
-2.918306e+000	1.458442e+002
-2.897487e+000	1.423668e+002
-2.589701e+000	1.433578e+002
-2.568880e+000	1.398804e+002
-2.420482e+000	1.383896e+002
-2.240274e+000	1.373940e+002
-2.378844e+000	1.314348e+002
-2.294235e+000	1.289506e+002
-2.273359e+000	1.254741e+002
-2.348195e+000	1.205072e+002
-2.486708e+000	1.145488e+002
-2.274575e+000	1.140504e+002
-2.062504e+000	1.135510e+002
-2.073550e+000	1.095774e+002
-2.116462e+000	1.051076e+002
-2.414364e+000	9.666735e+001
-2.329812e+000	9.418233e+001
-2.117681e+000	9.368387e+001
-2.224326e+000	8.822167e+001
-1.693420e+000	9.268695e+001
-1.640733e+000	8.970574e+001
-1.364812e+000	9.020056e+001
-1.216472e+000	8.870882e+001
-1.163730e+000	8.572849e+001
-1.302300e+000	7.976921e+001
-9.945685e-001	8.075934e+001
-8.143035e-001	7.976468e+001
-7.616187e-001	7.678347e+001
-7.407407e-001	7.330695e+001
-7.517909e-001	6.933334e+001
-3.484039e-001	7.181294e+001
-4.869736e-001	6.585367e+001
-5.166219e-002	6.883036e+001
-2.220994e-001	6.237488e+001
-3.606691e-001	5.641560e+001
1.085043e-002	5.839901e+001
6.359224e-002	5.541869e+001
-1.706333e-001	4.796993e+001
1.052875e-001	4.846475e+001
3.492839e-001	4.846248e+001
8.801940e-001	5.292777e+001
9.010114e-001	4.945035e+001
1.336266e+000	5.242616e+001
1.580262e+000	5.242390e+001
1.792395e+000	5.192544e+001
1.908868e+000	4.993751e+001
1.961610e+000	4.695718e+001
1.631785e+000	3.801983e+001
1.525083e+000	3.255675e+001
2.055993e+000	3.702202e+001
1.949344e+000	3.155983e+001
2.352731e+000	3.403944e+001
2.405473e+000	3.105911e+001
2.649469e+000	3.105684e+001
2.351513e+000	2.261570e+001
2.691111e+000	2.410203e+001
2.743853e+000	2.112170e+001
3.115372e+000	2.310511e+001
3.359369e+000	2.310285e+001
3.794620e+000	2.607865e+001
3.847362e+000	2.309832e+001
3.613197e+000	1.565045e+001
3.347103e+000	7.705499e+000
3.527312e+000	6.709960e+000
3.962620e+000	9.686649e+000
3.887842e+000	4.720648e+000
4.004315e+000	2.732715e+000
3.993268e+000	-1.240884e+000
4.109745e+000	-3.228825e+000
4.576920e+000	2.440570e-001
4.661473e+000	-2.240956e+000
4.714214e+000	-5.221283e+000
4.766956e+000	-8.201610e+000
5.297863e+000	-3.736326e+000
4.649207e+000	-1.763830e+001
4.383171e+000	-2.558237e+001
4.722766e+000	-2.409604e+001
5.062422e+000	-2.260882e+001
4.860117e+000	-2.956050e+001
4.912863e+000	-3.254082e+001
5.443769e+000	-2.807554e+001
5.783364e+000	-2.658922e+001
5.899841e+000	-2.857715e+001
6.016314e+000	-3.056509e+001
6.100923e+000	-3.304922e+001
6.153665e+000	-3.602955e+001
6.302009e+000	-3.752129e+001
6.832916e+000	-3.305600e+001
6.917525e+000	-3.554014e+001
6.778956e+000	-4.149942e+001
7.341787e+000	-3.653705e+001
7.330740e+000	-4.051066e+001
7.064647e+000	-4.845561e+001
7.786869e+000	-4.101138e+001
7.712030e+000	-4.597827e+001
7.541597e+000	-5.243374e+001
7.689994e+000	-5.392460e+001
7.870202e+000	-5.492013e+001
8.560553e+000	-4.797211e+001
8.390120e+000	-5.442758e+001
8.761582e+000	-5.244506e+001
8.368026e+000	-6.237479e+001
8.643890e+000	-6.188086e+001
8.983542e+000	-6.039364e+001
8.940629e+000	-6.486345e+001
9.599058e+000	-5.841250e+001
9.556144e+000	-6.288230e+001
9.290055e+000	-7.082725e+001
9.629707e+000	-6.934003e+001
9.682392e+000	-7.232126e+001
1.008584e+001	-6.984076e+001
9.979133e+000	-7.530384e+001
9.999950e+000	-7.878126e+001
1.024395e+001	-7.878351e+001
1.036048e+001	-8.077056e+001
