    nm         	pN
0.000000e+000	4.410793e+002
-2.980727e-001	4.326363e+002
-6.599301e-001	4.232002e+002
-9.579725e-001	4.147577e+002
-1.032811e+000	4.097908e+002
-1.139526e+000	4.043275e+002
-1.469477e+000	3.953882e+002
-1.958905e+000	3.839656e+002
-1.874262e+000	3.814820e+002
-1.885287e+000	3.775087e+002
-1.960122e+000	3.725419e+002
-2.194410e+000	3.650922e+002
-2.492483e+000	3.566492e+002
-2.503504e+000	3.526760e+002
-2.291320e+000	3.521784e+002
-2.685056e+000	3.422458e+002
-3.078793e+000	3.323133e+002
-3.249293e+000	3.258568e+002
-3.164651e+000	3.233732e+002
-3.239459e+000	3.184067e+002
-3.696983e+000	3.074810e+002
-3.803698e+000	3.020177e+002
-3.974198e+000	2.955612e+002
-4.176608e+000	2.886079e+002
-4.410895e+000	2.811581e+002
-4.772723e+000	2.717225e+002
-5.262151e+000	2.602999e+002
-5.432624e+000	2.538438e+002
-5.284226e+000	2.523529e+002
-5.359035e+000	2.473865e+002
-5.625227e+000	2.394400e+002
-5.923272e+000	2.309975e+002
-5.838659e+000	2.285134e+002
-6.072916e+000	2.210641e+002
-6.402896e+000	2.121244e+002
-6.637155e+000	2.046751e+002
-6.552542e+000	2.021910e+002
-6.499779e+000	1.992110e+002
-6.478951e+000	1.957337e+002
-6.489973e+000	1.917605e+002
-6.628596e+000	1.858004e+002
-7.022333e+000	1.758678e+002
-7.256619e+000	1.684181e+002
-7.554662e+000	1.599757e+002
-7.948399e+000	1.500431e+002
-7.417285e+000	1.545116e+002
-7.492124e+000	1.495447e+002
-7.662625e+000	1.430882e+002
-7.482321e+000	1.420942e+002
-6.791730e+000	1.490459e+002
-6.834660e+000	1.445758e+002
-6.781925e+000	1.415954e+002
-7.367019e+000	1.286832e+002
-7.665092e+000	1.202402e+002
-6.687479e+000	1.316612e+002
-6.539082e+000	1.301704e+002
-6.550105e+000	1.261971e+002
-6.210350e+000	1.276860e+002
-6.667872e+000	1.167602e+002
-7.348628e+000	1.023584e+002
-7.136415e+000	1.018612e+002
-7.625844e+000	9.043863e+001
-6.935255e+000	9.739035e+001
-6.946306e+000	9.341667e+001
-6.734122e+000	9.291904e+001
-6.936502e+000	8.596616e+001
-7.457809e+000	7.404719e+001
-7.309382e+000	7.255678e+001
-7.575546e+000	6.461067e+001
-7.012557e+000	6.957552e+001
-7.310630e+000	6.113259e+001
-6.938968e+000	6.311822e+001
-7.077560e+000	5.715855e+001
-7.375633e+000	4.871562e+001
-6.844520e+000	5.318408e+001
-6.632309e+000	5.268689e+001
-6.069319e+000	5.765173e+001
-6.558718e+000	4.622959e+001
-6.984362e+000	3.580022e+001
-6.931598e+000	3.282021e+001
-7.102100e+000	2.636372e+001
-6.953702e+000	2.487286e+001
-6.741490e+000	2.437567e+001
-6.050929e+000	3.132695e+001
-6.476542e+000	2.089803e+001
-6.264358e+000	2.040040e+001
-5.988360e+000	2.089642e+001
-6.382096e+000	1.096389e+001
-6.393148e+000	6.990214e+000
-6.308507e+000	4.506589e+000
-6.766027e+000	-6.419156e+000
-6.234917e+000	-1.950705e+000
-5.703806e+000	2.517746e+000
-5.746734e+000	-1.952312e+000
-5.534551e+000	-2.449945e+000
-5.705051e+000	-8.906435e+000
-5.588503e+000	-1.089323e+001
-5.280656e+000	-9.901262e+000
-5.642485e+000	-1.933696e+001
-5.462179e+000	-2.033099e+001
-4.548382e+000	-9.903665e+000
-4.591312e+000	-1.437373e+001
-4.538549e+000	-1.735374e+001
-3.879866e+000	-1.089885e+001
-4.369296e+000	-2.232144e+001
-4.348440e+000	-2.579827e+001
-4.359490e+000	-2.977195e+001
-4.402422e+000	-3.424201e+001
-4.285902e+000	-3.622925e+001
-4.456375e+000	-4.268530e+001
-4.690661e+000	-5.013501e+001
-4.159548e+000	-4.566656e+001
-4.106813e+000	-4.864702e+001
-4.245408e+000	-5.460668e+001
-4.511600e+000	-6.255323e+001
-4.012369e+000	-5.858115e+001
-2.843429e+000	-4.418097e+001
-4.162014e+000	-6.851450e+001
-3.886043e+000	-6.801891e+001
-3.163575e+000	-6.057081e+001
-3.078934e+000	-6.305443e+001
-3.472671e+000	-7.298697e+001
-2.845895e+000	-6.702891e+001
-2.856917e+000	-7.100213e+001
-2.995540e+000	-7.696224e+001
-2.847114e+000	-7.845265e+001
-2.443574e+000	-7.597063e+001
-3.315686e+000	-9.335208e+001
-2.497555e+000	-8.441436e+001
-1.296709e+000	-6.951734e+001
-2.136915e+000	-8.640196e+001
-2.020395e+000	-8.838920e+001
-2.190897e+000	-9.484569e+001
-2.201947e+000	-9.881937e+001
-2.691347e+000	-1.102415e+002
-3.276439e+000	-1.231537e+002
-2.394523e+000	-1.132228e+002
-2.596903e+000	-1.201756e+002
-1.810675e+000	-1.117348e+002
-1.789822e+000	-1.152116e+002
-2.024108e+000	-1.226613e+002
-9.508315e-001	-1.097507e+002
-9.618532e-001	-1.137240e+002
-8.134556e-001	-1.152148e+002
-5.374599e-001	-1.147188e+002
-1.505264e+000	-1.335903e+002
-1.229265e+000	-1.330943e+002
-7.300329e-001	-1.291222e+002
-9.962257e-001	-1.370687e+002
-1.039157e+000	-1.415388e+002
-1.432891e+000	-1.514713e+002
-1.188802e+000	-1.514721e+002
-1.550661e+000	-1.609083e+002
-1.242784e+000	-1.599159e+002
-1.349497e+000	-1.653791e+002
-6.589075e-001	-1.584274e+002
-2.234892e-001	-1.554490e+002
8.438819e-002	-1.544566e+002
9.982137e-001	-1.440288e+002
2.855490e-001	-1.589275e+002
1.788324e-001	-1.643908e+002
7.099422e-001	-1.599223e+002
6.670140e-001	-1.643924e+002
1.102461e+000	-1.614135e+002
2.622551e-001	-1.782981e+002
4.106527e-001	-1.797890e+002
1.126103e-001	-1.882315e+002
3.247962e-001	-1.887291e+002
6.007919e-001	-1.882331e+002
1.737825e+000	-1.743297e+002
2.332720e+000	-1.688680e+002
1.364944e+000	-1.877391e+002
2.055505e+000	-1.807878e+002
2.012577e+000	-1.852579e+002
2.894492e+000	-1.753269e+002
3.553175e+000	-1.688720e+002
4.403216e+000	-1.594375e+002
4.774878e+000	-1.574519e+002
4.763824e+000	-1.614255e+002
5.167368e+000	-1.589435e+002
5.602815e+000	-1.559647e+002
6.389068e+000	-1.475233e+002
8.482854e+000	-1.187222e+002
1.089557e+001	-8.495488e+001
1.286179e+001	-5.814014e+001
1.524262e+001	-2.486925e+001
1.564616e+001	-2.238723e+001
1.576268e+001	-2.437447e+001
1.616625e+001	-2.189201e+001
1.644222e+001	-2.139642e+001
1.710090e+001	-1.494153e+001
1.769580e+001	-9.479858e+000
1.797177e+001	-8.984271e+000
1.719535e+001	-2.487567e+001
1.705673e+001	-3.083579e+001
1.790677e+001	-2.140123e+001
1.866111e+001	-1.345674e+001
1.829929e+001	-2.289244e+001
1.857525e+001	-2.239686e+001
1.904258e+001	-1.892162e+001
1.743698e+001	-4.772441e+001
1.886106e+001	-2.935135e+001
1.936026e+001	-2.537972e+001
1.960435e+001	-2.538052e+001
1.937010e+001	-3.282979e+001
2.009254e+001	-2.538213e+001
2.033662e+001	-2.538293e+001
2.105909e+001	-1.793482e+001
2.130318e+001	-1.793563e+001
2.075000e+001	-3.035099e+001
2.160001e+001	-2.091689e+001
2.098304e+001	-3.432546e+001
2.081254e+001	-4.078196e+001
2.105663e+001	-4.078276e+001
2.209802e+001	-2.836856e+001
2.224642e+001	-2.985941e+001
2.172512e+001	-4.177838e+001
2.232001e+001	-3.631671e+001
2.345707e+001	-2.241291e+001
2.306334e+001	-3.234545e+001
2.394525e+001	-2.241451e+001
2.374288e+001	-2.936739e+001
2.369995e+001	-3.383746e+001
2.384834e+001	-3.532831e+001
2.380541e+001	-3.979837e+001
2.395384e+001	-4.128878e+001
2.422981e+001	-4.079319e+001
2.466526e+001	-3.781434e+001
2.420774e+001	-4.874010e+001
2.432426e+001	-5.072734e+001
