    nm         	pN
0.000000e+000	5.581993e+002
-1.066809e-001	5.527365e+002
-2.452542e-001	5.467772e+002
-4.156985e-001	5.403216e+002
-7.455335e-001	5.313840e+002
-9.797340e-001	5.239357e+002
-1.213913e+000	5.164876e+002
-1.352486e+000	5.105283e+002
-1.554795e+000	5.035765e+002
-1.820866e+000	4.956319e+002
-2.118834e+000	4.871906e+002
-2.384909e+000	4.792459e+002
-2.619113e+000	4.717974e+002
-2.757686e+000	4.658381e+002
-2.800602e+000	4.613682e+002
-3.226068e+000	4.509416e+002
-3.396508e+000	4.444861e+002
-3.566949e+000	4.380305e+002
-3.705523e+000	4.320712e+002
-4.003463e+000	4.236303e+002
-4.205800e+000	4.166781e+002
-4.344347e+000	4.107192e+002
-4.451024e+000	4.052565e+002
-4.653334e+000	3.983047e+002
-4.632515e+000	3.948273e+002
-4.866690e+000	3.873793e+002
-5.292184e+000	3.769522e+002
-5.526389e+000	3.695038e+002
-5.760595e+000	3.620553e+002
-5.899139e+000	3.560964e+002
-6.101449e+000	3.491446e+002
-6.399417e+000	3.407033e+002
-6.697386e+000	3.322620e+002
-6.899692e+000	3.253103e+002
-6.974504e+000	3.203438e+002
-7.113051e+000	3.143848e+002
-7.124097e+000	3.104112e+002
-7.485800e+000	3.009775e+002
-7.624375e+000	2.950181e+002
-7.731054e+000	2.895554e+002
-8.092754e+000	2.801217e+002
-8.295091e+000	2.731695e+002
-8.529297e+000	2.657210e+002
-8.540315e+000	2.617479e+002
-8.710757e+000	2.552923e+002
-8.753672e+000	2.508225e+002
-8.987877e+000	2.433740e+002
-9.253949e+000	2.354294e+002
-9.264998e+000	2.314558e+002
-9.849885e+000	2.185467e+002
-9.892799e+000	2.140769e+002
-1.028640e+001	2.041465e+002
-1.020179e+001	2.016624e+002
-1.030847e+001	1.961997e+002
-9.873171e+000	1.991762e+002
-1.023490e+001	1.897420e+002
-1.034158e+001	1.842793e+002
-1.054389e+001	1.773276e+002
-1.068246e+001	1.713682e+002
-1.050222e+001	1.703732e+002
-1.048137e+001	1.668962e+002
-1.071558e+001	1.594478e+002
-1.059910e+001	1.574599e+002
-1.057825e+001	1.539830e+002
-1.087619e+001	1.455421e+002
-1.066408e+001	1.450433e+002
-1.096205e+001	1.366020e+002
-1.055862e+001	1.390823e+002
-1.072906e+001	1.326267e+002
-1.064448e+001	1.301422e+002
-1.059173e+001	1.271619e+002
-1.022020e+001	1.291455e+002
-1.007185e+001	1.276538e+002
-1.030606e+001	1.202054e+002
-1.050837e+001	1.132536e+002
-1.071068e+001	1.063018e+002
-1.024351e+001	1.097745e+002
-1.076464e+001	9.785837e+001
-1.080755e+001	9.338855e+001
-1.040415e+001	9.586838e+001
-1.044707e+001	9.139856e+001
-1.001177e+001	9.437503e+001
-9.959058e+000	9.139429e+001
-1.079897e+001	7.451424e+001
-1.093754e+001	6.855488e+001
-1.027909e+001	7.500620e+001
-1.044953e+001	6.855062e+001
-9.886710e+000	7.351285e+001
-1.047160e+001	6.060384e+001
-1.016383e+001	6.159458e+001
-9.664800e+000	6.556349e+001
