    nm         	pN
0.000000e+000	5.624219e+002
-2.344715e-001	5.549693e+002
-5.327741e-001	5.465228e+002
-7.034073e-001	5.400642e+002
-9.697819e-001	5.321149e+002
-1.012746e+000	5.276443e+002
-1.247214e+000	5.201917e+002
-1.449750e+000	5.132364e+002
-1.620387e+000	5.067778e+002
-1.822923e+000	4.998225e+002
-2.185064e+000	4.903819e+002
-2.355697e+000	4.839233e+002
-2.622068e+000	4.759740e+002
-2.728870e+000	4.705094e+002
-2.963338e+000	4.630569e+002
-3.197806e+000	4.556043e+002
-3.336510e+000	4.496430e+002
-3.634816e+000	4.411964e+002
-3.773517e+000	4.352350e+002
-4.039917e+000	4.272853e+002
-4.242455e+000	4.203299e+002
-4.317350e+000	4.153621e+002
-4.456051e+000	4.094008e+002
-4.690522e+000	4.019482e+002
-4.988826e+000	3.935017e+002
-5.223268e+000	3.860496e+002
-5.361998e+000	3.800878e+002
-5.468796e+000	3.746232e+002
-5.735169e+000	3.666739e+002
-5.905804e+000	3.602153e+002
-6.140272e+000	3.527627e+002
-6.215139e+000	3.477954e+002
-6.321939e+000	3.423308e+002
-6.492573e+000	3.358722e+002
-6.758974e+000	3.279224e+002
-6.897677e+000	3.219611e+002
-6.972571e+000	3.169933e+002
-7.238944e+000	3.090440e+002
-7.377646e+000	3.030826e+002
-7.484446e+000	2.976180e+002
-7.750817e+000	2.896687e+002
-7.921452e+000	2.832101e+002
-8.060182e+000	2.772483e+002
-8.166981e+000	2.717838e+002
-8.337616e+000	2.653252e+002
-8.444414e+000	2.598606e+002
-8.806526e+000	2.504205e+002
-8.977159e+000	2.439619e+002
-9.275464e+000	2.355154e+002
-9.382263e+000	2.300508e+002
-9.489061e+000	2.245862e+002
-9.787366e+000	2.161397e+002
-9.926069e+000	2.101783e+002
-1.006480e+001	2.042165e+002
-1.036307e+001	1.957704e+002
-1.056564e+001	1.888146e+002
-1.064051e+001	1.838473e+002
-1.093881e+001	1.754007e+002
-1.117328e+001	1.679482e+002
-1.128008e+001	1.624836e+002
-1.132304e+001	1.580130e+002
-1.146175e+001	1.520517e+002
-1.166431e+001	1.450959e+002
-1.202642e+001	1.356558e+002
-1.206939e+001	1.311852e+002
-1.220812e+001	1.252234e+002
-1.218724e+001	1.217468e+002
-1.238978e+001	1.147915e+002
-1.268809e+001	1.063449e+002
-1.260338e+001	1.038623e+002
-1.267828e+001	9.889451e+001
-1.291274e+001	9.144195e+001
-1.282804e+001	8.895935e+001
-1.312634e+001	8.051279e+001
-1.352038e+001	7.057547e+001
-1.365909e+001	6.461413e+001
-1.370205e+001	6.014354e+001
-1.358544e+001	5.815772e+001
-1.372414e+001	5.219637e+001
-1.370330e+001	4.871933e+001
-1.387393e+001	4.226077e+001
-1.385306e+001	3.878418e+001
-1.443861e+001	2.586488e+001
-1.451348e+001	2.089752e+001
-1.423729e+001	2.139646e+001
-1.463134e+001	1.145914e+001
-1.368490e+001	2.239478e+001
-1.350445e+001	2.140295e+001
-1.329207e+001	2.090834e+001
-1.374995e+001	9.977021e+000
-1.385675e+001	4.512447e+000
-1.380397e+001	1.532636e+000
-1.371927e+001	-9.499593e-001
-1.337925e+001	5.429628e-001
-1.310303e+001	1.042347e+000
-1.359284e+001	-1.038618e+001
-1.363581e+001	-1.485676e+001
-1.342343e+001	-1.535137e+001
-1.247699e+001	-4.415732e+000
-1.229654e+001	-5.407558e+000
-1.259484e+001	-1.385411e+001
-1.266971e+001	-1.882147e+001
-1.271267e+001	-2.329206e+001
-1.160666e+001	-9.871651e+000
-1.158578e+001	-1.334824e+001
-1.201176e+001	-2.378278e+001
-1.170364e+001	-2.278663e+001
-1.117212e+001	-1.831172e+001
-1.182150e+001	-3.222501e+001
-1.189637e+001	-3.719237e+001
-1.162019e+001	-3.669343e+001
-1.198230e+001	-4.613353e+001
-1.141887e+001	-4.116184e+001
-1.095118e+001	-3.768093e+001
-1.019621e+001	-2.972683e+001
-9.217869e+000	-1.829441e+001
-9.037422e+000	-1.928624e+001
-8.729306e+000	-1.829009e+001
-8.229682e+000	-1.431195e+001
-8.304577e+000	-1.927975e+001
-7.741119e+000	-1.430762e+001
-7.145757e+000	-8.838717e+000
-7.124886e+000	-1.231531e+001
-6.401884e+000	-4.858865e+000
-6.508683e+000	-1.032344e+001
-6.806957e+000	-1.876955e+001
-6.403103e+000	-1.628263e+001
-6.318394e+000	-1.876523e+001
-5.691129e+000	-1.279955e+001
-5.925600e+000	-2.025211e+001
-5.042994e+000	-1.031046e+001
-5.405103e+000	-1.975056e+001
-4.458661e+000	-8.814919e+000
-4.437790e+000	-1.229152e+001
-4.257343e+000	-1.328334e+001
-4.236501e+000	-1.676038e+001
-3.449635e+000	-8.309495e+000
-3.971349e+000	-2.023480e+001
-4.301554e+000	-2.917813e+001
-3.355116e+000	-1.824249e+001
-3.781063e+000	-2.867659e+001
-3.664451e+000	-3.066241e+001
-3.356335e+000	-2.966626e+001
-3.590803e+000	-3.711881e+001
-3.410356e+000	-3.811064e+001
-2.783091e+000	-3.214497e+001
-1.708980e+000	-1.922134e+001
-1.975351e+000	-2.717068e+001
-2.720475e+000	-4.257473e+001
-2.157045e+000	-3.760306e+001
-2.678762e+000	-4.952836e+001
-1.955728e+000	-4.207147e+001
-1.998691e+000	-4.654206e+001
-2.073558e+000	-5.150941e+001
-1.605866e+000	-4.802849e+001
-1.521161e+000	-5.051110e+001
-9.577307e-001	-4.553941e+001
-8.411185e-001	-4.752523e+001
-1.394738e+000	-5.994731e+001
-9.908809e-001	-5.746039e+001
-1.544501e+000	-6.988247e+001
