    nm         	pN
0.000000e+000	5.051806e+002
-7.688356e-002	4.989172e+002
-2.454393e-001	4.908653e+002
-2.764640e-001	4.854966e+002
-2.158621e-001	4.819157e+002
-2.010764e-001	4.774408e+002
-1.404290e-001	4.738607e+002
-2.631230e-001	4.667036e+002
-3.629374e-001	4.599928e+002
-4.168915e-001	4.541768e+002
-3.562456e-001	4.505967e+002
-2.497862e-001	4.479104e+002
-3.266698e-001	4.416470e+002
-3.806254e-001	4.358310e+002
-3.429074e-001	4.318035e+002
-2.822614e-001	4.282234e+002
-4.508157e-001	4.201715e+002
-4.360271e-001	4.156967e+002
-4.212400e-001	4.112219e+002
-4.522647e-001	4.058532e+002
-4.145481e-001	4.018257e+002
-4.685008e-001	3.960098e+002
-4.307857e-001	3.919823e+002
-4.847384e-001	3.861663e+002
-4.699512e-001	3.816914e+002
-5.010215e-001	3.763219e+002
-5.091168e-001	3.714006e+002
-6.318592e-001	3.642425e+002
-7.316253e-001	3.575327e+002
-6.939087e-001	3.535052e+002
-7.478614e-001	3.476892e+002
-6.414049e-001	3.450029e+002
-6.036869e-001	3.409754e+002
-6.118278e-001	3.360533e+002
-5.970406e-001	3.315784e+002
-6.968081e-001	3.248686e+002
-7.049489e-001	3.199464e+002
-8.047164e-001	3.132365e+002
-6.753277e-001	3.109976e+002
-6.834699e-001	3.060754e+002
-6.915652e-001	3.011542e+002
-6.767767e-001	2.966793e+002
-7.765896e-001	2.899686e+002
-7.159436e-001	2.863885e+002
-8.615685e-001	2.787839e+002
-7.780401e-001	2.756503e+002
-7.403235e-001	2.716228e+002
-7.713468e-001	2.662542e+002
-7.794890e-001	2.613320e+002
-7.875844e-001	2.564107e+002
-6.811265e-001	2.537244e+002
-5.975966e-001	2.505908e+002
-6.286213e-001	2.452221e+002
-5.221635e-001	2.425358e+002
-5.990015e-001	2.362733e+002
-6.988116e-001	2.295626e+002
-5.236125e-001	2.282175e+002
-4.400385e-001	2.250848e+002
-5.627339e-001	2.179276e+002
-5.021321e-001	2.143466e+002
-3.956287e-001	2.116612e+002
-5.183696e-001	2.045031e+002
-6.181385e-001	1.977932e+002
-6.033499e-001	1.933184e+002
-7.031615e-001	1.866077e+002
-6.883743e-001	1.821329e+002
-6.964697e-001	1.772116e+002
-7.962826e-001	1.705008e+002
-8.044235e-001	1.655787e+002
-6.979201e-001	1.628933e+002
-4.768606e-001	1.624429e+002
-4.391441e-001	1.584154e+002
-5.389556e-001	1.517047e+002
-5.699803e-001	1.463360e+002
-3.947357e-001	1.449918e+002
-2.653469e-001	1.427529e+002
-2.505612e-001	1.382781e+002
-2.815859e-001	1.329094e+002
-3.584681e-001	1.266461e+002
-2.978676e-001	1.230650e+002
-2.372230e-001	1.194849e+002
-3.599171e-001	1.123277e+002
-4.138712e-001	1.065117e+002
-4.220135e-001	1.015895e+002
-4.759662e-001	9.577354e+001
-4.841085e-001	9.085136e+001
-4.693213e-001	8.637653e+001
-4.316033e-001	8.234907e+001
-1.188291e-001	8.368811e+001
-1.237119e-002	8.100182e+001
7.120421e-002	7.786907e+001
6.306195e-002	7.294688e+001
-1.054909e-001	6.489498e+001
4.682580e-002	6.310340e+001
2.678838e-001	6.265302e+001
