    nm         	pN
0.000000e+000	3.500329e+002
2.003938e-002	3.456606e+002
2.286535e-002	3.409523e+002
8.479307e-003	3.359083e+002
-4.033215e-002	3.301927e+002
-3.750619e-002	3.254844e+002
-5.189365e-002	3.204404e+002
-8.349311e-002	3.150605e+002
-6.345231e-002	3.106882e+002
-1.122666e-001	3.049725e+002
-1.266526e-001	2.999284e+002
-1.238267e-001	2.952202e+002
-5.214561e-002	2.918554e+002
-4.931823e-002	2.871473e+002
2.236142e-002	2.837824e+002
-1.641588e-001	2.753800e+002
-1.785463e-001	2.703359e+002
-1.412921e-001	2.662994e+002
-6.961100e-002	2.629346e+002
-3.235819e-002	2.588981e+002
-8.117108e-002	2.531824e+002
-1.299840e-001	2.474667e+002
-7.551773e-002	2.437660e+002
-5.547693e-002	2.393937e+002
-6.986296e-002	2.343497e+002
-1.358900e-001	2.282981e+002
-1.158506e-001	2.239257e+002
-6.138366e-002	2.202251e+002
-6.916006e-003	2.165244e+002
3.033751e-002	2.124879e+002
1.595005e-002	2.074439e+002
8.763183e-002	2.040791e+002
7.324437e-002	1.990350e+002
-7.884904e-002	1.913043e+002
-1.620895e-001	1.849168e+002
-2.281158e-001	1.788653e+002
-2.080757e-001	1.744929e+002
-1.191819e-001	1.714640e+002
-9.914110e-002	1.670916e+002
-1.135286e-001	1.620476e+002
-9.348775e-002	1.576752e+002
-7.344766e-002	1.533029e+002
-7.062098e-002	1.485947e+002
1.059374e-003	1.452299e+002
2.109947e-002	1.408575e+002
5.835298e-002	1.368210e+002
7.839379e-002	1.324487e+002
-4.846645e-003	1.260613e+002
-3.644681e-002	1.206814e+002
-1.640601e-002	1.163091e+002
3.633373e-003	1.119367e+002
4.088760e-002	1.079002e+002
4.371356e-002	1.031920e+002
8.096779e-002	9.915552e+001
1.870743e-001	9.646238e+001
2.243285e-001	9.242588e+001
2.787962e-001	8.872521e+001
2.127684e-001	8.267365e+001
2.328092e-001	7.830132e+001
2.872769e-001	7.460065e+001
2.728894e-001	6.955662e+001
2.240765e-001	6.384089e+001
1.236234e-001	5.711766e+001
1.608762e-001	5.308116e+001
1.809156e-001	4.870880e+001
2.525981e-001	4.534400e+001
2.382106e-001	4.029996e+001
2.926783e-001	3.659930e+001
3.643579e-001	3.323447e+001
4.016121e-001	2.919797e+001
4.044381e-001	2.448977e+001
4.072655e-001	1.978160e+001
3.240258e-001	1.339420e+001
4.301323e-001	1.070104e+001
4.157448e-001	5.657010e+000
4.013588e-001	6.129811e-001
3.181190e-001	-5.774412e+000
3.209464e-001	-1.048258e+001
3.065604e-001	-1.552661e+001
2.921729e-001	-2.057065e+001
2.605735e-001	-2.595051e+001
2.633994e-001	-3.065871e+001
3.867208e-001	-3.301601e+001
4.411870e-001	-3.671667e+001
3.923755e-001	-4.243237e+001
4.812686e-001	-4.546137e+001
4.668811e-001	-5.050540e+001
4.008548e-001	-5.655696e+001
4.036822e-001	-6.126514e+001
4.581484e-001	-6.496580e+001
4.437624e-001	-7.000983e+001
4.465884e-001	-7.471802e+001
5.699097e-001	-7.707533e+001
7.965101e-001	-7.741757e+001
1.195245e+000	-7.440139e+001
1.680048e+000	-6.970600e+001
2.440264e+000	-5.963714e+001
2.942280e+000	-5.460590e+001
3.668068e+000	-4.520874e+001
3.980737e+000	-4.387177e+001
4.379473e+000	-4.085558e+001
4.399512e+000	-4.522794e+001
4.626113e+000	-4.557018e+001
4.904355e+000	-4.490488e+001
5.130955e+000	-4.524714e+001
5.443623e+000	-4.391018e+001
5.807932e+000	-4.156568e+001
5.845187e+000	-4.560217e+001
5.899653e+000	-4.930284e+001
6.263960e+000	-4.695834e+001
6.559416e+000	-4.595721e+001
6.820443e+000	-4.562778e+001
7.184751e+000	-4.328328e+001
7.170365e+000	-4.832731e+001
7.465821e+000	-4.732618e+001
7.657994e+000	-4.834011e+001
7.781314e+000	-5.069741e+001
8.093983e+000	-4.936045e+001
7.993530e+000	-5.608368e+001
8.357838e+000	-5.373918e+001
8.446730e+000	-5.676817e+001
8.742187e+000	-5.576704e+001
8.417957e+000	-6.685624e+001
8.713413e+000	-6.585511e+001
8.871160e+000	-6.754071e+001
9.183829e+000	-6.620374e+001
9.272723e+000	-6.923271e+001
9.602604e+000	-6.755991e+001
9.605430e+000	-7.226810e+001
9.522190e+000	-7.865550e+001
9.645510e+000	-8.101280e+001
9.751618e+000	-8.370594e+001
9.496243e+000	-9.345176e+001
9.533497e+000	-9.748827e+001
9.777312e+000	-9.749467e+001
1.002113e+001	-9.750107e+001
1.060921e+001	-9.079060e+001
1.097352e+001	-8.844614e+001
1.087306e+001	-9.516937e+001
1.104802e+001	-9.651913e+001
1.148119e+001	-9.283126e+001
1.174221e+001	-9.250183e+001
1.191717e+001	-9.385160e+001
1.226427e+001	-9.184294e+001
1.221546e+001	-9.755867e+001
1.232156e+001	-1.002518e+002
1.210061e+001	-1.093260e+002
1.243050e+001	-1.076531e+002
1.301858e+001	-1.009427e+002
