    nm         	pN
0.000000e+000	3.833696e+002
9.290692e-002	3.811784e+002
1.353796e-001	3.782565e+002
4.343839e-002	3.733871e+002
6.911439e-002	3.702219e+002
2.759203e-002	3.660830e+002
-6.436453e-002	3.612134e+002
-8.909209e-002	3.573178e+002
-1.138177e-001	3.534223e+002
-8.814174e-002	3.502570e+002
-1.296794e-001	3.461179e+002
-8.719139e-002	3.431962e+002
-1.119189e-001	3.393007e+002
-3.582215e-002	3.368659e+002
-1.277787e-001	3.319963e+002
-1.020855e-001	3.288313e+002
-5.961277e-002	3.259094e+002
1.648211e-002	3.234746e+002
1.261857e-001	3.215268e+002
6.376626e-004	3.161705e+002
-7.295097e-003	3.125183e+002
3.519485e-002	3.095966e+002
9.447769e-002	3.069182e+002
-1.427367e-002	3.018053e+002
-1.062168e-001	2.969359e+002
-3.012003e-002	2.945011e+002
2.916472e-002	2.918228e+002
-2.916968e-002	2.874403e+002
-3.710052e-002	2.837882e+002
-7.863821e-002	2.796491e+002
-1.934005e-002	2.769709e+002
-4.408101e-002	2.730752e+002
1.521906e-002	2.703971e+002
7.290136e-003	2.667449e+002
3.296613e-002	2.635796e+002
2.503529e-002	2.599274e+002
6.752333e-002	2.570058e+002
-4.122804e-002	2.518928e+002
8.528572e-002	2.501885e+002
9.416692e-002	2.467799e+002
8.623607e-002	2.431277e+002
-7.293609e-002	2.372843e+002
-6.405680e-002	2.338756e+002
2.885203e-002	2.316845e+002
-4.629345e-002	2.270584e+002
-7.103634e-002	2.231627e+002
-7.895089e-002	2.195107e+002
-8.688174e-002	2.158585e+002
-1.078591e-002	2.134238e+002
-1.905667e-003	2.100151e+002
1.077826e-001	2.080671e+002
6.626028e-002	2.039282e+002
2.472164e-002	1.997891e+002
3.360380e-002	1.963805e+002
1.096833e-001	1.939455e+002
1.857792e-001	1.915107e+002
3.122949e-001	1.898065e+002
3.883907e-001	1.873717e+002
3.972566e-001	1.839629e+002
4.061368e-001	1.805543e+002
3.478024e-001	1.761718e+002
4.070871e-001	1.734935e+002
5.335875e-001	1.717890e+002
4.248486e-001	1.666763e+002
6.521714e-001	1.664326e+002
6.610525e-001	1.630240e+002
5.354873e-001	1.576674e+002
4.603408e-001	1.530414e+002
6.204643e-001	1.518240e+002
7.133721e-001	1.496328e+002
6.214309e-001	1.447635e+002
6.302949e-001	1.413546e+002
7.063763e-001	1.389196e+002
8.497040e-001	1.374590e+002
9.762006e-001	1.357545e+002
1.052282e+000	1.333195e+002
9.099219e-001	1.277196e+002
9.524118e-001	1.247979e+002
1.045319e+000	1.226067e+002
1.222236e+000	1.216328e+002
1.247929e+000	1.184677e+002
1.071945e+000	1.123807e+002
1.316078e+000	1.123806e+002
1.408987e+000	1.101894e+002
1.249830e+000	1.043461e+002
1.208275e+000	1.002068e+002
1.284387e+000	9.777226e+001
1.142027e+000	9.217237e+001
1.234903e+000	8.998075e+001
1.344607e+000	8.803291e+001
1.437514e+000	8.584172e+001
1.631228e+000	8.511110e+001
1.673718e+000	8.218941e+001
1.648990e+000	7.829387e+001
1.909920e+000	7.853710e+001
1.885194e+000	7.464156e+001
1.894091e+000	7.123317e+001
1.902955e+000	6.782434e+001
1.895026e+000	6.417216e+001
2.155955e+000	6.441538e+001
1.946378e+000	5.784163e+001
2.324944e+000	5.978922e+001
2.518689e+000	5.905903e+001
2.493961e+000	5.516349e+001
2.637258e+000	5.370236e+001
2.528520e+000	4.858962e+001
2.587803e+000	4.591129e+001
2.731100e+000	4.445016e+001
2.723169e+000	4.079798e+001
2.782454e+000	3.811964e+001
2.690513e+000	3.325025e+001
2.800214e+000	3.130242e+001
2.809111e+000	2.789403e+001
2.767558e+000	2.375469e+001
2.860465e+000	2.156351e+001
3.003762e+000	2.010238e+001
3.046250e+000	1.718070e+001
3.307210e+000	1.742437e+001
3.786581e+000	2.083250e+001
3.812274e+000	1.766747e+001
4.073204e+000	1.791069e+001
4.199703e+000	1.620621e+001
4.174977e+000	1.231067e+001
4.620755e+000	1.523211e+001
4.730458e+000	1.328427e+001
4.520883e+000	6.710528e+000
4.563371e+000	3.788843e+000
4.622656e+000	1.110512e+000
4.631552e+000	-2.297875e+000
4.808471e+000	-3.271855e+000
4.901347e+000	-5.463485e+000
5.061470e+000	-6.680814e+000
5.120755e+000	-9.359149e+000
5.129621e+000	-1.276798e+001
5.239324e+000	-1.471581e+001
5.550673e+000	-1.374209e+001
5.845227e+000	-1.301171e+001
5.753283e+000	-1.788111e+001
5.963825e+000	-1.836793e+001
6.023110e+000	-2.104627e+001
6.099191e+000	-2.348125e+001
6.192098e+000	-2.567244e+001
6.217761e+000	-2.883791e+001
6.176236e+000	-3.297681e+001
6.117887e+000	-3.735949e+001
6.395644e+000	-3.687247e+001
6.723789e+000	-3.565539e+001
6.615051e+000	-4.076814e+001
6.556701e+000	-4.515082e+001
6.767242e+000	-4.563765e+001
6.826527e+000	-4.831599e+001
7.255510e+000	-4.563791e+001
7.449226e+000	-4.636853e+001
7.525306e+000	-4.880351e+001
7.366149e+000	-5.464676e+001
7.660702e+000	-5.391639e+001
7.787201e+000	-5.562086e+001
7.997742e+000	-5.610769e+001
7.821758e+000	-6.219474e+001
7.696195e+000	-6.755127e+001
7.856317e+000	-6.876861e+001
8.251676e+000	-6.657767e+001
8.495811e+000	-6.657780e+001
8.689556e+000	-6.730799e+001
8.950485e+000	-6.706476e+001
9.160998e+000	-6.755203e+001
9.690819e+000	-6.341296e+001
1.022061e+001	-5.927431e+001
1.172506e+001	-4.101415e+001
1.230527e+001	-3.614501e+001
1.263342e+001	-3.492793e+001
1.299519e+001	-3.322371e+001
1.313848e+001	-3.468483e+001
1.308016e+001	-3.906708e+001
1.366037e+001	-3.419794e+001
1.351801e+001	-3.979783e+001
1.471998e+001	-2.592022e+001
1.548504e+001	-1.837288e+001
1.574597e+001	-1.812965e+001
1.562041e+001	-2.348619e+001
1.601577e+001	-2.129526e+001
1.614230e+001	-2.299930e+001
1.618479e+001	-2.592098e+001
1.698344e+001	-1.788693e+001
1.796694e+001	-7.174679e+000
1.805984e+001	-9.365862e+000
1.806871e+001	-1.277470e+001
1.770791e+001	-2.153950e+001
1.812009e+001	-1.910477e+001
1.854908e+001	-1.642669e+001
1.899486e+001	-1.350526e+001
1.907094e+001	-1.594024e+001
1.929827e+001	-1.618372e+001
1.957600e+001	-1.569714e+001
2.024025e+001	-9.610356e+000
2.077004e+001	-5.471721e+000
2.079573e+001	-8.636759e+000
2.038451e+001	-1.813206e+001
2.061185e+001	-1.837554e+001
2.115844e+001	-1.399355e+001
2.099928e+001	-1.983679e+001
2.139464e+001	-1.764586e+001
2.226054e+001	-8.637516e+000
2.270632e+001	-5.716084e+000
2.234551e+001	-1.448089e+001
2.232079e+001	-1.837643e+001
2.278336e+001	-1.521164e+001
2.275863e+001	-1.910718e+001
2.318762e+001	-1.642910e+001
2.314606e+001	-2.056844e+001
2.347424e+001	-1.935091e+001
2.417205e+001	-1.277786e+001
2.409694e+001	-1.740346e+001
2.464352e+001	-1.302147e+001
2.480365e+001	-1.423880e+001
2.533344e+001	-1.010017e+001
2.549356e+001	-1.131750e+001
2.540162e+001	-1.618689e+001
2.546090e+001	-1.886522e+001
2.583947e+001	-1.691764e+001
2.623483e+001	-1.472671e+001
2.634453e+001	-1.667454e+001
2.682393e+001	-1.326596e+001
2.755537e+001	-6.205770e+000
2.744663e+001	-1.131851e+001
2.762355e+001	-1.229249e+001
2.795169e+001	-1.107541e+001
2.789337e+001	-1.545766e+001
2.780140e+001	-2.032749e+001
2.814637e+001	-1.886661e+001
2.912987e+001	-8.154362e+000
2.897072e+001	-1.399761e+001
2.929886e+001	-1.278053e+001
2.937497e+001	-1.521506e+001
2.961911e+001	-1.521519e+001
2.971201e+001	-1.740637e+001
2.988893e+001	-1.838035e+001
2.971295e+001	-2.446739e+001
3.032678e+001	-1.911111e+001
3.073893e+001	-1.667682e+001
3.074783e+001	-2.008521e+001
3.107598e+001	-1.886814e+001
3.108484e+001	-2.227697e+001
3.141302e+001	-2.105945e+001
3.177479e+001	-1.935522e+001
3.175003e+001	-2.325120e+001
3.174213e+001	-2.690294e+001
3.200306e+001	-2.665972e+001
3.226399e+001	-2.641649e+001
3.267618e+001	-2.398177e+001
3.250019e+001	-3.006881e+001
3.311402e+001	-2.471252e+001
3.342537e+001	-2.373879e+001
3.417363e+001	-1.643480e+001
3.414888e+001	-2.033079e+001
3.409056e+001	-2.471303e+001
3.456993e+001	-2.130489e+001
3.521739e+001	-1.546146e+001
3.507503e+001	-2.106135e+001
3.476461e+001	-2.909610e+001
3.586575e+001	-1.667948e+001
3.574021e+001	-2.203558e+001
3.581629e+001	-2.447056e+001
3.651413e+001	-1.789707e+001
3.655662e+001	-2.081875e+001
3.656549e+001	-2.422759e+001
3.677603e+001	-2.471442e+001
3.775953e+001	-1.400217e+001
3.770121e+001	-1.838441e+001
3.757565e+001	-2.374095e+001
3.795421e+001	-2.179337e+001
3.818155e+001	-2.203685e+001
3.825763e+001	-2.447183e+001
3.882104e+001	-1.984604e+001
3.869548e+001	-2.520258e+001
3.934293e+001	-1.935915e+001
3.953665e+001	-2.008978e+001
3.899100e+001	-3.153278e+001
3.930235e+001	-3.055906e+001
3.934483e+001	-3.348074e+001
3.984100e+001	-2.982926e+001
4.047163e+001	-2.422961e+001
4.054774e+001	-2.666416e+001
4.085909e+001	-2.569043e+001
4.169136e+001	-1.716923e+001
4.102808e+001	-3.031659e+001
4.169230e+001	-2.423025e+001
4.200365e+001	-2.325652e+001
4.214697e+001	-2.471721e+001
4.242470e+001	-2.423063e+001
4.251761e+001	-2.642182e+001
4.306422e+001	-2.203938e+001
4.295546e+001	-2.715257e+001
4.336764e+001	-2.471784e+001
4.364537e+001	-2.423126e+001
4.338541e+001	-3.153506e+001
4.383118e+001	-2.861363e+001
4.422654e+001	-2.642270e+001
4.457151e+001	-2.496183e+001
4.501729e+001	-2.204040e+001
4.532864e+001	-2.106667e+001
4.468215e+001	-3.397068e+001
4.480865e+001	-3.567516e+001
4.515362e+001	-3.421429e+001
4.551539e+001	-3.251006e+001
4.575952e+001	-3.251019e+001
4.578519e+001	-3.567567e+001
4.565965e+001	-4.103176e+001
4.620624e+001	-3.664977e+001
4.631594e+001	-3.859760e+001
4.691298e+001	-3.348467e+001
4.697226e+001	-3.616301e+001
4.777091e+001	-2.812896e+001
4.804867e+001	-2.764194e+001
4.772146e+001	-3.592003e+001
4.794880e+001	-3.616351e+001
4.748716e+001	-4.638931e+001
4.808416e+001	-4.127683e+001
4.856357e+001	-3.786824e+001
4.892533e+001	-3.616402e+001
4.883339e+001	-4.103341e+001
4.929597e+001	-3.786862e+001
4.974175e+001	-3.494719e+001
4.985145e+001	-3.689503e+001
5.017959e+001	-3.567795e+001
5.045735e+001	-3.519093e+001
5.043263e+001	-3.908646e+001
5.047511e+001	-4.200815e+001
5.050077e+001	-4.517363e+001
5.091296e+001	-4.273890e+001
5.122431e+001	-4.176517e+001
5.056102e+001	-5.491254e+001
5.100680e+001	-5.199111e+001
5.217515e+001	-3.860065e+001
5.198237e+001	-4.493104e+001
5.157115e+001	-5.442634e+001
5.183211e+001	-5.418267e+001
5.246274e+001	-4.858303e+001
5.279088e+001	-4.736595e+001
5.295101e+001	-4.858329e+001
5.329595e+001	-4.712286e+001
5.387616e+001	-4.225372e+001
5.375063e+001	-4.760982e+001
5.370907e+001	-5.174915e+001
5.403722e+001	-5.053207e+001
5.384447e+001	-5.686202e+001
5.410540e+001	-5.661879e+001
5.456797e+001	-5.345401e+001
5.476172e+001	-5.418419e+001
5.517387e+001	-5.174991e+001
5.540121e+001	-5.199339e+001
5.577978e+001	-5.004581e+001
5.533493e+001	-6.002826e+001
5.507497e+001	-6.733206e+001
5.599125e+001	-5.759366e+001
5.643703e+001	-5.467223e+001
5.644590e+001	-5.808106e+001
5.690850e+001	-5.491583e+001
5.658129e+001	-6.319393e+001
5.724551e+001	-5.710759e+001
5.688471e+001	-6.587238e+001
5.689361e+001	-6.928078e+001
5.713774e+001	-6.928091e+001
5.770112e+001	-6.465557e+001
5.772682e+001	-6.782060e+001
5.849187e+001	-6.027326e+001
5.913930e+001	-5.443027e+001
5.945065e+001	-5.345654e+001
5.982921e+001	-5.150896e+001
5.948520e+001	-6.003041e+001
5.979656e+001	-5.905669e+001
6.071287e+001	-4.931784e+001
6.092338e+001	-4.980512e+001
6.168844e+001	-4.225777e+001
6.184856e+001	-4.347511e+001
6.175662e+001	-4.834450e+001
6.179911e+001	-5.126618e+001
6.195920e+001	-5.248395e+001
6.228738e+001	-5.126644e+001
6.256510e+001	-5.077986e+001
6.272522e+001	-5.199719e+001
6.259966e+001	-5.735373e+001
6.275978e+001	-5.857106e+001
6.364247e+001	-4.931936e+001
6.413867e+001	-4.566743e+001
6.450041e+001	-4.396365e+001
6.492940e+001	-4.128557e+001
6.522394e+001	-4.055519e+001
6.548488e+001	-4.031197e+001
6.621634e+001	-3.325133e+001
6.634284e+001	-3.495581e+001
6.591483e+001	-4.469447e+001
6.637740e+001	-4.152968e+001
6.687360e+001	-3.787775e+001
6.689929e+001	-4.104278e+001
6.680732e+001	-4.591262e+001
6.693384e+001	-4.761665e+001
6.727879e+001	-4.615622e+001
6.824549e+001	-3.568732e+001
6.798550e+001	-4.299157e+001
6.794397e+001	-4.713046e+001
6.830575e+001	-4.542623e+001
6.866751e+001	-4.372201e+001
6.881081e+001	-4.518313e+001
6.897093e+001	-4.640047e+001
6.914784e+001	-4.737445e+001
6.979527e+001	-4.153146e+001
7.015704e+001	-3.982723e+001
7.021632e+001	-4.250556e+001
7.004037e+001	-4.859216e+001
7.063738e+001	-4.347967e+001
7.009172e+001	-5.492268e+001
7.057110e+001	-5.151454e+001
7.096649e+001	-4.932316e+001
7.090814e+001	-5.370585e+001
7.142113e+001	-4.981057e+001
7.112754e+001	-5.760152e+001
7.105240e+001	-6.222756e+001
7.141416e+001	-6.052333e+001
7.142303e+001	-6.393216e+001
7.176800e+001	-6.247129e+001
7.212977e+001	-6.076706e+001
7.239070e+001	-6.052384e+001
7.258441e+001	-6.125447e+001
7.316463e+001	-5.638532e+001
7.308948e+001	-6.101136e+001
7.341765e+001	-5.979384e+001
7.393065e+001	-5.589855e+001
7.336817e+001	-6.758536e+001
7.305778e+001	-7.561966e+001
7.395727e+001	-6.612461e+001
7.399976e+001	-6.904630e+001
7.464719e+001	-6.320331e+001
7.453845e+001	-6.831605e+001
7.486659e+001	-6.709898e+001
7.534599e+001	-6.369039e+001
7.570773e+001	-6.198661e+001
7.563258e+001	-6.661265e+001
7.569190e+001	-6.929054e+001
7.576799e+001	-7.172551e+001
7.586089e+001	-7.391670e+001
7.588655e+001	-7.708219e+001
7.604667e+001	-7.829951e+001
7.602195e+001	-8.219506e+001
7.685422e+001	-7.367386e+001
7.647660e+001	-8.268245e+001
7.658630e+001	-8.463029e+001
7.714971e+001	-8.000450e+001
7.734342e+001	-8.073513e+001
7.760438e+001	-8.049145e+001
7.818460e+001	-7.562232e+001
7.906728e+001	-6.637063e+001
7.947944e+001	-6.393634e+001
7.947151e+001	-6.758853e+001
7.988370e+001	-6.515381e+001
8.027906e+001	-6.296287e+001
8.050640e+001	-6.320636e+001
8.063290e+001	-6.491083e+001
8.033931e+001	-7.270178e+001
8.058345e+001	-7.270190e+001
8.077716e+001	-7.343254e+001
8.070202e+001	-7.805857e+001
8.082851e+001	-7.976305e+001
8.077019e+001	-8.414529e+001
8.138402e+001	-7.878900e+001
