    nm         	pN
0.000000e+000	3.562068e+002
-8.327277e-002	3.514630e+002
-2.790977e-003	3.490918e+002
-2.056843e-002	3.452970e+002
7.629054e-002	3.431630e+002
-8.886814e-002	3.372328e+002
-9.026458e-002	3.336753e+002
-1.080420e-001	3.298805e+002
-1.258099e-001	3.260857e+002
-1.272121e-001	3.225281e+002
-1.613610e-001	3.184961e+002
-1.791327e-001	3.147013e+002
-2.624131e-001	3.099574e+002
-1.655542e-001	3.078235e+002
-2.488288e-001	3.030797e+002
-1.847281e-001	3.004711e+002
-2.188770e-001	2.964391e+002
-3.021516e-001	2.916953e+002
-3.363025e-001	2.876632e+002
-3.376970e-001	2.841057e+002
-3.390992e-001	2.805481e+002
-3.241185e-001	2.772279e+002
-3.582712e-001	2.731957e+002
-5.070469e-001	2.675029e+002
-6.394493e-001	2.620473e+002
-6.572268e-001	2.582524e+002
-6.258727e-001	2.551694e+002
-6.763968e-001	2.509001e+002
-5.959150e-001	2.485289e+002
-5.318143e-001	2.459204e+002
-6.478433e-001	2.407020e+002
-4.691080e-001	2.397543e+002
-5.032607e-001	2.357222e+002
-5.210286e-001	2.319275e+002
-5.388051e-001	2.281327e+002
-7.039542e-001	2.222026e+002
-6.889840e-001	2.188822e+002
-6.903785e-001	2.153247e+002
-7.736590e-001	2.105808e+002
-8.733060e-001	2.055998e+002
-9.893342e-001	2.003814e+002
-8.269732e-001	1.991965e+002
-8.283773e-001	1.956389e+002
-6.660172e-001	1.944540e+002
-7.820453e-001	1.892356e+002
-6.688139e-001	1.873389e+002
-7.029647e-001	1.833068e+002
-5.406047e-001	1.821219e+002
-4.928706e-001	1.792762e+002
-6.088997e-001	1.740579e+002
-5.447979e-001	1.714493e+002
-5.134457e-001	1.683663e+002
-4.984669e-001	1.650460e+002
-4.671138e-001	1.619630e+002
-5.012636e-001	1.579309e+002
-6.336660e-001	1.524753e+002
-4.058030e-001	1.522395e+002
-2.925726e-001	1.503427e+002
-4.086084e-001	1.451242e+002
-6.556357e-001	1.380079e+002
-5.424062e-001	1.361111e+002
-6.256781e-001	1.313674e+002
-7.089508e-001	1.266236e+002
-4.647126e-001	1.266250e+002
-6.134960e-001	1.209320e+002
-6.149001e-001	1.173744e+002
-5.507916e-001	1.147660e+002
-4.703098e-001	1.123947e+002
-4.717121e-001	1.088371e+002
-4.567255e-001	1.055170e+002
-4.417544e-001	1.021966e+002
-5.414005e-001	9.721560e+001
-3.135529e-001	9.697952e+001
-1.348118e-001	9.603195e+001
6.030451e-002	9.532162e+001
9.780354e-003	9.105230e+001
-4.074380e-002	8.678299e+001
2.853631e-001	8.797055e+001
1.529684e-001	8.251505e+001
2.825741e-001	8.085556e+001
3.139186e-001	7.777243e+001
6.727894e-001	7.943467e+001
6.222634e-001	7.516536e+001
7.846157e-001	7.398033e+001
7.504802e-001	6.994848e+001
7.818267e-001	6.686534e+001
7.968132e-001	6.354520e+001
9.591636e-001	6.236016e+001
9.905100e-001	5.927703e+001
1.005496e+000	5.595688e+001
1.069605e+000	5.334844e+001
1.035454e+000	4.931636e+001
1.034052e+000	4.575875e+001
1.180031e+000	4.433650e+001
1.014888e+000	3.840653e+001
1.078981e+000	3.579786e+001
1.126716e+000	3.295219e+001
1.223571e+000	3.081822e+001
1.254917e+000	2.773509e+001
1.417285e+000	2.655028e+001
1.596011e+000	2.560249e+001
1.758378e+000	2.441769e+001
1.707854e+000	2.014838e+001
1.804709e+000	1.801440e+001
1.852429e+000	1.516851e+001
1.883789e+000	1.208559e+001
1.980646e+000	9.951625e+000
2.061128e+000	7.580422e+000
2.272618e+000	7.107326e+000
2.172956e+000	2.126080e+000
2.777467e+000	7.347314e+000
3.103574e+000	8.534866e+000
3.184056e+000	6.163663e+000
3.215418e+000	3.080751e+000
3.639784e+000	5.691942e+000
3.933142e+000	6.405026e+000
4.259267e+000	7.592803e+000
4.110481e+000	1.899851e+000
4.109079e+000	-1.657750e+000
4.074928e+000	-5.689829e+000
4.270045e+000	-6.400159e+000
4.285031e+000	-9.720309e+000
4.512879e+000	-9.956392e+000
4.871750e+000	-8.294144e+000
4.984980e+000	-1.019088e+001
4.623320e+000	-1.896811e+001
4.589169e+000	-2.300019e+001
4.980787e+000	-2.086347e+001
5.061271e+000	-2.323468e+001
4.863363e+000	-2.963934e+001
5.254983e+000	-2.750261e+001
5.237205e+000	-3.129746e+001
5.350436e+000	-3.319419e+001
5.529177e+000	-3.414176e+001
5.609660e+000	-3.651297e+001
5.526372e+000	-4.125697e+001
5.655991e+000	-4.291625e+001
5.670962e+000	-4.623662e+001
5.833330e+000	-4.742142e+001
6.192186e+000	-4.575940e+001
6.436424e+000	-4.575802e+001
6.615165e+000	-4.670558e+001
6.466382e+000	-5.239854e+001
6.645123e+000	-5.334611e+001
6.643721e+000	-5.690371e+001
6.937079e+000	-5.619063e+001
7.099446e+000	-5.737543e+001
7.114418e+000	-6.069580e+001
7.342281e+000	-6.093166e+001
7.259010e+000	-6.567544e+001
7.290355e+000	-6.875858e+001
7.452722e+000	-6.994339e+001
7.451320e+000	-7.350099e+001
7.679183e+000	-7.373685e+001
7.645032e+000	-7.776893e+001
7.578133e+000	-8.227548e+001
7.642243e+000	-8.488392e+001
8.148477e+000	-8.108655e+001
8.441853e+000	-8.037325e+001
8.686090e+000	-8.037188e+001
9.012199e+000	-7.918431e+001
8.830665e+000	-8.535174e+001
9.025781e+000	-8.606207e+001
9.106262e+000	-8.843327e+001
9.366874e+000	-8.819467e+001
9.905875e+000	-8.392260e+001
9.937235e+000	-8.700551e+001
1.024697e+001	-8.605519e+001
1.065496e+001	-8.368124e+001
1.075182e+001	-8.581520e+001
1.127444e+001	-8.178037e+001
1.135493e+001	-8.415157e+001
1.161554e+001	-8.391296e+001
1.140126e+001	-9.055486e+001
1.164550e+001	-9.055348e+001
1.170960e+001	-9.316192e+001
1.195384e+001	-9.316055e+001
1.185418e+001	-9.814179e+001
1.209842e+001	-9.814042e+001
1.267018e+001	-9.339366e+001
1.263603e+001	-9.742573e+001
1.289664e+001	-9.718713e+001
1.309174e+001	-9.789768e+001
1.305759e+001	-1.019298e+002
1.289245e+001	-1.078597e+002
1.331681e+001	-1.052485e+002
1.369206e+001	-1.033490e+002
1.369065e+001	-1.069067e+002
1.440978e+001	-1.000248e+002
1.509616e+001	-9.361736e+001
1.535679e+001	-9.337852e+001
1.589579e+001	-8.910646e+001
1.656580e+001	-8.293628e+001
1.656439e+001	-8.649390e+001
1.671037e+001	-8.791615e+001
1.715113e+001	-8.506750e+001
1.744449e+001	-8.435442e+001
1.803261e+001	-7.937064e+001
1.907926e+001	-6.774337e+001
1.935625e+001	-6.726753e+001
1.986250e+001	-6.346994e+001
2.130216e+001	-4.614857e+001
2.236519e+001	-3.428406e+001
2.259305e+001	-3.451993e+001
2.277178e+001	-3.546771e+001
2.245924e+001	-4.353325e+001
2.301461e+001	-3.902394e+001
2.320973e+001	-3.973427e+001
2.273343e+001	-5.017239e+001
2.261741e+001	-5.539065e+001
2.304178e+001	-5.277945e+001
2.330239e+001	-5.254084e+001
2.371038e+001	-5.016689e+001
2.444590e+001	-4.304754e+001
2.500127e+001	-3.853825e+001
2.516363e+001	-3.972327e+001
2.504761e+001	-4.494153e+001
2.534096e+001	-4.422844e+001
2.543782e+001	-4.636241e+001
2.566568e+001	-4.659827e+001
2.564791e+001	-5.039312e+001
2.657993e+001	-4.042672e+001
2.654578e+001	-4.445880e+001
2.685551e+001	-4.350848e+001
2.716526e+001	-4.255794e+001
2.739312e+001	-4.279380e+001
2.737535e+001	-4.658864e+001
2.766871e+001	-4.587556e+001
2.814221e+001	-4.255243e+001
2.855020e+001	-4.017848e+001
2.846693e+001	-4.492226e+001
2.831815e+001	-5.061521e+001
2.838226e+001	-5.322365e+001
2.879025e+001	-5.084970e+001
2.865784e+001	-5.630542e+001
2.898396e+001	-5.511764e+001
2.942470e+001	-5.226921e+001
2.957068e+001	-5.369147e+001
2.943828e+001	-5.914697e+001
2.956789e+001	-6.080646e+001
2.973024e+001	-6.199149e+001
3.015462e+001	-5.938007e+001
3.038249e+001	-5.961593e+001
3.079048e+001	-5.724198e+001
3.034694e+001	-6.720562e+001
3.036190e+001	-7.052599e+001
3.057339e+001	-7.099909e+001
