    nm         	pN
0.000000e+000	6.307884e+002
-1.644414e-002	6.270129e+002
-3.341142e-001	6.188730e+002
-5.822718e-001	6.117403e+002
-7.145765e-001	6.062861e+002
-8.700456e-001	6.004963e+002
-1.095035e+000	5.936992e+002
-1.111479e+000	5.899237e+002
-1.336468e+000	5.831266e+002
-1.515113e+000	5.770010e+002
-1.462045e+000	5.742326e+002
-1.617514e+000	5.684428e+002
-1.888844e+000	5.609743e+002
-2.229690e+000	5.524987e+002
-2.292474e+000	5.480517e+002
-2.424779e+000	5.425975e+002
-2.487567e+000	5.381505e+002
-2.828406e+000	5.296750e+002
-2.983879e+000	5.238851e+002
-3.116184e+000	5.184309e+002
-3.132628e+000	5.146554e+002
-3.380789e+000	5.075226e+002
-3.559430e+000	5.013970e+002
-3.761248e+000	4.949357e+002
-3.800864e+000	4.908244e+002
-4.049018e+000	4.836918e+002
-4.204495e+000	4.779018e+002
-4.244111e+000	4.737906e+002
-4.353243e+000	4.686721e+002
-4.555059e+000	4.622108e+002
-4.710530e+000	4.564210e+002
-4.773318e+000	4.519740e+002
-4.859278e+000	4.471912e+002
-4.968409e+000	4.420728e+002
-5.008023e+000	4.379616e+002
-5.047644e+000	4.338502e+002
-5.156772e+000	4.287318e+002
-5.381759e+000	4.219348e+002
-5.560405e+000	4.158092e+002
-5.785392e+000	4.090122e+002
-6.033548e+000	4.018794e+002
-6.281705e+000	3.947467e+002
-6.483523e+000	3.882854e+002
-6.430452e+000	3.855170e+002
-6.354216e+000	3.830843e+002
-6.671886e+000	3.749444e+002
-6.757846e+000	3.701617e+002
-6.913319e+000	3.643718e+002
-6.929765e+000	3.605962e+002
-7.038896e+000	3.554778e+002
-7.148027e+000	3.503594e+002
-7.187645e+000	3.462481e+002
-7.273603e+000	3.414654e+002
-7.568105e+000	3.336612e+002
-7.654064e+000	3.288785e+002
-7.925394e+000	3.214100e+002
-7.872325e+000	3.186416e+002
-8.143653e+000	3.111732e+002
-8.530837e+000	3.020261e+002
-8.547286e+000	2.982505e+002
-8.725928e+000	2.921250e+002
-8.696034e+000	2.890208e+002
-8.805163e+000	2.839024e+002
-8.983806e+000	2.777768e+002
-9.185623e+000	2.713155e+002
-9.248412e+000	2.668685e+002
-9.357542e+000	2.617501e+002
