    nm         	pN
0.000000e+000	6.156123e+002
4.203615e-003	6.007761e+002
3.664167e-002	5.876857e+002
5.494814e-002	5.737216e+002
8.737183e-002	5.606303e+002
4.925252e-002	5.431772e+002
8.167621e-002	5.300859e+002
1.564372e-001	5.196125e+002
1.606408e-001	5.047763e+002
2.212989e-001	4.934309e+002
1.408289e-001	4.733591e+002
2.155894e-001	4.628856e+002
2.762466e-001	4.515402e+002
2.945540e-001	4.375761e+002
3.269920e-001	4.244857e+002
3.311957e-001	4.096495e+002
3.353993e-001	3.948133e+002
3.113828e-001	3.782322e+002
2.591467e-001	3.599062e+002
2.633503e-001	3.450700e+002
3.522142e-001	3.354686e+002
3.564178e-001	3.206324e+002
4.170759e-001	3.092870e+002
4.494992e-001	2.961957e+002
4.396004e-001	2.804875e+002
4.579073e-001	2.665234e+002
4.621253e-001	2.516881e+002
5.086514e-001	2.394688e+002
5.128698e-001	2.246336e+002
5.593959e-001	2.124143e+002
5.353799e-001	1.958332e+002
5.395835e-001	1.809970e+002
5.861244e-001	1.687787e+002
6.750022e-001	1.591782e+002
6.933230e-001	1.452149e+002
7.680840e-001	1.347415e+002
8.851679e-001	1.268850e+002
8.611515e-001	1.103039e+002
9.359125e-001	9.983053e+001
1.024791e+000	9.023003e+001
1.057214e+000	7.713879e+001
1.061418e+000	6.230259e+001
1.051519e+000	4.659440e+001
1.083942e+000	3.350315e+001
1.172821e+000	2.390264e+001
1.346358e+000	1.953695e+001
1.364665e+000	5.572781e+000
1.354766e+000	-1.013540e+001
1.401307e+000	-2.235374e+001
1.461951e+000	-3.370006e+001
1.564931e+000	-4.242854e+001
1.583252e+000	-5.639181e+001
1.686233e+000	-6.512029e+001
1.746891e+000	-7.646572e+001
1.765198e+000	-9.042987e+001
1.868193e+000	-9.915746e+001
1.971174e+000	-1.078859e+002
2.088272e+000	-1.157415e+002
2.120695e+000	-1.288328e+002
2.223676e+000	-1.375612e+002
2.298437e+000	-1.480346e+002
2.359095e+000	-1.593801e+002
2.433856e+000	-1.698535e+002
2.494500e+000	-1.811998e+002
2.583378e+000	-1.908003e+002
2.771019e+000	-1.942940e+002
2.972776e+000	-1.969147e+002
3.019317e+000	-2.091331e+002
3.235193e+000	-2.108809e+002
3.253514e+000	-2.248442e+002
3.215380e+000	-2.422982e+002
3.233701e+000	-2.562615e+002
3.477797e+000	-2.562644e+002
3.707774e+000	-2.571403e+002
3.951869e+000	-2.571432e+002
4.054865e+000	-2.658708e+002
4.129626e+000	-2.763442e+002
4.077375e+000	-2.946711e+002
4.236810e+000	-2.999088e+002
4.311572e+000	-3.103822e+002
4.470992e+000	-3.156209e+002
4.686866e+000	-3.173687e+002
4.775744e+000	-3.269692e+002
4.765832e+000	-3.426783e+002
5.390932e+000	-3.191224e+002
5.606808e+000	-3.208703e+002
5.667451e+000	-3.322166e+002
5.685771e+000	-3.461799e+002
5.943984e+000	-3.453099e+002
6.357414e+000	-3.348423e+002
6.488615e+000	-3.418259e+002
6.267045e+000	-3.706224e+002
6.398246e+000	-3.776059e+002
7.108006e+000	-3.488153e+002
8.297550e+000	-2.903581e+002
8.612203e+000	-2.859982e+002
8.686963e+000	-2.964716e+002
8.775841e+000	-3.060721e+002
8.864705e+000	-3.156735e+002
8.883027e+000	-3.296368e+002
9.056563e+000	-3.340025e+002
9.145442e+000	-3.436030e+002
9.347199e+000	-3.462238e+002
9.280845e+000	-3.654227e+002
9.355607e+000	-3.758961e+002
9.585601e+000	-3.767711e+002
9.632125e+000	-3.889903e+002
9.946778e+000	-3.846304e+002
1.065655e+001	-3.558389e+002
1.219887e+001	-2.755687e+002
1.258408e+001	-2.668461e+002
1.364663e+001	-2.162415e+002
1.485027e+001	-1.569123e+002
1.591282e+001	-1.063077e+002
1.652380e+001	-8.362479e+001
1.683845e+001	-7.926493e+001
1.726600e+001	-6.792446e+001
1.787699e+001	-4.524150e+001
1.742963e+001	-8.799926e+001
1.754672e+001	-9.585482e+001
1.774848e+001	-9.847559e+001
1.803491e+001	-9.586067e+001
1.873057e+001	-6.794201e+001
1.900289e+001	-6.620000e+001
1.904943e+001	-7.841836e+001
1.919475e+001	-8.452899e+001
1.942472e+001	-8.540482e+001
1.965470e+001	-8.628065e+001
1.994113e+001	-8.366573e+001
2.034046e+001	-7.407019e+001
2.061278e+001	-7.232819e+001
2.075810e+001	-7.843882e+001
2.124208e+001	-6.360850e+001
2.151440e+001	-6.186649e+001
2.212538e+001	-3.918352e+001
2.211547e+001	-5.489260e+001
2.276879e+001	-2.959180e+001
2.305522e+001	-2.697688e+001
2.266431e+001	-6.624389e+001
2.269674e+001	-7.933514e+001
2.285617e+001	-8.457286e+001
2.334015e+001	-6.974342e+001
2.406403e+001	-4.007984e+001
2.398357e+001	-6.015081e+001
2.418533e+001	-6.277157e+001
2.485277e+001	-3.659786e+001
2.487107e+001	-5.056201e+001
2.472006e+001	-7.499577e+001
2.473838e+001	-8.895904e+001
2.530703e+001	-6.889391e+001
2.541000e+001	-7.762239e+001
2.527310e+001	-1.011841e+002
2.555953e+001	-9.856920e+001
2.604351e+001	-8.373887e+001
2.609006e+001	-9.595721e+001
2.609426e+001	-1.107934e+002
2.622546e+001	-1.177769e+002
2.668123e+001	-1.046915e+002
2.681244e+001	-1.116742e+002
2.711298e+001	-1.081873e+002
2.713130e+001	-1.221505e+002
2.744594e+001	-1.177916e+002
2.795814e+001	-1.012163e+002
2.768013e+001	-1.335027e+002
2.796656e+001	-1.308878e+002
2.815420e+001	-1.343815e+002
2.852531e+001	-1.265309e+002
2.882585e+001	-1.230439e+002
2.866071e+001	-1.483506e+002
2.913059e+001	-1.343931e+002
2.913479e+001	-1.492294e+002
2.923778e+001	-1.579569e+002
2.962298e+001	-1.492352e+002
2.983885e+001	-1.509830e+002
3.042162e+001	-1.300450e+002
3.065161e+001	-1.309200e+002
3.066992e+001	-1.448841e+002
3.121036e+001	-1.265630e+002
3.216001e+001	-8.293909e+001
3.279921e+001	-5.851120e+001
3.285986e+001	-6.985750e+001
3.280762e+001	-8.818356e+001
3.279772e+001	-1.038918e+002
3.325347e+001	-9.080725e+001
3.346935e+001	-9.255510e+001
3.434845e+001	-5.329395e+001
3.442322e+001	-6.376647e+001
3.456853e+001	-6.987799e+001
3.464329e+001	-8.035140e+001
3.511317e+001	-6.639308e+001
3.518793e+001	-7.686649e+001
3.567192e+001	-6.203616e+001
3.608535e+001	-5.156860e+001
3.661166e+001	-3.412131e+001
3.647476e+001	-5.768216e+001
3.656362e+001	-6.728355e+001
3.594694e+001	-1.205109e+002
3.684014e+001	-8.037773e+001
3.757814e+001	-4.984123e+001
3.793511e+001	-4.286441e+001
3.809455e+001	-4.810214e+001
3.763309e+001	-9.173193e+001
3.765141e+001	-1.056952e+002
3.822005e+001	-8.563007e+001
3.819604e+001	-1.022112e+002
3.831314e+001	-1.100667e+002
3.895234e+001	-8.563885e+001
3.913999e+001	-8.913164e+001
3.897486e+001	-1.144383e+002
3.904962e+001	-1.249117e+002
3.940660e+001	-1.179349e+002
4.034215e+001	-7.518300e+001
4.044513e+001	-8.391146e+001
4.075978e+001	-7.955162e+001
4.045354e+001	-1.135838e+002
4.069763e+001	-1.135868e+002
4.046196e+001	-1.432553e+002
4.079071e+001	-1.380234e+002
4.117592e+001	-1.293008e+002
4.105313e+001	-1.519896e+002
4.221445e+001	-9.527738e+001
4.269842e+001	-8.044793e+001
4.323887e+001	-6.212685e+001
4.334185e+001	-7.085532e+001
4.374116e+001	-6.126067e+001
4.404171e+001	-5.777285e+001
4.398946e+001	-7.609979e+001
4.403600e+001	-8.831812e+001
4.425187e+001	-9.006599e+001
4.436897e+001	-9.792155e+001
4.444373e+001	-1.083950e+002
4.529461e+001	-7.087873e+001
4.512948e+001	-9.618540e+001
4.510546e+001	-1.127665e+002
4.556123e+001	-9.968110e+001
4.574887e+001	-1.031748e+002
4.628931e+001	-8.485369e+001
4.639229e+001	-9.358218e+001
4.701738e+001	-7.002719e+001
4.672525e+001	-1.031865e+002
4.646134e+001	-1.346009e+002
4.718522e+001	-1.049373e+002
4.762687e+001	-9.272478e+001
4.778630e+001	-9.796251e+001
4.804451e+001	-9.709341e+001
4.818982e+001	-1.032040e+002
4.836336e+001	-1.075697e+002
4.839580e+001	-1.206601e+002
4.913378e+001	-9.012448e+001
4.992821e+001	-5.609813e+001
5.024287e+001	-5.173828e+001
5.059984e+001	-4.476148e+001
5.105561e+001	-3.167608e+001
5.151137e+001	-1.859068e+001
5.116279e+001	-5.524073e+001
5.116700e+001	-7.007692e+001
5.213077e+001	-2.558007e+001
5.158464e+001	-7.444465e+001
5.192751e+001	-6.833987e+001
5.188938e+001	-8.579389e+001
5.227459e+001	-7.707127e+001
5.271624e+001	-6.485879e+001
5.311555e+001	-5.526413e+001
5.372654e+001	-3.258116e+001
5.360375e+001	-5.526998e+001
5.365029e+001	-6.748832e+001
5.400727e+001	-6.051064e+001
5.420903e+001	-6.313140e+001
5.449547e+001	-6.051648e+001
5.514879e+001	-3.521567e+001
5.496954e+001	-6.139525e+001
5.545353e+001	-4.656492e+001
5.557062e+001	-5.442048e+001
5.578650e+001	-5.616834e+001
5.570603e+001	-7.624021e+001
5.593602e+001	-7.711515e+001
5.632123e+001	-6.839252e+001
5.691810e+001	-4.658246e+001
5.695052e+001	-5.967371e+001
5.682773e+001	-8.236253e+001
5.717060e+001	-7.625776e+001
5.742881e+001	-7.538777e+001
