    nm         	nN
0.000000e+000	-8.150219e+000
4.653553e-002	-8.162438e+000
7.897986e-002	-8.175528e+000
9.728993e-002	-8.189492e+000
1.720653e-001	-8.199964e+000
1.903897e-001	-8.213927e+000
2.228197e-001	-8.227018e+000
2.129186e-001	-8.242727e+000
2.735741e-001	-8.254072e+000
2.495531e-001	-8.270653e+000
2.255322e-001	-8.287235e+000
2.297367e-001	-8.302071e+000
2.198357e-001	-8.317779e+000
2.804911e-001	-8.329125e+000
3.552665e-001	-8.339597e+000
3.877108e-001	-8.352687e+000
2.789991e-001	-8.374506e+000
3.114290e-001	-8.387596e+000
3.438734e-001	-8.400686e+000
3.339580e-001	-8.416396e+000
3.099370e-001	-8.432977e+000
3.423670e-001	-8.446068e+000
3.606914e-001	-8.460031e+000
4.354668e-001	-8.470503e+000
4.396713e-001	-8.485340e+000
4.438758e-001	-8.500176e+000
4.622003e-001	-8.514139e+000
4.664047e-001	-8.528975e+000
5.553000e-001	-8.538574e+000
5.171591e-001	-8.556029e+000
4.931382e-001	-8.572610e+000
5.396881e-001	-8.584828e+000
6.285690e-001	-8.594428e+000
6.751189e-001	-8.606646e+000
6.369924e-001	-8.624100e+000
5.988515e-001	-8.641554e+000
6.171760e-001	-8.655517e+000
6.213804e-001	-8.670353e+000
6.961558e-001	-8.680826e+000
6.721348e-001	-8.697407e+000
6.904449e-001	-8.711371e+000
7.793402e-001	-8.720971e+000
8.117702e-001	-8.734061e+000
8.442145e-001	-8.747151e+000
9.048700e-001	-8.758497e+000
8.949689e-001	-8.774205e+000
9.273989e-001	-8.787296e+000
9.739488e-001	-8.799514e+000
9.922588e-001	-8.813478e+000
9.682379e-001	-8.830059e+000
1.000682e+000	-8.843149e+000
1.061338e+000	-8.854495e+000
1.107888e+000	-8.866713e+000
1.126212e+000	-8.880676e+000
1.059846e+000	-8.899876e+000
1.021705e+000	-8.917330e+000
1.068255e+000	-8.929548e+000
1.255946e+000	-8.933038e+000
1.302496e+000	-8.945256e+000
1.349032e+000	-8.957475e+000
1.339131e+000	-8.973183e+000
1.413906e+000	-8.983656e+000
1.389885e+000	-9.000237e+000
1.436435e+000	-9.012455e+000
1.497090e+000	-9.023800e+000
1.642437e+000	-9.029909e+000
1.646641e+000	-9.044745e+000
1.664965e+000	-9.058708e+000
1.640944e+000	-9.075290e+000
1.602804e+000	-9.092744e+000
1.705804e+000	-9.101472e+000
1.738249e+000	-9.114562e+000
1.671883e+000	-9.133761e+000
1.774883e+000	-9.142489e+000
1.962575e+000	-9.145979e+000
1.980885e+000	-9.159943e+000
2.083900e+000	-9.168669e+000
2.158675e+000	-9.179142e+000
2.049964e+000	-9.200960e+000
2.392903e+000	-9.194851e+000
2.905209e+000	-9.178270e+000
4.532513e+000	-9.092744e+000
6.484447e+000	-8.987146e+000
7.857694e+000	-8.917330e+000
8.087731e+000	-8.918202e+000
8.345979e+000	-8.917330e+000
9.267590e+000	-8.875440e+000
9.892813e+000	-8.851877e+000
9.784101e+000	-8.873695e+000
1.049400e+001	-8.844895e+000
1.055467e+001	-8.856240e+000
1.088349e+001	-8.851004e+000
1.125467e+001	-8.843149e+000
1.148469e+001	-8.844022e+000
1.158769e+001	-8.852750e+000
1.147899e+001	-8.874567e+000
1.158199e+001	-8.883294e+000
1.196728e+001	-8.874567e+000
1.271952e+001	-8.843149e+000
1.251201e+001	-8.871076e+000
1.258679e+001	-8.881549e+000
1.338138e+001	-8.847513e+000
1.371020e+001	-8.842277e+000
