    nm         	pN
0.000000e+000	6.061622e+002
1.029676e-001	5.974329e+002
1.495022e-001	5.852142e+002
1.819214e-001	5.721226e+002
3.554374e-001	5.677556e+002
4.160866e-001	5.564096e+002
4.061756e-001	5.407007e+002
3.821619e-001	5.241197e+002
4.286965e-001	5.119010e+002
4.893322e-001	5.005542e+002
5.358668e-001	4.883354e+002
5.541850e-001	4.743720e+002
5.301721e-001	4.577911e+002
6.613562e-001	4.508065e+002
6.937897e-001	4.377159e+002
6.979924e-001	4.228796e+002
7.162971e-001	4.089153e+002
7.487307e-001	3.958247e+002
7.247174e-001	3.792438e+002
8.135695e-001	3.696417e+002
8.459888e-001	3.565502e+002
8.502063e-001	3.417148e+002
8.967265e-001	3.294952e+002
8.727137e-001	3.129143e+002
8.910322e-001	2.989509e+002
9.234515e-001	2.858594e+002
9.841015e-001	2.745134e+002
1.129401e+000	2.684016e+002
1.218252e+000	2.587995e+002
1.166023e+000	2.404739e+002
1.184342e+000	2.265105e+002
1.230876e+000	2.142918e+002
1.249180e+000	2.003274e+002
1.366263e+000	1.924709e+002
1.314034e+000	1.741453e+002
1.304121e+000	1.584363e+002
1.463535e+000	1.531973e+002
1.594719e+000	1.462126e+002
1.542490e+000	1.278870e+002
1.476145e+000	1.086886e+002
1.550896e+000	9.821460e+001
1.710310e+000	9.297557e+001
1.813278e+000	8.424626e+001
1.746933e+000	6.504784e+001
1.708805e+000	4.759413e+001
1.882334e+000	4.322790e+001
2.041734e+000	3.798799e+001
2.088268e+000	2.576927e+001
2.219452e+000	1.878465e+001
2.167222e+000	4.590319e-001
2.185541e+000	-1.350438e+001
2.246177e+000	-2.485119e+001
2.236279e+000	-4.055931e+001
2.254583e+000	-5.452362e+001
2.174137e+000	-7.459394e+001
2.347653e+000	-7.896107e+001
2.507067e+000	-8.420008e+001
2.497155e+000	-9.990909e+001
2.515473e+000	-1.138725e+002
2.505561e+000	-1.295815e+002
2.552096e+000	-1.418003e+002
2.894922e+000	-1.356983e+002
2.786261e+000	-1.575133e+002
2.776349e+000	-1.732223e+002
2.836999e+000	-1.845682e+002
3.250373e+000	-1.741041e+002
3.649633e+000	-1.645127e+002
3.752600e+000	-1.732420e+002
4.518714e+000	-1.409668e+002
5.849197e+000	-7.379491e+001
5.825184e+000	-9.037584e+001
6.238559e+000	-7.991165e+001
6.383843e+000	-8.602436e+001
6.472710e+000	-9.562557e+001
6.928416e+000	-8.254390e+001
7.031383e+000	-9.127322e+001
7.106134e+000	-1.017472e+002
7.166770e+000	-1.130940e+002
7.269751e+000	-1.218225e+002
7.302171e+000	-1.349140e+002
7.503903e+000	-1.375364e+002
7.832629e+000	-1.323063e+002
7.822717e+000	-1.480153e+002
7.968016e+000	-1.541272e+002
7.972218e+000	-1.689634e+002
8.202180e+000	-1.698402e+002
8.291033e+000	-1.794423e+002
8.238803e+000	-1.977679e+002
8.426433e+000	-2.012623e+002
8.811592e+000	-1.925428e+002
8.731132e+000	-2.126140e+002
8.932863e+000	-2.152364e+002
9.261590e+000	-2.100063e+002
9.562084e+000	-2.065218e+002
9.904912e+000	-2.004198e+002
9.937345e+000	-2.135105e+002
1.012496e+001	-2.170057e+002
9.988084e+000	-2.405654e+002
1.044378e+001	-2.274846e+002
1.026457e+001	-2.536618e+002
1.029699e+001	-2.667533e+002
1.073858e+001	-2.545445e+002
1.061580e+001	-2.772323e+002
1.062000e+001	-2.920685e+002
1.099105e+001	-2.842218e+002
1.126334e+001	-2.824811e+002
1.187424e+001	-2.598032e+002
1.290842e+001	-2.109529e+002
