    nm         	pN
0.000000e+000	5.301208e+002
1.170848e-001	5.222645e+002
1.495049e-001	5.091730e+002
2.242587e-001	4.986991e+002
2.002449e-001	4.821182e+002
1.903466e-001	4.664100e+002
3.074323e-001	4.585537e+002
3.821857e-001	4.480798e+002
3.722730e-001	4.323708e+002
3.482596e-001	4.157898e+002
4.230117e-001	4.053159e+002
5.683147e-001	3.992043e+002
6.430681e-001	3.887305e+002
6.190539e-001	3.721495e+002
6.091556e-001	3.564413e+002
6.839089e-001	3.459674e+002
7.445459e-001	3.346207e+002
7.487491e-001	3.197845e+002
7.388512e-001	3.040764e+002
7.148375e-001	2.874954e+002
8.319088e-001	2.796382e+002
8.361120e-001	2.648020e+002
8.120982e-001	2.482210e+002
8.022003e-001	2.325129e+002
8.769532e-001	2.220390e+002
1.008140e+000	2.150546e+002
1.040574e+000	2.019640e+002
9.742284e-001	1.827655e+002
1.048981e+000	1.722916e+002
1.123735e+000	1.618177e+002
1.283138e+000	1.565781e+002
1.273240e+000	1.408699e+002
1.277443e+000	1.260337e+002
1.267545e+000	1.103256e+002
1.384617e+000	1.024683e+002
1.417051e+000	8.937777e+001
1.364806e+000	7.105116e+001
1.312576e+000	5.272547e+001
1.359111e+000	4.050683e+001
1.462082e+000	3.177767e+001
1.480400e+000	1.781428e+001
1.428169e+000	-5.114189e-001
1.559356e+000	-7.495812e+000
1.577675e+000	-2.145921e+001
1.624212e+000	-3.367785e+001
1.614299e+000	-4.938689e+001
1.731385e+000	-5.724321e+001
1.735587e+000	-7.207943e+001
1.937324e+000	-7.470152e+001
1.997976e+000	-8.604734e+001
1.973962e+000	-1.026283e+002
1.978166e+000	-1.174645e+002
2.024702e+000	-1.296832e+002
2.043006e+000	-1.436474e+002
2.018993e+000	-1.602284e+002
1.980877e+000	-1.776813e+002
2.055631e+000	-1.881552e+002
2.200918e+000	-1.942676e+002
2.430886e+000	-1.951441e+002
2.943039e+000	-1.785722e+002
3.553958e+000	-1.558932e+002
4.080226e+000	-1.384485e+002
4.154979e+000	-1.489224e+002
4.116849e+000	-1.663762e+002
4.544350e+000	-1.550385e+002
4.816637e+000	-1.532983e+002
5.117140e+000	-1.498133e+002
5.488194e+000	-1.419660e+002
5.520628e+000	-1.550566e+002
5.863464e+000	-1.489541e+002
5.980535e+000	-1.568113e+002
5.984754e+000	-1.716466e+002
6.313473e+000	-1.664169e+002
6.430559e+000	-1.742732e+002
6.533528e+000	-1.830024e+002
6.862263e+000	-1.777718e+002
6.951118e+000	-1.873737e+002
7.011769e+000	-1.987196e+002
7.030073e+000	-2.126838e+002
7.118943e+000	-2.222849e+002
7.221913e+000	-2.310141e+002
7.254333e+000	-2.441055e+002
7.512519e+000	-2.432372e+002
7.671922e+000	-2.484769e+002
7.676140e+000	-2.633122e+002
7.835544e+000	-2.685519e+002
7.740980e+000	-2.894951e+002
7.843950e+000	-2.982243e+002
8.045687e+000	-3.008464e+002
7.937022e+000	-3.226616e+002
7.969442e+000	-3.357530e+002
8.114744e+000	-3.418646e+002
8.147166e+000	-3.549561e+002
8.221917e+000	-3.654300e+002
8.296671e+000	-3.759039e+002
8.371424e+000	-3.863778e+002
8.333307e+000	-4.038307e+002
8.309295e+000	-4.204116e+002
8.327600e+000	-4.343759e+002
8.402352e+000	-4.448498e+002
9.295470e+000	-4.047216e+002
9.567755e+000	-4.029814e+002
9.628407e+000	-4.143272e+002
9.872478e+000	-4.143317e+002
9.834348e+000	-4.317855e+002
9.810334e+000	-4.483664e+002
9.941536e+000	-4.553500e+002
9.988057e+000	-4.675695e+002
1.010514e+001	-4.754258e+002
1.020811e+001	-4.841550e+002
1.096013e+001	-4.527514e+002
1.408258e+001	-2.747766e+002
1.456651e+001	-2.599494e+002
1.485292e+001	-2.573363e+002
1.491355e+001	-2.686831e+002
1.504474e+001	-2.756675e+002
1.509128e+001	-2.878861e+002
1.518015e+001	-2.974872e+002
1.529723e+001	-3.053435e+002
1.537198e+001	-3.158174e+002
1.546084e+001	-3.254194e+002
1.546504e+001	-3.402556e+002
1.561034e+001	-3.463672e+002
1.561455e+001	-3.612034e+002
1.571753e+001	-3.699316e+002
1.582050e+001	-3.786608e+002
1.596580e+001	-3.847724e+002
1.608288e+001	-3.926296e+002
1.614353e+001	-4.039755e+002
1.620416e+001	-4.153222e+002
1.633536e+001	-4.223057e+002
1.643834e+001	-4.310348e+002
1.648487e+001	-4.432535e+002
1.687003e+001	-4.345342e+002
2.028877e+001	-2.382383e+002
2.281862e+001	-9.690582e+001
2.366941e+001	-5.939516e+001
2.399813e+001	-5.416545e+001
2.438329e+001	-4.544535e+001
2.450038e+001	-5.330168e+001
2.464568e+001	-5.941325e+001
2.497440e+001	-5.418354e+001
2.479519e+001	-8.036105e+001
2.523679e+001	-6.815145e+001
2.532565e+001	-7.775342e+001
2.569671e+001	-6.990526e+001
2.570092e+001	-8.474146e+001
2.629772e+001	-6.293531e+001
2.651357e+001	-6.468459e+001
2.691286e+001	-5.509166e+001
2.712869e+001	-5.684183e+001
2.737276e+001	-5.684634e+001
2.756040e+001	-6.034037e+001
2.736707e+001	-8.739070e+001
2.769580e+001	-8.216010e+001
2.796809e+001	-8.041987e+001
2.802873e+001	-9.176658e+001
2.835746e+001	-8.653598e+001
2.864385e+001	-8.392382e+001
2.898669e+001	-7.782130e+001
2.918844e+001	-8.044250e+001
2.940429e+001	-8.219176e+001
2.950726e+001	-9.092092e+001
2.987831e+001	-8.307363e+001
3.009416e+001	-8.482291e+001
3.076152e+001	-5.865444e+001
3.080805e+001	-7.087309e+001
3.078404e+001	-8.745404e+001
3.169126e+001	-4.645389e+001
3.197766e+001	-4.384086e+001
3.162913e+001	-8.048773e+001
3.197196e+001	-7.438520e+001
3.215959e+001	-7.788011e+001
3.257297e+001	-6.741526e+001
3.280294e+001	-6.829171e+001
3.258139e+001	-9.708679e+001
3.312176e+001	-7.877014e+001
3.354925e+001	-6.743336e+001
3.355347e+001	-8.226868e+001
3.396684e+001	-7.180471e+001
3.392872e+001	-8.925762e+001
3.396114e+001	-1.023491e+002
3.416288e+001	-1.049712e+002
3.436463e+001	-1.075924e+002
3.470747e+001	-1.014898e+002
3.505030e+001	-9.538729e+001
3.505451e+001	-1.102235e+002
3.521391e+001	-1.154632e+002
3.550031e+001	-1.128501e+002
3.601247e+001	-9.627820e+001
3.629887e+001	-9.366517e+001
