    nm         	nN
0.000000e+000	-1.367010e+001
6.065544e-002	-1.368144e+001
6.485995e-002	-1.369628e+001
1.255298e-001	-1.370762e+001
1.720796e-001	-1.371984e+001
2.891860e-001	-1.372770e+001
2.792850e-001	-1.374340e+001
2.693696e-001	-1.375911e+001
2.735741e-001	-1.377395e+001
2.213277e-001	-1.379228e+001
2.961030e-001	-1.380275e+001
3.285474e-001	-1.381584e+001
3.468574e-001	-1.382980e+001
3.934073e-001	-1.384202e+001
4.258373e-001	-1.385511e+001
3.877108e-001	-1.387257e+001
4.624861e-001	-1.388304e+001
4.243453e-001	-1.390049e+001
4.991206e-001	-1.391096e+001
5.174450e-001	-1.392493e+001
5.922204e-001	-1.393540e+001
6.246504e-001	-1.394849e+001
6.006294e-001	-1.396507e+001
6.754048e-001	-1.397555e+001
6.796093e-001	-1.399038e+001
7.543846e-001	-1.400085e+001
8.150544e-001	-1.401220e+001
8.333645e-001	-1.402616e+001
8.940343e-001	-1.403751e+001
8.135481e-001	-1.405758e+001
9.024433e-001	-1.406718e+001
9.630987e-001	-1.407853e+001
1.037874e+000	-1.408900e+001
1.098544e+000	-1.410034e+001
1.116868e+000	-1.411431e+001
1.177524e+000	-1.412565e+001
1.238179e+000	-1.413700e+001
1.298849e+000	-1.414834e+001
1.317173e+000	-1.416230e+001
1.363709e+000	-1.417452e+001
1.396153e+000	-1.418761e+001
1.428583e+000	-1.420070e+001
1.432788e+000	-1.421554e+001
1.535789e+000	-1.422427e+001
1.610564e+000	-1.423474e+001
1.699459e+000	-1.424434e+001
1.746009e+000	-1.425656e+001
1.820784e+000	-1.426703e+001
1.796764e+000	-1.428361e+001
1.913870e+000	-1.429147e+001
2.002765e+000	-1.430107e+001
1.992864e+000	-1.431677e+001
2.152316e+000	-1.432201e+001
2.184746e+000	-1.433510e+001
2.217190e+000	-1.434819e+001
2.207275e+000	-1.436390e+001
2.267944e+000	-1.437524e+001
2.314480e+000	-1.438746e+001
2.361030e+000	-1.439968e+001
2.449925e+000	-1.440928e+001
2.510581e+000	-1.442063e+001
2.557131e+000	-1.443284e+001
2.646026e+000	-1.444244e+001
2.805478e+000	-1.444768e+001
2.781457e+000	-1.446426e+001
2.842126e+000	-1.447561e+001
2.846331e+000	-1.449044e+001
2.963452e+000	-1.449830e+001
3.122903e+000	-1.450353e+001
3.352926e+000	-1.450441e+001
4.881435e+000	-1.442499e+001
5.845391e+000	-1.438048e+001
