    nm         	pN
0.000000e+000	6.090474e+002
8.889078e-002	5.994477e+002
1.072008e-001	5.854837e+002
1.396434e-001	5.723936e+002
2.708777e-001	5.654122e+002
4.726667e-001	5.627933e+002
5.192139e-001	5.505754e+002
5.234185e-001	5.357392e+002
5.840721e-001	5.243935e+002
6.588574e-001	5.139216e+002
7.053767e-001	5.017020e+002
8.084017e-001	4.929762e+002
7.984729e-001	4.772662e+002
8.450206e-001	4.650482e+002
9.339117e-001	4.554486e+002
1.093356e+000	4.502114e+002
1.125799e+000	4.371214e+002
1.101765e+000	4.205392e+002
1.176551e+000	4.100673e+002
1.279548e+000	4.013398e+002
1.326096e+000	3.891219e+002
1.287957e+000	3.716675e+002
1.292161e+000	3.568314e+002
1.465739e+000	3.524682e+002
1.512287e+000	3.402503e+002
1.558835e+000	3.280324e+002
1.577145e+000	3.140684e+002
1.609587e+000	3.009783e+002
1.769032e+000	2.957412e+002
1.886133e+000	2.878858e+002
1.946786e+000	2.765400e+002
2.007467e+000	2.651961e+002
2.096330e+000	2.555946e+002
2.185222e+000	2.459949e+002
2.288218e+000	2.372674e+002
2.221869e+000	2.180688e+002
2.240178e+000	2.041048e+002
2.202039e+000	1.866504e+002
2.389722e+000	1.831593e+002
2.520957e+000	1.761779e+002
2.553400e+000	1.630878e+002
2.585815e+000	1.499960e+002
2.590019e+000	1.351599e+002
2.622462e+000	1.220698e+002
2.669010e+000	1.098519e+002
2.814349e+000	1.037426e+002
2.973794e+000	9.850547e+001
3.090895e+000	9.065010e+001
3.137443e+000	7.843219e+001
3.240440e+000	6.970467e+001
3.329331e+000	6.010500e+001
3.404117e+000	4.963317e+001
3.408322e+000	3.479703e+001
3.412526e+000	1.996089e+001
3.487284e+000	9.487290e+000
3.604414e+000	1.633704e+000
3.650962e+000	-1.058419e+001
3.697510e+000	-2.280211e+001
3.729923e+000	-3.589394e+001
3.861159e+000	-4.287537e+001
3.964155e+000	-5.160289e+001
3.897806e+000	-7.080157e+001
4.014907e+000	-7.865694e+001
4.160247e+000	-8.476624e+001
4.235005e+000	-9.523984e+001
4.211000e+000	-1.118203e+002
4.271652e+000	-1.231660e+002
4.318200e+000	-1.353840e+002
4.364747e+000	-1.476019e+002
4.467744e+000	-1.563294e+002
4.598979e+000	-1.633108e+002
4.687871e+000	-1.729105e+002
4.692075e+000	-1.877466e+002
4.766833e+000	-1.982202e+002
4.898068e+000	-2.052017e+002
5.226886e+000	-1.999658e+002
5.428675e+000	-2.025848e+002
5.630463e+000	-2.052036e+002
5.592324e+000	-2.226580e+002
5.765902e+000	-2.270212e+002
5.995900e+000	-2.278958e+002
6.028343e+000	-2.409859e+002
6.046653e+000	-2.549499e+002
6.079095e+000	-2.680399e+002
6.323227e+000	-2.680406e+002
6.045161e+000	-3.003305e+002
7.220763e+000	-2.427353e+002
7.972989e+000	-2.113189e+002
8.979218e+000	-1.641966e+002
1.014072e+001	-1.074736e+002
1.072357e+001	-8.653012e+001
1.119352e+001	-7.256745e+001
1.181872e+001	-4.900575e+001
1.183703e+001	-6.296975e+001
1.223640e+001	-5.337140e+001
1.253701e+001	-4.987989e+001
1.279524e+001	-4.900839e+001
1.316638e+001	-4.115612e+001
1.341051e+001	-4.115679e+001
1.388046e+001	-2.719412e+001
1.377177e+001	-4.901104e+001
1.424173e+001	-3.504837e+001
1.438704e+001	-4.115943e+001
1.474409e+001	-3.417754e+001
1.505878e+001	-2.981565e+001
1.540170e+001	-2.370768e+001
1.551883e+001	-3.156128e+001
1.532545e+001	-5.861466e+001
1.596475e+001	-3.418082e+001
1.623710e+001	-3.243718e+001
1.636833e+001	-3.941862e+001
1.662657e+001	-3.854712e+001
1.709652e+001	-2.458445e+001
1.729831e+001	-2.720334e+001
1.723196e+001	-4.640203e+001
1.744785e+001	-4.814877e+001
1.800250e+001	-2.894963e+001
1.826073e+001	-2.807814e+001
1.809556e+001	-5.338722e+001
1.846673e+001	-4.553318e+001
1.899313e+001	-2.808011e+001
1.889854e+001	-4.902488e+001
1.928381e+001	-4.029868e+001
1.925977e+001	-5.688091e+001
1.961683e+001	-4.989901e+001
1.983272e+001	-5.164576e+001
2.002041e+001	-5.513680e+001
2.020809e+001	-5.862785e+001
2.019816e+001	-7.433792e+001
2.072456e+001	-5.688487e+001
2.122273e+001	-4.117788e+001
2.145275e+001	-4.205070e+001
2.131582e+001	-6.561371e+001
2.181402e+001	-4.990495e+001
2.183233e+001	-6.386894e+001
2.206235e+001	-6.474176e+001
2.230648e+001	-6.474241e+001
2.273407e+001	-5.339975e+001
2.266772e+001	-7.259843e+001
2.318002e+001	-5.601753e+001
2.329712e+001	-6.387290e+001
2.345656e+001	-6.911002e+001
2.344666e+001	-8.481833e+001
2.350731e+001	-9.616408e+001
2.365265e+001	-1.022734e+002
2.410850e+001	-8.918284e+001
2.432440e+001	-9.092959e+001
2.439915e+001	-1.014032e+002
2.475621e+001	-9.442130e+001
2.501445e+001	-9.354980e+001
2.487752e+001	-1.171128e+002
2.536158e+001	-1.022780e+002
2.554926e+001	-1.057690e+002
2.563815e+001	-1.153687e+002
2.630569e+001	-8.918878e+001
2.688851e+001	-6.824710e+001
2.701975e+001	-7.522854e+001
2.726388e+001	-7.522920e+001
2.745156e+001	-7.872025e+001
2.731463e+001	-1.022832e+002
2.782693e+001	-8.570234e+001
2.794403e+001	-9.355771e+001
2.806113e+001	-1.014131e+002
2.850288e+001	-8.919472e+001
2.853529e+001	-1.022865e+002
2.877942e+001	-1.022872e+002
2.903766e+001	-1.014157e+002
2.933827e+001	-9.792421e+001
2.928599e+001	-1.162525e+002
2.965716e+001	-1.083985e+002
2.959081e+001	-1.275972e+002
2.990549e+001	-1.232353e+002
2.993794e+001	-1.363253e+002
3.011149e+001	-1.406903e+002
3.044030e+001	-1.354545e+002
3.076912e+001	-1.302187e+002
3.050516e+001	-1.616364e+002
3.107391e+001	-1.415651e+002
3.168500e+001	-1.188756e+002
3.252188e+001	-8.222448e+001
3.300594e+001	-6.738966e+001
3.320773e+001	-7.000855e+001
3.325428e+001	-8.222646e+001
3.344196e+001	-8.571751e+001
3.368609e+001	-8.571818e+001
3.384554e+001	-9.095530e+001
3.451308e+001	-6.477538e+001
3.479955e+001	-6.215781e+001
3.494486e+001	-6.826886e+001
3.531602e+001	-6.041483e+001
3.512265e+001	-8.746821e+001
3.559260e+001	-7.350553e+001
3.570970e+001	-8.136090e+001
3.605263e+001	-7.525294e+001
3.669192e+001	-5.081910e+001
3.693605e+001	-5.081977e+001
3.691205e+001	-6.740022e+001
3.719853e+001	-6.478264e+001
3.708981e+001	-8.660134e+001
3.726338e+001	-9.096453e+001
3.749341e+001	-9.183734e+001
3.775165e+001	-9.096585e+001
3.832039e+001	-7.089455e+001
3.821167e+001	-9.271325e+001
3.838525e+001	-9.707646e+001
3.865759e+001	-9.533281e+001
3.892996e+001	-9.358738e+001
3.901885e+001	-1.031871e+002
3.902306e+001	-1.180232e+002
3.977526e+001	-8.660858e+001
4.017465e+001	-7.700846e+001
4.037644e+001	-7.962735e+001
4.042299e+001	-9.184525e+001
4.065299e+001	-9.271985e+001
4.088302e+001	-9.359265e+001
4.116949e+001	-9.097509e+001
4.149831e+001	-8.573927e+001
4.160131e+001	-9.446679e+001
4.143614e+001	-1.197759e+002
4.145447e+001	-1.337381e+002
4.176916e+001	-1.293762e+002
4.177337e+001	-1.442124e+002
4.237032e+001	-1.223968e+002
4.238866e+001	-1.363590e+002
4.257634e+001	-1.398500e+002
4.277813e+001	-1.424689e+002
4.309281e+001	-1.381070e+002
4.319581e+001	-1.468345e+002
4.327060e+001	-1.573064e+002
4.355707e+001	-1.546888e+002
4.399879e+001	-1.424722e+002
4.387596e+001	-1.651630e+002
4.426123e+001	-1.564368e+002
4.426543e+001	-1.712730e+002
4.456601e+001	-1.677833e+002
4.461256e+001	-1.800012e+002
4.501194e+001	-1.704028e+002
4.504438e+001	-1.834929e+002
4.530262e+001	-1.826214e+002
4.541975e+001	-1.904750e+002
