    nm         	pN
0.000000e+000	6.132333e+002
1.453561e-001	6.071250e+002
1.636679e-001	5.931612e+002
2.102214e-001	5.809436e+002
3.414710e-001	5.739631e+002
3.597820e-001	5.599992e+002
3.781217e-001	5.460371e+002
4.528889e-001	5.355641e+002
5.700321e-001	5.277113e+002
6.165569e-001	5.154920e+002
7.195936e-001	5.067670e+002
7.661183e-001	4.945476e+002
9.397160e-001	4.901856e+002
9.721630e-001	4.770958e+002
9.340200e-001	4.596412e+002
9.946799e-001	4.482959e+002
1.083581e+000	4.386968e+002
1.101893e+000	4.247330e+002
1.233142e+000	4.177524e+002
1.223241e+000	4.020441e+002
1.340355e+000	3.941895e+002
1.358667e+000	3.802257e+002
1.405220e+000	3.680081e+002
1.465880e+000	3.566628e+002
1.498326e+000	3.435729e+002
1.629576e+000	3.365924e+002
1.732585e+000	3.278657e+002
1.835592e+000	3.191389e+002
1.924494e+000	3.095398e+002
1.942805e+000	2.955760e+002
2.045814e+000	2.868492e+002
2.106474e+000	2.755039e+002
2.237723e+000	2.685233e+002
2.256035e+000	2.545595e+002
2.359072e+000	2.458345e+002
2.419732e+000	2.344892e+002
2.438043e+000	2.205253e+002
2.569293e+000	2.135448e+002
2.587604e+000	1.995809e+002
2.563596e+000	1.830003e+002
2.680711e+000	1.751458e+002
2.755477e+000	1.646727e+002
2.773817e+000	1.507106e+002
2.890932e+000	1.428561e+002
2.979834e+000	1.332571e+002
3.082842e+000	1.245303e+002
3.185850e+000	1.158035e+002
3.274751e+000	1.062045e+002
3.236608e+000	8.874980e+001
3.156116e+000	6.867661e+001
3.301472e+000	6.256836e+001
3.446829e+000	5.646011e+001
3.436927e+000	4.075174e+001
3.511722e+000	3.028046e+001
3.727640e+000	2.853524e+001
3.844756e+000	2.068071e+001
3.905444e+000	9.337173e+000
3.923755e+000	-4.626673e+000
3.984415e+000	-1.597200e+001
4.087423e+000	-2.469878e+001
4.218673e+000	-3.167929e+001
4.378136e+000	-3.691528e+001
4.523493e+000	-4.302353e+001
4.584153e+000	-5.436886e+001
4.658948e+000	-6.484015e+001
4.931349e+000	-6.309279e+001
4.893206e+000	-8.054744e+001
5.236169e+000	-7.443704e+001
5.437981e+000	-7.705449e+001
5.710354e+000	-7.530892e+001
5.785148e+000	-8.578020e+001
5.944612e+000	-9.101621e+001
6.174665e+000	-9.188737e+001
6.334128e+000	-9.712339e+001
6.465378e+000	-1.041039e+002
6.765993e+000	-1.006120e+002
6.643152e+000	-1.233037e+002
6.915554e+000	-1.215564e+002
7.202063e+000	-1.189368e+002
7.347419e+000	-1.250450e+002
7.549231e+000	-1.276625e+002
7.652239e+000	-1.363893e+002
7.966990e+000	-1.320234e+002
9.142727e+000	-7.441980e+001
9.824449e+000	-4.736288e+001
1.019563e+001	-3.950797e+001
1.038333e+001	-4.299769e+001
1.083923e+001	-2.990392e+001
1.126686e+001	-1.855823e+001
1.134166e+001	-2.902951e+001
1.121882e+001	-5.172123e+001
1.137831e+001	-5.695546e+001
1.165068e+001	-5.520987e+001
1.219125e+001	-3.688082e+001
1.219546e+001	-5.171694e+001
1.267957e+001	-3.687866e+001
1.276847e+001	-4.647770e+001
1.316789e+001	-3.687651e+001
1.332739e+001	-4.211073e+001
1.330335e+001	-5.869313e+001
1.382981e+001	-4.123632e+001
1.401752e+001	-4.472603e+001
1.461454e+001	-2.290619e+001
1.468931e+001	-3.337925e+001
1.466530e+001	-4.995988e+001
1.502237e+001	-4.297722e+001
1.502657e+001	-5.781333e+001
1.518607e+001	-6.304755e+001
1.550079e+001	-5.868343e+001
1.567438e+001	-6.304540e+001
1.598911e+001	-5.868128e+001
1.613446e+001	-6.478952e+001
1.646332e+001	-5.955137e+001
1.652398e+001	-7.089669e+001
1.658464e+001	-8.224202e+001
1.691350e+001	-7.700387e+001
1.715766e+001	-7.700279e+001
1.721832e+001	-8.834811e+001
1.757538e+001	-8.136546e+001
1.772074e+001	-8.747371e+001
1.803549e+001	-8.310781e+001
1.802559e+001	-9.881618e+001
1.825562e+001	-9.968913e+001
1.849978e+001	-9.968806e+001
1.882863e+001	-9.444990e+001
1.880462e+001	-1.110305e+002
1.902054e+001	-1.127757e+002
1.933526e+001	-1.084116e+002
1.933947e+001	-1.232477e+002
1.951307e+001	-1.276097e+002
1.955962e+001	-1.398273e+002
1.988848e+001	-1.345891e+002
