    nm         	pN
0.000000e+000	6.282759e+002
3.246229e-002	6.151871e+002
5.078223e-002	6.012237e+002
6.910306e-002	5.872605e+002
8.745083e-002	5.732989e+002
2.328760e-001	5.671948e+002
2.935656e-001	5.558514e+002
3.683669e-001	5.453805e+002
3.867156e-001	5.314189e+002
4.191492e-001	5.183283e+002
4.798666e-001	5.069865e+002
5.687816e-001	4.973883e+002
5.871302e-001	4.834267e+002
6.619325e-001	4.729559e+002
6.096569e-001	4.546274e+002
7.127143e-001	4.459037e+002
8.722527e-001	4.406723e+002
8.906018e-001	4.267108e+002
9.089217e-001	4.127475e+002
9.413835e-001	3.996586e+002
1.044441e+000	3.909348e+002
1.048647e+000	3.760988e+002
1.095223e+000	3.638826e+002
1.127656e+000	3.507920e+002
1.174231e+000	3.385758e+002
1.150212e+000	3.219945e+002
1.281524e+000	3.150178e+002
1.342213e+000	3.036743e+002
1.431157e+000	2.940778e+002
1.435363e+000	2.792418e+002
1.481939e+000	2.670256e+002
1.556740e+000	2.565547e+002
1.603316e+000	2.443385e+002
1.664004e+000	2.329950e+002
1.696466e+000	2.199061e+002
1.841892e+000	2.138021e+002
1.916694e+000	2.033312e+002
1.892674e+000	1.867499e+002
2.023957e+000	1.797715e+002
2.127043e+000	1.710495e+002
2.102995e+000	1.544664e+002
2.177826e+000	1.439973e+002
2.153777e+000	1.274142e+002
2.242721e+000	1.178178e+002
2.402260e+000	1.125864e+002
2.420579e+000	9.862312e+001
2.396559e+000	8.204179e+001
2.485504e+000	7.244536e+001
2.616787e+000	6.546693e+001
2.635136e+000	5.150539e+001
2.639343e+000	3.666939e+001
2.643550e+000	2.183340e+001
2.718351e+000	1.136253e+001
2.863776e+000	5.258539e+000
3.037458e+000	9.016713e-001
3.013410e+000	-1.568142e+001
3.088240e+000	-2.615052e+001
3.544330e+000	-1.304514e+001
4.014561e+000	9.346561e-001
4.018768e+000	-1.390133e+001
4.333639e+000	-9.527958e+000
4.408470e+000	-1.999706e+001
4.285571e+000	-4.269239e+001
4.868766e+000	-2.172768e+001
5.169523e+000	-1.822698e+001
5.329091e+000	-2.345652e+001
5.375666e+000	-3.567274e+001
5.591688e+000	-3.741160e+001
5.638262e+000	-4.962781e+001
5.727206e+000	-5.922424e+001
5.787895e+000	-7.056779e+001
5.721506e+000	-8.976890e+001
5.994009e+000	-8.801532e+001
6.181803e+000	-9.149952e+001
6.454334e+000	-8.974416e+001
6.811573e+000	-8.275101e+001
6.914630e+000	-9.147478e+001
7.243643e+000	-8.622697e+001
7.304332e+000	-9.757051e+001
7.407389e+000	-1.062943e+002
7.411595e+000	-1.211303e+002
7.486427e+000	-1.315994e+002
7.702447e+000	-1.333382e+002
7.861986e+000	-1.385696e+002
8.007411e+000	-1.446735e+002
8.082242e+000	-1.551426e+002
8.114675e+000	-1.682333e+002
8.330725e+000	-1.699704e+002
8.574999e+000	-1.699621e+002
8.706284e+000	-1.769406e+002
8.908220e+000	-1.795503e+002
8.870058e+000	-1.970061e+002
9.213185e+000	-1.908856e+002
9.415091e+000	-1.934971e+002
9.984173e+000	-1.734051e+002
1.116047e+001	-1.157670e+002
1.185663e+001	-8.781741e+001
1.210091e+001	-8.780917e+001
1.275472e+001	-6.247756e+001
1.328141e+001	-4.500707e+001
1.358219e+001	-4.150460e+001
1.409477e+001	-2.490679e+001
1.422608e+001	-3.188343e+001
1.472454e+001	-1.615828e+001
1.468637e+001	-3.361405e+001
1.480357e+001	-4.146337e+001
1.521730e+001	-3.097779e+001
1.581460e+001	-9.140409e+000
1.567759e+001	-3.270840e+001
1.592187e+001	-3.270016e+001
1.603907e+001	-4.054948e+001
1.643867e+001	-3.093655e+001
1.620281e+001	-6.061678e+001
1.665893e+001	-4.750964e+001
1.687495e+001	-4.924850e+001
1.733104e+001	-3.614313e+001
1.739176e+001	-4.748489e+001
1.772074e+001	-4.223887e+001
1.830394e+001	-2.127416e+001
1.866121e+001	-1.427923e+001
1.883486e+001	-1.863789e+001
1.899440e+001	-2.386919e+001
1.894212e+001	-4.219763e+001
1.941235e+001	-2.821782e+001
1.951541e+001	-3.694158e+001
2.011272e+001	-1.510420e+001
2.034288e+001	-1.596863e+001
2.037534e+001	-2.905750e+001
2.088791e+001	-1.245969e+001
2.046849e+001	-5.348993e+001
2.064215e+001	-5.784858e+001
2.108412e+001	-4.561588e+001
2.115895e+001	-5.608498e+001
2.171389e+001	-3.686737e+001
2.177458e+001	-4.821092e+001
2.184941e+001	-5.868002e+001
2.274327e+001	-1.850595e+001
2.278985e+001	-3.072217e+001
2.276583e+001	-4.730348e+001
2.285474e+001	-5.690170e+001
2.281661e+001	-7.435569e+001
2.323033e+001	-6.387010e+001
2.331927e+001	-7.346653e+001
2.378948e+001	-5.948849e+001
2.382194e+001	-7.257737e+001
2.453224e+001	-4.375331e+001
2.477652e+001	-4.374507e+001
2.509138e+001	-3.937170e+001
2.513796e+001	-5.158792e+001
2.509980e+001	-6.904369e+001
2.554177e+001	-5.681099e+001
2.558835e+001	-6.902721e+001
2.580440e+001	-7.076429e+001
2.593568e+001	-7.774272e+001
2.599640e+001	-8.908448e+001
2.624068e+001	-8.907624e+001
2.628725e+001	-1.012924e+002
2.701164e+001	-7.159751e+001
2.694525e+001	-9.079862e+001
2.700594e+001	-1.021422e+002
2.708077e+001	-1.126113e+002
2.714146e+001	-1.239548e+002
2.748458e+001	-1.178343e+002
2.792656e+001	-1.056016e+002
2.814258e+001	-1.073405e+002
2.820330e+001	-1.186823e+002
2.877235e+001	-9.859199e+001
2.912962e+001	-9.159708e+001
2.928916e+001	-9.682839e+001
2.942047e+001	-1.038050e+002
2.958001e+001	-1.090363e+002
2.947125e+001	-1.308572e+002
2.994145e+001	-1.168792e+002
3.021399e+001	-1.151238e+002
3.047237e+001	-1.142429e+002
3.057543e+001	-1.229667e+002
3.072086e+001	-1.290707e+002
3.112046e+001	-1.194577e+002
3.170366e+001	-9.849303e+001
3.173612e+001	-1.115819e+002
3.186744e+001	-1.185586e+002
3.270481e+001	-8.187695e+001
3.320327e+001	-6.615180e+001
3.356051e+001	-5.915866e+001
3.388952e+001	-5.391085e+001
3.390787e+001	-6.787240e+001
3.406741e+001	-7.310371e+001
3.443876e+001	-6.523791e+001
3.448534e+001	-7.745411e+001
3.456017e+001	-8.792321e+001
3.504451e+001	-7.307073e+001
3.523231e+001	-7.655493e+001
3.551895e+001	-7.392691e+001
3.615863e+001	-4.946974e+001
3.613458e+001	-6.605286e+001
3.636474e+001	-6.691727e+001
