    nm         	pN
0.000000e+000	6.079290e+002
9.879850e-002	6.015232e+002
8.849771e-002	5.903089e+002
1.327472e-001	5.814988e+002
1.769954e-001	5.726887e+002
1.848982e-001	5.622767e+002
2.473299e-001	5.542680e+002
2.733959e-001	5.446565e+002
3.358276e-001	5.366478e+002
3.437114e-001	5.262349e+002
3.334308e-001	5.150215e+002
3.776790e-001	5.062114e+002
3.492162e-001	4.941966e+002
3.752823e-001	4.845851e+002
3.649815e-001	4.733708e+002
3.728849e-001	4.629589e+002
3.989503e-001	4.533474e+002
4.795654e-001	4.461401e+002
5.601597e-001	4.389319e+002
4.953501e-001	4.253151e+002
5.941279e-001	4.189084e+002
6.201946e-001	4.092969e+002
6.462795e-001	3.996863e+002
6.723462e-001	3.900748e+002
6.984117e-001	3.804633e+002
7.426605e-001	3.716532e+002
6.960142e-001	3.588370e+002
6.675508e-001	3.468222e+002
6.754334e-001	3.364093e+002
7.378657e-001	3.284006e+002
6.730361e-001	3.147830e+002
7.172849e-001	3.059729e+002
7.433705e-001	2.963623e+002
6.967243e-001	2.835461e+002
7.227897e-001	2.739346e+002
8.215680e-001	2.675279e+002
9.021831e-001	2.603206e+002
9.646147e-001	2.523119e+002
9.179685e-001	2.394957e+002
9.076684e-001	2.282814e+002
8.792049e-001	2.162666e+002
8.689249e-001	2.050532e+002
9.313565e-001	1.970445e+002
1.048317e+000	1.914391e+002
1.019854e+000	1.794243e+002
9.732081e-001	1.666081e+002
9.265618e-001	1.537919e+002
9.889934e-001	1.457832e+002
1.033242e+000	1.369731e+002
1.059308e+000	1.273616e+002
9.944781e-001	1.137440e+002
1.002361e+000	1.033311e+002
9.920813e-001	9.211774e+001
1.018146e+000	8.250624e+001
1.062396e+000	7.369615e+001
1.052115e+000	6.248276e+001
1.078181e+000	5.287127e+001
1.122430e+000	4.406118e+001
1.057601e+000	3.044357e+001
1.029137e+000	1.842877e+001
1.109752e+000	1.122148e+001
1.081289e+000	-7.933083e-001
1.070988e+000	-1.200759e+001
1.078891e+000	-2.241960e+001
1.159486e+000	-2.962778e+001
1.203735e+000	-3.843788e+001
1.211638e+000	-4.884987e+001
1.201337e+000	-6.006417e+001
1.300136e+000	-6.647006e+001
1.217123e+000	-8.088906e+001
1.315921e+000	-8.729495e+001
1.232908e+000	-1.017139e+002
1.258974e+000	-1.113254e+002
1.412302e+000	-1.153280e+002
1.547446e+000	-1.201320e+002
1.555348e+000	-1.305440e+002
1.817754e+000	-1.297391e+002
2.225583e+000	-1.225248e+002
3.306047e+000	-8.566486e+001
3.423028e+000	-9.126935e+001
3.430911e+000	-1.016822e+002
3.547872e+000	-1.072876e+002
4.882857e+000	-5.920992e+001
5.454315e+000	-4.478387e+001
5.298590e+000	-6.240757e+001
5.379205e+000	-6.961488e+001
5.696139e+000	-6.640664e+001
5.722205e+000	-7.601812e+001
6.020977e+000	-7.361041e+001
5.919781e+000	-8.883081e+001
5.945846e+000	-9.844230e+001
6.099174e+000	-1.024449e+002
6.216155e+000	-1.080494e+002
5.987698e+000	-1.288787e+002
6.250104e+000	-1.280738e+002
6.821562e+000	-1.136477e+002
7.265757e+000	-1.048306e+002
7.728135e+000	-9.521203e+001
7.408783e+000	-1.200475e+002
7.852980e+000	-1.112303e+002
8.024490e+000	-1.144315e+002
8.050556e+000	-1.240430e+002
8.440223e+000	-1.176292e+002
9.011680e+000	-1.032031e+002
9.692196e+000	-8.397045e+001
9.900052e+000	-8.556972e+001
9.780694e+000	-1.015906e+002
1.031578e+001	-8.876739e+001
1.025096e+001	-1.023850e+002
1.054973e+001	-9.997726e+001
1.057579e+001	-1.095888e+002
1.052915e+001	-1.224049e+002
1.084608e+001	-1.191967e+002
1.239922e+001	-6.150400e+001
1.275252e+001	-5.669297e+001
1.250590e+001	-7.832279e+001
1.273194e+001	-7.912067e+001
1.304888e+001	-7.591243e+001
1.332947e+001	-7.430611e+001
1.375548e+001	-6.629038e+001
1.401788e+001	-6.548544e+001
1.444390e+001	-5.746970e+001
1.446996e+001	-6.708120e+001
1.456876e+001	-7.348709e+001
1.464936e+001	-8.069527e+001
1.469361e+001	-8.950537e+001
1.495601e+001	-8.870044e+001
1.525478e+001	-8.629272e+001
1.517177e+001	-1.007117e+002
1.505241e+001	-1.167326e+002
1.524208e+001	-1.191333e+002
1.564993e+001	-1.119181e+002
1.642135e+001	-8.867931e+001
1.646559e+001	-9.748939e+001
1.678253e+001	-9.428117e+001
1.791754e+001	-5.501707e+001
1.836174e+001	-4.619993e+001
1.849688e+001	-5.100391e+001
1.906834e+001	-3.657787e+001
1.933075e+001	-3.577295e+001
1.939318e+001	-4.378164e+001
1.963740e+001	-4.377812e+001
1.995433e+001	-4.056988e+001
1.988950e+001	-5.418748e+001
1.980651e+001	-6.860559e+001
2.074153e+001	-3.815601e+001
2.069488e+001	-5.097221e+001
2.097547e+001	-4.936588e+001
2.138330e+001	-4.215155e+001
2.130031e+001	-5.656966e+001
2.152635e+001	-5.736753e+001
2.171602e+001	-5.976820e+001
2.183300e+001	-6.537269e+001
2.189543e+001	-7.338140e+001
2.253960e+001	-5.575064e+001
2.274746e+001	-5.734992e+001
2.264626e+001	-7.257032e+001
2.359949e+001	-4.131843e+001
2.342558e+001	-5.974354e+001
2.345166e+001	-6.935415e+001
2.384131e+001	-6.294121e+001
2.388556e+001	-7.175129e+001
2.391162e+001	-8.136279e+001
2.439219e+001	-7.094286e+001
2.492728e+001	-5.811960e+001
2.493518e+001	-6.853160e+001
2.534301e+001	-6.131726e+001
2.565995e+001	-5.810903e+001
2.572238e+001	-6.611773e+001
2.560302e+001	-8.213864e+001
2.571998e+001	-8.774402e+001
2.632778e+001	-7.171606e+001
2.649930e+001	-7.491724e+001
2.688896e+001	-6.850342e+001
2.635147e+001	-1.029530e+002
2.685020e+001	-9.173251e+001
2.734892e+001	-8.051206e+001
