    nm         	pN
0.000000e+000	5.291173e+002
9.881614e-002	5.227122e+002
1.248910e-001	5.131011e+002
1.509860e-001	5.034909e+002
1.588724e-001	4.930782e+002
1.667777e-001	4.826663e+002
2.474029e-001	4.754594e+002
2.371185e-001	4.642459e+002
2.450049e-001	4.538331e+002
2.711005e-001	4.442230e+002
2.971754e-001	4.346119e+002
3.596310e-001	4.266042e+002
3.675174e-001	4.161915e+002
3.754025e-001	4.057787e+002
3.651181e-001	3.945651e+002
3.730039e-001	3.841524e+002
3.990996e-001	3.745422e+002
4.069853e-001	3.641294e+002
4.512506e-001	3.553201e+002
4.591565e-001	3.449082e+002
5.761611e-001	3.393048e+002
6.749760e-001	3.328996e+002
7.374316e-001	3.248919e+002
7.271471e-001	3.136784e+002
8.077924e-001	3.064724e+002
7.974885e-001	2.952580e+002
8.599434e-001	2.872503e+002
8.496597e-001	2.760367e+002
8.939249e-001	2.672274e+002
8.836210e-001	2.560129e+002
9.278862e-001	2.472035e+002
9.903411e-001	2.391959e+002
1.034606e+000	2.303865e+002
1.060682e+000	2.207754e+002
1.068588e+000	2.103636e+002
1.167403e+000	2.039584e+002
1.175309e+000	1.935465e+002
1.201384e+000	1.839355e+002
1.282029e+000	1.767295e+002
1.289915e+000	1.663168e+002
1.297821e+000	1.559049e+002
1.396636e+000	1.494997e+002
1.313592e+000	1.350794e+002
1.266928e+000	1.222624e+002
1.420313e+000	1.182623e+002
1.610077e+000	1.158657e+002
1.636152e+000	1.062546e+002
1.753157e+000	1.006512e+002
1.870182e+000	9.504859e+001
1.896258e+000	8.543753e+001
1.885974e+000	7.422397e+001
1.893859e+000	6.381121e+001
2.029054e+000	5.900945e+001
2.091509e+000	5.100179e+001
2.172154e+000	4.379582e+001
2.143660e+000	3.177966e+001
2.242495e+000	2.537539e+001
2.250381e+000	1.496263e+001
2.403765e+000	1.096258e+001
2.429861e+000	1.352409e+000
2.419557e+000	-9.862047e+000
2.718441e+000	-7.449391e+000
2.508088e+000	-2.748077e+001
2.970640e+000	-1.785461e+001
2.887597e+000	-3.227497e+001
3.350148e+000	-2.264882e+001
4.030938e+000	-3.404043e+000
3.820586e+000	-2.343542e+001
4.228588e+000	-1.621346e+001
4.145545e+000	-3.063383e+001
4.026141e+000	-4.665671e+001
4.434125e+000	-3.943565e+001
4.369270e+000	-5.305431e+001
4.631775e+000	-5.224507e+001
5.257994e+000	-3.540539e+001
5.065852e+000	-5.463417e+001
4.873689e+000	-7.386385e+001
5.172573e+000	-7.145120e+001
5.453246e+000	-6.984114e+001
6.334084e+000	-4.177947e+001
6.669328e+000	-3.776431e+001
6.349856e+000	-6.260498e+001
6.576000e+000	-6.339824e+001
6.565696e+000	-7.461271e+001
6.682721e+000	-8.021527e+001
6.836085e+000	-8.421622e+001
6.934921e+000	-9.062048e+001
6.797327e+000	-1.074451e+002
7.332619e+000	-9.461299e+001
7.322334e+000	-1.058266e+002
7.221101e+000	-1.210486e+002
7.556343e+000	-1.170335e+002
7.582419e+000	-1.266445e+002
7.644875e+000	-1.346522e+002
7.889189e+000	-1.346447e+002
8.042573e+000	-1.386447e+002
8.286887e+000	-1.386372e+002
8.385721e+000	-1.450414e+002
8.575467e+000	-1.474390e+002
8.728851e+000	-1.514390e+002
8.700376e+000	-1.634543e+002
9.035619e+000	-1.594391e+002
8.879836e+000	-1.770654e+002
8.796793e+000	-1.914858e+002
9.350274e+000	-1.778520e+002
9.249060e+000	-1.930732e+002
1.000259e+001	-1.706225e+002
9.955927e+000	-1.834395e+002
9.891073e+000	-1.970581e+002
9.826219e+000	-2.106768e+002
1.083435e+001	-1.770050e+002
1.235169e+001	-1.208901e+002
1.254145e+001	-1.232868e+002
1.265846e+001	-1.288902e+002
1.306644e+001	-1.216691e+002
1.396547e+001	-9.280577e+001
1.426433e+001	-9.039401e+001
1.485417e+001	-7.515773e+001
1.528037e+001	-6.713408e+001
1.601571e+001	-4.548511e+001
1.607814e+001	-5.349366e+001
1.566776e+001	-8.234105e+001
1.585753e+001	-8.473771e+001
1.633825e+001	-7.431075e+001
1.640070e+001	-8.231841e+001
1.666321e+001	-8.150916e+001
1.756221e+001	-5.264666e+001
1.780653e+001	-5.263912e+001
1.794172e+001	-5.744087e+001
1.816787e+001	-5.823413e+001
1.835761e+001	-6.063168e+001
1.900202e+001	-4.299031e+001
1.930088e+001	-4.057855e+001
1.969070e+001	-3.415830e+001
1.958946e+001	-4.938037e+001
1.961556e+001	-5.899054e+001
