    nm         	pN
0.000000e+000	6.123782e+002
2.609377e-002	6.027679e+002
7.035585e-002	5.939584e+002
1.146192e-001	5.851490e+002
1.225043e-001	5.747362e+002
1.485792e-001	5.651251e+002
1.928614e-001	5.563165e+002
2.189351e-001	5.467053e+002
2.813869e-001	5.386975e+002
3.256502e-001	5.298881e+002
3.335353e-001	5.194753e+002
4.505336e-001	5.138716e+002
4.947957e-001	5.050620e+002
4.481344e-001	4.922452e+002
4.742294e-001	4.826350e+002
5.003030e-001	4.730238e+002
5.445663e-001	4.642144e+002
5.706393e-001	4.546032e+002
5.239792e-001	4.417864e+002
5.136954e-001	4.305729e+002
5.761460e-001	4.225650e+002
5.658427e-001	4.113506e+002
6.101060e-001	4.025411e+002
6.180107e-001	3.921292e+002
6.804631e-001	3.841214e+002
7.428941e-001	3.761127e+002
7.326104e-001	3.648991e+002
7.768731e-001	3.560896e+002
8.575139e-001	3.488835e+002
8.108526e-001	3.360666e+002
7.823803e-001	3.240514e+002
7.902655e-001	3.136386e+002
9.072632e-001	3.080349e+002
9.151684e-001	2.976230e+002
8.866761e-001	2.856069e+002
9.491279e-001	2.775991e+002
9.388441e-001	2.663855e+002
9.103724e-001	2.543704e+002
8.819002e-001	2.423552e+002
8.534078e-001	2.303391e+002
8.431240e-001	2.191255e+002
8.873873e-001	2.103161e+002
1.004385e+000	2.047123e+002
1.066836e+000	1.967045e+002
1.056552e+000	1.854909e+002
1.082627e+000	1.758798e+002
1.181436e+000	1.694744e+002
1.152964e+000	1.574592e+002
1.179057e+000	1.478489e+002
1.241488e+000	1.398402e+002
1.194828e+000	1.270234e+002
1.311845e+000	1.214205e+002
1.356109e+000	1.126110e+002
1.236692e+000	9.658758e+001
1.244598e+000	8.617568e+001
1.288861e+000	7.736621e+001
1.369501e+000	7.016003e+001
1.322840e+000	5.734318e+001
1.312537e+000	4.612875e+001
1.520478e+000	4.453325e+001
1.528364e+000	3.412046e+001
1.627172e+000	2.771505e+001
1.562342e+000	1.409744e+001
1.624794e+000	6.089612e+000
1.814526e+000	3.691562e+000
1.967903e+000	-3.088829e-001
2.121278e+000	-4.309352e+000
2.365577e+000	-4.302447e+000
2.173425e+000	-2.353160e+001
2.235877e+000	-3.153944e+001
2.843892e+000	-1.550218e+001
3.488243e+000	2.136588e+000
3.332489e+000	-1.548838e+001
3.194885e+000	-3.231347e+001
3.711975e+000	-2.028359e+001
3.901708e+000	-2.268163e+001
4.036895e+000	-2.748375e+001
3.972045e+000	-4.110224e+001
3.943572e+000	-5.311744e+001
4.606134e+000	-3.467611e+001
5.432352e+000	-9.021721e+000
5.276579e+000	-2.664758e+001
5.320841e+000	-3.545707e+001
4.837750e+000	-6.750909e+001
5.209331e+000	-6.189240e+001
5.671855e+000	-5.226747e+001
5.770684e+000	-5.867199e+001
5.687645e+000	-7.309214e+001
5.931944e+000	-7.308523e+001
6.321714e+000	-6.666690e+001
5.984093e+000	-9.230750e+001
6.446617e+000	-8.268256e+001
6.599992e+000	-8.668303e+001
6.644255e+000	-9.549250e+001
7.106780e+000	-8.586756e+001
7.405624e+000	-8.345660e+001
7.158927e+000	-1.050898e+002
7.439604e+000	-1.034796e+002
7.265641e+000	-1.219071e+002
7.200791e+000	-1.355256e+002
7.063206e+000	-1.523498e+002
7.907615e+000	-1.258938e+002
8.279216e+000	-1.202762e+002
8.378025e+000	-1.266816e+002
8.767814e+000	-1.202624e+002
8.684776e+000	-1.346825e+002
8.729038e+000	-1.434920e+002
9.191562e+000	-1.338671e+002
9.163090e+000	-1.458823e+002
9.352823e+000	-1.482803e+002
9.324350e+000	-1.602955e+002
9.768686e+000	-1.514723e+002
9.740214e+000	-1.634874e+002
9.857211e+000	-1.690912e+002
1.008332e+001	-1.698860e+002
1.030945e+001	-1.706798e+002
1.077196e+001	-1.610558e+002
1.154363e+001	-1.378054e+002
1.209708e+001	-1.241731e+002
1.239592e+001	-1.217622e+002
1.222198e+001	-1.401888e+002
1.252083e+001	-1.377778e+002
1.274694e+001	-1.385726e+002
1.370046e+001	-1.073075e+002
1.374472e+001	-1.161170e+002
1.489828e+001	-7.603554e+001
1.554265e+001	-5.839587e+001
1.571419e+001	-6.159558e+001
1.614034e+001	-5.357395e+001
1.645739e+001	-5.036043e+001
1.661077e+001	-5.436090e+001
1.720057e+001	-3.912619e+001
1.775402e+001	-2.549388e+001
1.799832e+001	-2.548698e+001
1.811532e+001	-3.109075e+001
1.830507e+001	-3.348791e+001
1.889488e+001	-1.825319e+001
1.873910e+001	-3.587905e+001
1.889248e+001	-3.987952e+001
1.922770e+001	-3.586525e+001
1.885372e+001	-6.310825e+001
1.971630e+001	-3.585144e+001
2.045160e+001	-1.420441e+001
2.053224e+001	-2.141059e+001
2.057650e+001	-3.022006e+001
2.054803e+001	-4.223526e+001
2.053772e+001	-5.344969e+001
2.105481e+001	-4.141981e+001
2.146277e+001	-3.419982e+001
2.090693e+001	-6.945845e+001
2.135126e+001	-6.063516e+001
2.195926e+001	-4.459879e+001
2.196716e+001	-5.501069e+001
2.242968e+001	-4.538575e+001
2.294675e+001	-3.335675e+001
2.299102e+001	-4.216623e+001
2.296255e+001	-5.418142e+001
2.313409e+001	-5.738113e+001
2.321473e+001	-6.458731e+001
2.371361e+001	-5.335996e+001
2.401248e+001	-5.094810e+001
2.403855e+001	-6.055922e+001
2.475566e+001	-3.971385e+001
2.485449e+001	-4.611837e+001
2.509879e+001	-4.611147e+001
2.521578e+001	-5.171524e+001
2.571467e+001	-4.048789e+001
2.559527e+001	-5.651045e+001
2.573046e+001	-6.131256e+001
2.592021e+001	-6.370972e+001
2.594628e+001	-7.332085e+001
2.622696e+001	-7.171064e+001
2.667129e+001	-6.288736e+001
2.671556e+001	-7.169683e+001
2.672344e+001	-8.210962e+001
2.724051e+001	-7.008061e+001
2.759393e+001	-6.526470e+001
2.732904e+001	-8.769958e+001
2.757334e+001	-8.769267e+001
2.772671e+001	-9.169313e+001
2.831654e+001	-7.645753e+001
2.907002e+001	-5.400885e+001
2.898699e+001	-6.842900e+001
2.937677e+001	-6.200978e+001
3.007569e+001	-4.196605e+001
3.026542e+001	-4.436410e+001
3.076433e+001	-3.313586e+001
3.059036e+001	-5.156337e+001
3.125292e+001	-3.312206e+001
3.142449e+001	-3.632087e+001
3.094138e+001	-6.837377e+001
3.134933e+001	-6.115380e+001
3.210282e+001	-3.870511e+001
3.214708e+001	-4.751459e+001
3.255504e+001	-4.029461e+001
3.212650e+001	-6.994256e+001
3.289817e+001	-4.669223e+001
3.343343e+001	-3.386158e+001
3.342315e+001	-4.507512e+001
3.323099e+001	-6.430428e+001
3.349348e+001	-6.349572e+001
3.401055e+001	-5.146673e+001
3.447308e+001	-4.184180e+001
3.464464e+001	-4.504060e+001
3.497986e+001	-4.102633e+001
3.531509e+001	-3.701206e+001
3.561393e+001	-3.460111e+001
3.571276e+001	-4.100563e+001
3.579338e+001	-4.821270e+001
3.625590e+001	-3.858775e+001
3.599102e+001	-6.102263e+001
3.654447e+001	-4.739034e+001
3.711610e+001	-3.295639e+001
3.739676e+001	-3.134706e+001
3.758651e+001	-3.374423e+001
3.746712e+001	-4.976679e+001
3.780234e+001	-4.575252e+001
3.777387e+001	-5.776772e+001
3.798179e+001	-5.936411e+001
3.844431e+001	-4.973918e+001
3.870680e+001	-4.893062e+001
3.875106e+001	-5.774010e+001
3.910446e+001	-5.292507e+001
3.985794e+001	-3.047639e+001
3.968400e+001	-4.890301e+001
3.967369e+001	-6.011745e+001
3.989980e+001	-6.091219e+001
3.985314e+001	-7.372903e+001
4.040659e+001	-6.009674e+001
4.065089e+001	-6.008984e+001
4.060423e+001	-7.290667e+001
4.104857e+001	-6.408338e+001
4.107464e+001	-7.369452e+001
4.091886e+001	-9.132037e+001
4.109043e+001	-9.451919e+001
4.162569e+001	-8.168854e+001
4.185180e+001	-8.248329e+001
4.204155e+001	-8.488045e+001
4.214036e+001	-9.128586e+001
4.218462e+001	-1.000953e+002
4.282899e+001	-8.245568e+001
4.280052e+001	-9.447088e+001
4.309939e+001	-9.205901e+001
4.303454e+001	-1.056775e+002
4.326065e+001	-1.064723e+002
4.359587e+001	-1.024580e+002
4.382198e+001	-1.032527e+002
4.381170e+001	-1.144663e+002
4.423784e+001	-1.064447e+002
4.448214e+001	-1.064377e+002
4.465371e+001	-1.096366e+002
4.500712e+001	-1.048206e+002
4.505138e+001	-1.136301e+002
4.496834e+001	-1.280503e+002
4.517626e+001	-1.296467e+002
4.558424e+001	-1.224258e+002
4.573762e+001	-1.264262e+002
4.618195e+001	-1.176030e+002
4.664446e+001	-1.079789e+002
4.687059e+001	-1.087728e+002
4.764224e+001	-8.552333e+001
4.783200e+001	-8.792050e+001
4.789445e+001	-9.592832e+001
4.806599e+001	-9.912803e+001
4.836486e+001	-9.671616e+001
4.862734e+001	-9.590762e+001
4.888981e+001	-9.509995e+001
4.944326e+001	-8.146765e+001
4.912383e+001	-1.063066e+002
4.956816e+001	-9.748331e+001
5.008523e+001	-8.545430e+001
5.016587e+001	-9.266048e+001
5.017376e+001	-1.030733e+002
5.032713e+001	-1.070737e+002
5.031685e+001	-1.182873e+002
5.090666e+001	-1.030526e+002
5.122369e+001	-9.983993e+001
5.123159e+001	-1.102518e+002
5.111220e+001	-1.262744e+002
5.097461e+001	-1.430986e+002
5.163715e+001	-1.246582e+002
5.173598e+001	-1.310627e+002
5.219851e+001	-1.214378e+002
5.227913e+001	-1.286448e+002
5.225066e+001	-1.406600e+002
5.238584e+001	-1.454621e+002
5.404858e+001	-8.293891e+001
5.531123e+001	-3.804933e+001
5.570103e+001	-3.163011e+001
5.565436e+001	-4.444696e+001
5.580774e+001	-4.844742e+001
5.607021e+001	-4.763976e+001
5.671458e+001	-3.000009e+001
5.674065e+001	-3.961122e+001
5.694859e+001	-4.120673e+001
5.717470e+001	-4.200148e+001
5.745538e+001	-4.039127e+001
5.771785e+001	-3.958360e+001
5.736206e+001	-6.602496e+001
5.740632e+001	-7.483444e+001
5.825073e+001	-4.837839e+001
5.854957e+001	-4.596742e+001
5.830288e+001	-6.760065e+001
5.821984e+001	-8.202079e+001
5.890059e+001	-6.277782e+001
5.932673e+001	-5.475619e+001
5.982562e+001	-4.352884e+001
5.974260e+001	-5.794810e+001
6.029605e+001	-4.431581e+001
6.061308e+001	-4.110318e+001
6.080281e+001	-4.350123e+001
6.088345e+001	-5.070741e+001
6.123686e+001	-4.589150e+001
6.148117e+001	-4.588459e+001
6.176184e+001	-4.427439e+001
6.198795e+001	-4.506914e+001
6.183217e+001	-6.269500e+001
6.274932e+001	-3.303323e+001
6.262992e+001	-4.905579e+001
6.280147e+001	-5.225549e+001
6.320945e+001	-4.503463e+001
6.338101e+001	-4.823343e+001
6.362531e+001	-4.822653e+001
6.390596e+001	-4.661721e+001
6.445941e+001	-3.298491e+001
6.437637e+001	-4.740505e+001
6.447520e+001	-5.380959e+001
6.486497e+001	-4.739125e+001
6.449100e+001	-7.463426e+001
6.502626e+001	-6.180361e+001
6.530691e+001	-6.019429e+001
6.536936e+001	-6.820212e+001
6.532270e+001	-8.101897e+001
6.529423e+001	-9.303416e+001
6.555672e+001	-9.222560e+001
6.591013e+001	-8.740969e+001
6.660905e+001	-6.736596e+001
6.708976e+001	-5.693937e+001
6.660665e+001	-8.899227e+001
6.641451e+001	-1.082206e+002
6.740439e+001	-7.535307e+001
6.783054e+001	-6.733144e+001
6.780207e+001	-7.934664e+001
6.802818e+001	-8.014137e+001
6.798152e+001	-9.295822e+001
6.818944e+001	-9.455462e+001
6.872470e+001	-8.172397e+001
6.864168e+001	-9.614323e+001
6.917694e+001	-8.331258e+001
6.923939e+001	-9.132041e+001
6.932001e+001	-9.852747e+001
6.963707e+001	-9.531397e+001
7.031780e+001	-7.607189e+001
7.010748e+001	-9.610181e+001
7.011536e+001	-1.065146e+002
7.061426e+001	-9.528636e+001
7.089492e+001	-9.367705e+001
7.083007e+001	-1.072955e+002
7.120167e+001	-1.016780e+002
