    nm         	pN
0.000000e+000	5.873683e+002
1.351213e-001	5.825633e+002
1.975428e-001	5.745542e+002
2.236039e-001	5.649425e+002
2.678458e-001	5.561321e+002
2.757461e-001	5.457200e+002
3.926877e-001	5.401137e+002
4.187487e-001	5.305020e+002
4.629906e-001	5.216916e+002
5.254109e-001	5.136824e+002
5.151328e-001	5.024691e+002
5.230142e-001	4.920562e+002
6.217963e-001	4.856496e+002
6.478573e-001	4.760379e+002
6.739184e-001	4.664262e+002
7.545196e-001	4.592183e+002
7.805806e-001	4.496066e+002
7.884827e-001	4.391945e+002
9.054237e-001	4.335883e+002
9.314848e-001	4.239766e+002
9.393857e-001	4.135645e+002
1.056327e+000	4.079583e+002
1.009689e+000	3.951424e+002
1.072110e+000	3.871332e+002
1.170872e+000	3.807257e+002
1.196933e+000	3.711140e+002
1.241194e+000	3.623045e+002
1.267255e+000	3.526928e+002
1.366016e+000	3.462853e+002
1.355738e+000	3.350720e+002
1.454499e+000	3.286644e+002
1.535100e+000	3.214565e+002
1.579341e+000	3.126461e+002
1.550883e+000	3.006315e+002
1.649644e+000	2.942240e+002
1.730245e+000	2.870161e+002
1.774486e+000	2.782057e+002
1.800548e+000	2.685940e+002
1.826629e+000	2.589832e+002
1.870870e+000	2.501727e+002
1.933272e+000	2.421627e+002
1.959353e+000	2.325519e+002
2.003594e+000	2.237415e+002
2.102356e+000	2.173340e+002
2.146596e+000	2.085235e+002
2.190838e+000	1.997131e+002
2.271439e+000	1.925052e+002
2.297500e+000	1.828935e+002
2.341742e+000	1.740831e+002
2.404163e+000	1.660739e+002
2.521104e+000	1.604677e+002
2.529005e+000	1.500556e+002
2.500548e+000	1.380410e+002
2.472068e+000	1.260255e+002
2.552669e+000	1.188176e+002
2.633271e+000	1.116097e+002
2.677513e+000	1.027993e+002
2.776273e+000	9.639178e+001
2.856875e+000	8.918388e+001
2.828417e+000	7.716930e+001
2.872657e+000	6.835887e+001
2.971418e+000	6.195135e+001
3.070200e+000	5.554471e+001
3.150802e+000	4.833681e+001
3.158682e+000	3.792385e+001
3.148404e+000	2.671053e+001
3.210805e+000	1.870049e+001
3.382286e+000	1.549801e+001
3.426528e+000	6.687579e+000
3.470768e+000	-2.122838e+000
3.533190e+000	-1.013200e+001
3.613791e+000	-1.733990e+001
