    nm         	pN
0.000000e+000	5.742531e+002
3.672890e-002	5.651122e+002
-1.291907e-002	5.521645e+002
-7.984217e-002	5.384554e+002
-4.311453e-002	5.293144e+002
-4.094344e-002	5.186505e+002
-2.148840e-002	5.087482e+002
-7.113764e-002	4.958005e+002
-8.622907e-002	4.843757e+002
-1.013318e-001	4.729505e+002
-8.187617e-002	4.630482e+002
-9.697830e-002	4.516230e+002
-1.639008e-001	4.379140e+002
-1.098986e-001	4.295343e+002
-1.768224e-001	4.158252e+002
-2.264609e-001	4.028780e+002
-2.415624e-001	3.914528e+002
-2.739384e-001	3.792663e+002
-3.754080e-001	3.640347e+002
-4.077833e-001	3.518482e+002
-3.883283e-001	3.419460e+002
-3.343268e-001	3.335663e+002
-4.185225e-001	3.190960e+002
-4.336246e-001	3.076708e+002
-4.659899e-001	2.954847e+002
-4.119884e-001	2.871050e+002
-5.825623e-001	2.688280e+002
-6.322109e-001	2.558802e+002
-5.091051e-001	2.505460e+002
-6.105847e-001	2.353140e+002
-6.429507e-001	2.231280e+002
-6.753260e-001	2.109415e+002
-6.385971e-001	2.018005e+002
-6.882463e-001	1.888528e+002
-7.897160e-001	1.736212e+002
-8.393652e-001	1.606735e+002
-7.853631e-001	1.522938e+002
-8.004652e-001	1.408685e+002
-9.019347e-001	1.256370e+002
-1.003414e+000	1.104050e+002
-9.494016e-001	1.020258e+002
-9.472304e-001	9.136179e+001
-1.031426e+000	7.689152e+001
-1.029245e+000	6.622801e+001
-1.113451e+000	5.175729e+001
-1.197648e+000	3.728702e+001
-1.195465e+000	2.662351e+001
-1.193294e+000	1.595955e+001
-1.242933e+000	3.012246e+000
-1.223488e+000	-6.890434e+000
-1.307684e+000	-2.136071e+001
-1.374607e+000	-3.506971e+001
-1.441529e+000	-4.877873e+001
-1.456622e+000	-6.020349e+001
-1.454451e+000	-7.086746e+001
-1.504100e+000	-8.381520e+001
-1.501917e+000	-9.447872e+001
-1.551567e+000	-1.074265e+002
-1.583942e+000	-1.196129e+002
-1.564487e+000	-1.295152e+002
-1.631410e+000	-1.432242e+002
-1.715606e+000	-1.576945e+002
-1.713435e+000	-1.683584e+002
-1.745800e+000	-1.805445e+002
-1.743629e+000	-1.912084e+002
-1.689617e+000	-1.995877e+002
-1.791097e+000	-2.148197e+002
-1.788915e+000	-2.254832e+002
-1.734913e+000	-2.338629e+002
-1.784563e+000	-2.468107e+002
-1.782381e+000	-2.574742e+002
-1.883860e+000	-2.727062e+002
-1.933509e+000	-2.856539e+002
-1.914055e+000	-2.955562e+002
-1.894599e+000	-3.054584e+002
-1.961522e+000	-3.191674e+002
-2.045719e+000	-3.336377e+002
-2.060820e+000	-3.450629e+002
-2.075913e+000	-3.564877e+002
-2.056468e+000	-3.663904e+002
-2.071559e+000	-3.778152e+002
-2.121209e+000	-3.907629e+002
-2.049933e+000	-3.983814e+002
-1.944100e+000	-4.044769e+002
-1.838269e+000	-4.105724e+002
-1.905190e+000	-4.242814e+002
-1.920291e+000	-4.357066e+002
-1.883566e+000	-4.448476e+002
-1.812288e+000	-4.524661e+002
-1.585533e+000	-4.532323e+002
-1.047823e+000	-4.402944e+002
1.822035e+000	-3.245759e+002
3.724478e+000	-2.514926e+002
5.022291e+000	-2.050561e+002
5.162671e+000	-2.096291e+002
5.458531e+000	-2.073498e+002
5.512533e+000	-2.157295e+002
5.566534e+000	-2.241093e+002
5.724188e+000	-2.279210e+002
6.175519e+000	-2.187899e+002
6.281352e+000	-2.248854e+002
6.369901e+000	-2.317426e+002
6.562110e+000	-2.340313e+002
6.426082e+000	-2.507859e+002
6.082755e+000	-2.766764e+002
6.361342e+000	-2.751584e+002
6.294420e+000	-2.888674e+002
6.538450e+000	-2.888723e+002
6.799753e+000	-2.881160e+002
7.423840e+000	-2.713714e+002
7.495116e+000	-2.789899e+002
7.618222e+000	-2.843241e+002
7.724044e+000	-2.904200e+002
7.588027e+000	-3.071741e+002
7.624756e+000	-3.163151e+002
7.799681e+000	-3.193656e+002
7.836410e+000	-3.285066e+002
7.959516e+000	-3.338408e+002
7.978961e+000	-3.437435e+002
7.963868e+000	-3.551683e+002
7.706917e+000	-3.772520e+002
8.020052e+000	-3.742115e+002
8.194978e+000	-3.772619e+002
8.266253e+000	-3.848804e+002
8.302981e+000	-3.940214e+002
8.166965e+000	-4.107754e+002
8.169137e+000	-4.214394e+002
8.274970e+000	-4.275349e+002
8.484452e+000	-4.290624e+002
8.365699e+000	-4.450556e+002
8.333324e+000	-4.572421e+002
8.525534e+000	-4.595308e+002
8.769564e+000	-4.595358e+002
9.186336e+000	-4.519277e+002
9.603125e+000	-4.443191e+002
9.501655e+000	-4.595506e+002
1.221603e+001	-3.506845e+002
1.570779e+001	-2.075579e+002
1.565815e+001	-2.205056e+002
1.569487e+001	-2.296466e+002
1.576615e+001	-2.372650e+002
1.865328e+001	-1.207853e+002
2.052118e+001	-4.922449e+001
2.102434e+001	-3.780917e+001
2.125109e+001	-3.857583e+001
2.125327e+001	-4.923935e+001
2.092722e+001	-7.436862e+001
2.124035e+001	-7.132809e+001
2.144983e+001	-7.285555e+001
2.221212e+001	-5.002043e+001
2.235250e+001	-5.459339e+001
2.202644e+001	-7.972267e+001
2.242595e+001	-7.287537e+001
2.265271e+001	-7.364159e+001
2.284491e+001	-7.593078e+001
2.346900e+001	-5.918617e+001
2.345389e+001	-7.061141e+001
2.338697e+001	-8.432040e+001
2.338915e+001	-9.498392e+001
2.356408e+001	-9.803437e+001
2.425727e+001	-7.824428e+001
2.410397e+001	-9.576004e+001
2.465895e+001	-8.206093e+001
2.476478e+001	-8.815688e+001
2.431780e+001	-1.186150e+002
2.495917e+001	-1.011091e+002
2.452946e+001	-1.308064e+002
2.479076e+001	-1.300501e+002
2.529393e+001	-1.186348e+002
2.557250e+001	-1.171172e+002
2.554013e+001	-1.293037e+002
2.600873e+001	-1.194114e+002
2.602819e+001	-1.293136e+002
2.592672e+001	-1.445452e+002
2.610164e+001	-1.475956e+002
2.651843e+001	-1.399870e+002
2.639968e+001	-1.559803e+002
2.629821e+001	-1.712118e+002
2.635221e+001	-1.795915e+002
2.663079e+001	-1.780740e+002
2.665024e+001	-1.879762e+002
2.689427e+001	-1.879812e+002
2.915950e+001	-9.890955e+001
3.044004e+001	-5.323432e+001
3.099502e+001	-3.953522e+001
3.135997e+001	-3.421088e+001
3.196679e+001	-1.822755e+001
3.196897e+001	-2.889106e+001
3.188476e+001	-4.336178e+001
