    nm         	pN
0.000000e+000	5.693816e+002
-3.243457e-002	5.571925e+002
-1.167814e-001	5.427156e+002
-1.145965e-001	5.320522e+002
-1.470298e-001	5.198632e+002
-1.967672e-001	5.069116e+002
-1.945822e-001	4.962482e+002
-1.751020e-001	4.863471e+002
-1.902212e-001	4.749211e+002
-1.707315e-001	4.650204e+002
-9.932826e-002	4.574076e+002
-1.317622e-001	4.452185e+002
-1.295773e-001	4.345551e+002
-7.547876e-002	4.261797e+002
3.054335e-002	4.200925e+002
8.464122e-002	4.117170e+002
6.951200e-002	4.002906e+002
-1.186708e-001	3.812375e+002
-8.187698e-002	3.720994e+002
-2.181468e-001	3.553342e+002
-1.467436e-001	3.477214e+002
-1.791675e-001	3.355328e+002
-2.116008e-001	3.233437e+002
-1.921111e-001	3.134430e+002
-2.072403e-001	3.020166e+002
-2.569777e-001	2.890650e+002
-2.720969e-001	2.776390e+002
-2.699119e-001	2.669756e+002
-3.369641e-001	2.532609e+002
-2.828556e-001	2.448859e+002
-3.325930e-001	2.319342e+002
-3.131039e-001	2.220335e+002
-4.147649e-001	2.067935e+002
-3.087428e-001	2.007064e+002
-2.546443e-001	1.923309e+002
-3.562959e-001	1.770914e+002
-2.848927e-001	1.694785e+002
-2.654030e-001	1.595778e+002
-2.978370e-001	1.473888e+002
-2.264337e-001	1.397759e+002
-1.723353e-001	1.314005e+002
-2.047591e-001	1.192119e+002
-3.064201e-001	1.039719e+002
-2.869298e-001	9.407118e+001
-3.193631e-001	8.188215e+001
-3.864059e-001	6.816785e+001
-3.496115e-001	5.902977e+001
-3.820347e-001	4.684118e+001
-3.279363e-001	3.846571e+001
-3.776749e-001	2.551405e+001
-3.408805e-001	1.637595e+001
-3.906192e-001	3.424285e+000
-3.538235e-001	-5.713789e+000
-3.516386e-001	-1.637713e+001
-2.975502e-001	-2.475304e+001
-3.645828e-001	-3.846690e+001
-3.797121e-001	-4.989330e+001
-2.909940e-001	-5.674308e+001
-2.022773e-001	-6.359285e+001
-2.866443e-001	-7.807065e+001
-2.844581e-001	-8.873399e+001
-2.130555e-001	-9.634683e+001
-1.935564e-001	-1.062471e+002
-1.740761e-001	-1.161483e+002
-1.718912e-001	-1.268116e+002
-2.908462e-001	-1.428138e+002
-3.578991e-001	-1.565285e+002
-4.595601e-001	-1.717685e+002
-5.612010e-001	-1.870076e+002
-5.071126e-001	-1.953835e+002
-5.049276e-001	-2.060468e+002
-4.854272e-001	-2.159471e+002
-3.621212e-001	-2.212725e+002
-3.772302e-001	-2.326980e+002
-3.923595e-001	-2.441244e+002
-3.209581e-001	-2.517373e+002
-3.187719e-001	-2.624007e+002
-2.819775e-001	-2.715387e+002
-1.759655e-001	-2.776263e+002
-2.776064e-001	-2.928654e+002
-2.235179e-001	-3.012413e+002
-2.040390e-001	-3.111425e+002
-1.845386e-001	-3.210427e+002
-1.996678e-001	-3.324692e+002
-1.974816e-001	-3.431325e+002
-1.780026e-001	-3.530337e+002
-2.104259e-001	-3.652223e+002
-1.736327e-001	-3.743604e+002
-2.233701e-001	-3.873120e+002
-2.038912e-001	-3.972132e+002
-9.785896e-002	-4.032999e+002
-1.303024e-001	-4.154894e+002
-1.454114e-001	-4.269149e+002
-7.401009e-002	-4.345277e+002
-1.992041e-002	-4.429037e+002
5.148091e-002	-4.505165e+002
8.827657e-002	-4.596546e+002
2.462311e-001	-4.634530e+002
2.483959e-001	-4.741172e+002
2.159752e-001	-4.863058e+002
7.892532e-001	-4.718003e+002
1.310611e+000	-4.595831e+002
1.243577e+000	-4.732970e+002
1.211157e+000	-4.854855e+002
1.369089e+000	-4.892848e+002
3.655676e+000	-3.992719e+002
7.361363e+000	-2.467175e+002
9.249898e+000	-1.742471e+002
