    nm         	pN
0.000000e+000	5.946638e+002
-4.968198e-002	5.817146e+002
-9.935893e-002	5.687656e+002
-6.261114e-002	5.596255e+002
-1.122881e-001	5.466765e+002
-1.446861e-001	5.344891e+002
-1.943631e-001	5.215401e+002
-1.749005e-001	5.116382e+002
-1.900083e-001	5.002127e+002
-2.051148e-001	4.887873e+002
-2.720820e-001	4.750763e+002
-2.871898e-001	4.636508e+002
-2.850124e-001	4.529871e+002
-2.482590e-001	4.438473e+002
-3.325114e-001	4.293745e+002
-3.821940e-001	4.164253e+002
-3.973011e-001	4.049998e+002
-4.469825e-001	3.920507e+002
-4.793755e-001	3.798634e+002
-4.771981e-001	3.691997e+002
-5.441653e-001	3.554887e+002
-5.419873e-001	3.448251e+002
-5.398042e-001	3.341616e+002
-5.894868e-001	3.212124e+002
-5.527340e-001	3.120725e+002
-5.678455e-001	3.006469e+002
-6.348134e-001	2.869359e+002
-6.153457e-001	2.770342e+002
-6.650278e-001	2.640850e+002
-7.319949e-001	2.503740e+002
-7.471078e-001	2.389483e+002
-7.794945e-001	2.267613e+002
-8.118925e-001	2.145739e+002
-8.615745e-001	2.016246e+002
-9.112565e-001	1.886755e+002
-8.917889e-001	1.787738e+002
-1.010622e+000	1.627770e+002
-1.043009e+000	1.505900e+002
-1.092692e+000	1.376408e+002
-9.867880e-001	1.315484e+002
-9.500452e-001	1.224081e+002
-9.651467e-001	1.109829e+002
-1.066684e+000	9.574833e+001
-1.029931e+000	8.660844e+001
-1.027759e+000	7.594454e+001
-1.181162e+000	5.842424e+001
-1.109829e+000	5.080832e+001
-1.038506e+000	4.319197e+001
-1.088188e+000	3.024275e+001
-1.103299e+000	1.881709e+001
-1.135687e+000	6.630091e+000
-1.219940e+000	-7.842660e+000
-1.200482e+000	-1.774478e+001
-1.215584e+000	-2.917000e+001
-1.196116e+000	-3.907168e+001
-1.263083e+000	-5.278267e+001
-1.330061e+000	-6.649409e+001
-1.466169e+000	-8.325218e+001
-1.498565e+000	-9.543962e+001
-1.513678e+000	-1.068653e+002
-1.476925e+000	-1.160052e+002
-1.457458e+000	-1.259069e+002
-1.541710e+000	-1.403796e+002
-1.608677e+000	-1.540906e+002
-1.641074e+000	-1.662781e+002
-1.638892e+000	-1.769415e+002
-1.602139e+000	-1.860814e+002
-1.669106e+000	-1.997924e+002
-1.701503e+000	-2.119799e+002
-1.664750e+000	-2.211198e+002
-1.610712e+000	-2.294979e+002
-1.643109e+000	-2.416853e+002
-1.761931e+000	-2.576816e+002
-1.725179e+000	-2.668215e+002
-1.722996e+000	-2.774850e+002
-1.755394e+000	-2.896724e+002
-1.753221e+000	-3.003363e+002
-1.820188e+000	-3.140473e+002
-1.852576e+000	-3.262343e+002
-1.988693e+000	-3.429928e+002
-1.951940e+000	-3.521327e+002
-1.984338e+000	-3.643202e+002
-2.016726e+000	-3.765072e+002
-2.031837e+000	-3.879328e+002
-1.995085e+000	-3.970728e+002
-2.010196e+000	-4.084984e+002
-1.731423e+000	-4.069722e+002
-1.694670e+000	-4.161120e+002
-8.800188e-001	-3.909690e+002
-9.992551e-002	-3.673491e+002
4.727151e-001	-3.528718e+002
3.586511e+000	-2.264027e+002
4.124581e+000	-2.134490e+002
4.213189e+000	-2.203035e+002
4.612969e+000	-2.134444e+002
4.546001e+000	-2.271554e+002
4.323449e+000	-2.477233e+002
4.723228e+000	-2.408641e+002
4.535245e+000	-2.599084e+002
4.900455e+000	-2.545729e+002
5.144649e+000	-2.545706e+002
5.233257e+000	-2.614252e+002
5.200859e+000	-2.736126e+002
5.254909e+000	-2.819903e+002
5.395371e+000	-2.865596e+002
5.501274e+000	-2.926519e+002
