    nm         	pN
0.000000e+000	5.369007e+002
-3.241190e-002	5.247126e+002
-6.483387e-002	5.125241e+002
-4.535113e-002	5.026231e+002
2.602627e-002	4.950091e+002
-1.101951e-001	4.782460e+002
-1.772126e-001	4.645328e+002
-1.058353e-001	4.569188e+002
-6.905534e-002	4.477801e+002
-1.360735e-001	4.340669e+002
-2.203883e-001	4.195914e+002
-3.047055e-001	4.051158e+002
-2.333281e-001	3.975018e+002
-1.792492e-001	3.891255e+002
-1.943626e-001	3.776998e+002
-3.478811e-001	3.601744e+002
-3.803025e-001	3.479859e+002
-3.089163e-001	3.403723e+002
-2.721351e-001	3.312336e+002
-3.391634e-001	3.175200e+002
-4.407772e-001	3.022821e+002
-3.866988e-001	2.939057e+002
-2.807158e-001	2.878169e+002
-2.958393e-001	2.763907e+002
-4.666556e-001	2.581030e+002
-5.336738e-001	2.443897e+002
-4.622971e-001	2.367757e+002
-4.947083e-001	2.245877e+002
-5.790249e-001	2.101121e+002
-6.460425e-001	1.963989e+002
-5.919635e-001	1.880226e+002
-5.032884e-001	1.811709e+002
-5.011040e-001	1.705076e+002
-5.854200e-001	1.560320e+002
-6.005436e-001	1.446058e+002
-6.156677e-001	1.331796e+002
-5.788866e-001	1.240410e+002
-6.285963e-001	1.110905e+002
-6.956246e-001	9.737688e+001
-6.415355e-001	8.900099e+001
-6.393613e-001	7.833718e+001
-6.717731e-001	6.614911e+001
-6.176936e-001	5.777277e+001
-6.674133e-001	4.482191e+001
-5.960372e-001	3.720792e+001
-5.246598e-001	2.959394e+001
-5.916774e-001	1.588072e+001
-6.586962e-001	2.167504e+000
-7.084147e-001	-1.078335e+001
-7.062310e-001	-2.144673e+001
-6.175457e-001	-2.829792e+001
-5.461683e-001	-3.591190e+001
-6.131872e-001	-4.962512e+001
-5.072142e-001	-5.571441e+001
-4.012299e-001	-6.180324e+001
-4.682487e-001	-7.551647e+001
-4.487659e-001	-8.541750e+001
-5.330813e-001	-9.989306e+001
-4.617052e-001	-1.075070e+002
-4.941259e-001	-1.196956e+002
-4.400476e-001	-1.280719e+002
-4.897673e-001	-1.410228e+002
-4.702846e-001	-1.509238e+002
-5.026965e-001	-1.631119e+002
-3.448188e-001	-1.669137e+002
-5.156357e-001	-1.852014e+002
-5.826533e-001	-1.989146e+002
-5.977774e-001	-2.103408e+002
-5.955925e-001	-2.210042e+002
-4.896195e-001	-2.270935e+002
-4.009355e-001	-2.339447e+002
-5.025588e-001	-2.491830e+002
-5.349706e-001	-2.613711e+002
-4.808910e-001	-2.697474e+002
-4.095149e-001	-2.773614e+002
-4.073299e-001	-2.880248e+002
-4.224541e-001	-2.994510e+002
-4.375670e-001	-3.108767e+002
-3.661896e-001	-3.184907e+002
-2.948135e-001	-3.261046e+002
-2.407338e-001	-3.344810e+002
-2.212524e-001	-3.443820e+002
-1.671728e-001	-3.527583e+002
-9.578655e-002	-3.603719e+002
-1.109095e-001	-3.717980e+002
2.026711e-001	-3.687378e+002
5.508485e-001	-3.641529e+002
5.530221e-001	-3.748167e+002
9.876998e-001	-3.664196e+002
1.387781e+000	-3.595472e+002
1.649456e+000	-3.587745e+002
2.533926e+000	-3.305545e+002
4.317987e+000	-2.626885e+002
5.167858e+000	-2.359933e+002
4.893243e+000	-2.588555e+002
4.981928e+000	-2.657067e+002
4.966804e+000	-2.771329e+002
5.228481e+000	-2.763602e+002
5.732362e+000	-2.649132e+002
6.582233e+000	-2.382180e+002
6.774706e+000	-2.404951e+002
6.915286e+000	-2.450593e+002
7.246166e+000	-2.412367e+002
8.372838e+000	-2.023425e+002
8.755610e+000	-1.962329e+002
9.397885e+000	-1.786867e+002
