    nm         	pN
0.000000e+000	6.309277e+002
-3.240308e-002	6.187400e+002
-6.479735e-002	6.065527e+002
-2.803696e-002	5.974131e+002
-7.772902e-002	5.844635e+002
-4.096863e-002	5.753239e+002
-5.608399e-002	5.638981e+002
-1.749307e-001	5.479007e+002
-1.900461e-001	5.364749e+002
-1.705747e-001	5.265734e+002
-1.683910e-001	5.159100e+002
-1.835063e-001	5.044842e+002
-2.504874e-001	4.907726e+002
-1.964380e-001	4.823950e+002
-2.461313e-001	4.694453e+002
-2.785250e-001	4.572580e+002
-3.973817e-001	4.412602e+002
-4.470744e-001	4.283105e+002
-5.140561e-001	4.145989e+002
-4.772951e-001	4.054593e+002
-5.442761e-001	3.917477e+002
-5.939694e-001	3.787980e+002
-6.090741e-001	3.673727e+002
-5.896121e-001	3.574708e+002
-5.701407e-001	3.475693e+002
-6.371217e-001	3.338577e+002
-6.176497e-001	3.239562e+002
-6.846307e-001	3.102446e+002
-6.305814e-001	3.018669e+002
-5.938210e-001	2.927274e+002
-6.780910e-001	2.782538e+002
-7.796588e-001	2.630180e+002
-7.601874e-001	2.531164e+002
-7.407154e-001	2.432149e+002
-7.904087e-001	2.302653e+002
-8.228118e-001	2.180776e+002
-8.897929e-001	2.043660e+002
-9.048981e-001	1.929406e+002
-9.200135e-001	1.815148e+002
-9.178304e-001	1.708514e+002
-9.848108e-001	1.571398e+002
-1.069081e+000	1.426662e+002
-1.084196e+000	1.312404e+002
-1.099312e+000	1.198146e+002
-1.148995e+000	1.068654e+002
-1.164110e+000	9.543962e+001
-1.248380e+000	8.096609e+001
-1.211620e+000	7.182652e+001
-1.244023e+000	5.963879e+001
-1.259128e+000	4.821343e+001
-1.256955e+000	3.754956e+001
-1.323936e+000	2.383796e+001
-1.339041e+000	1.241260e+001
-1.319580e+000	2.510656e+000
-1.403850e+000	-1.196285e+001
-1.470831e+000	-2.567445e+001
-1.485936e+000	-3.709981e+001
-1.483762e+000	-4.776369e+001
-1.498868e+000	-5.918904e+001
-1.548560e+000	-7.213870e+001
-1.529088e+000	-8.204020e+001
-1.613368e+000	-9.651417e+001
-1.628474e+000	-1.079395e+002
-1.574424e+000	-1.163172e+002
-1.606829e+000	-1.285049e+002
-1.656521e+000	-1.414546e+002
-1.637049e+000	-1.513561e+002
-1.669452e+000	-1.635438e+002
-1.580816e+000	-1.703971e+002
-1.595931e+000	-1.818229e+002
-1.611037e+000	-1.932483e+002
-1.591564e+000	-2.031498e+002
-1.589392e+000	-2.138137e+002
-1.621786e+000	-2.260010e+002
-1.688766e+000	-2.397126e+002
-1.703882e+000	-2.511384e+002
-1.840027e+000	-2.678981e+002
-1.837845e+000	-2.785616e+002
-1.852960e+000	-2.899874e+002
-1.919940e+000	-3.036990e+002
-1.865893e+000	-3.120766e+002
-1.898286e+000	-3.242639e+002
-1.792369e+000	-3.303557e+002
-1.790187e+000	-3.410192e+002
-1.805304e+000	-3.524450e+002
-1.733955e+000	-3.600602e+002
-1.783647e+000	-3.730099e+002
-1.781475e+000	-3.836738e+002
-1.762001e+000	-3.935753e+002
-1.846271e+000	-4.080488e+002
-1.895963e+000	-4.209984e+002
-1.859203e+000	-4.301380e+002
-1.891608e+000	-4.423258e+002
-1.958589e+000	-4.560373e+002
-1.990982e+000	-4.682246e+002
-1.954222e+000	-4.773642e+002
-1.969336e+000	-4.887900e+002
-2.001742e+000	-5.009778e+002
-1.895815e+000	-5.070692e+002
-1.980085e+000	-5.215427e+002
-1.977913e+000	-5.322066e+002
-1.871987e+000	-5.382980e+002
-1.852515e+000	-5.481994e+002
-1.781179e+000	-5.558152e+002
-1.761705e+000	-5.657167e+002
-1.638493e+000	-5.710462e+002
-1.307797e+000	-5.672316e+002
-9.943977e-001	-5.641794e+002
-8.366070e-001	-5.679850e+002
-6.269391e-001	-5.695044e+002
-4.864373e-001	-5.740720e+002
-4.496769e-001	-5.832115e+002
1.558176e+000	-5.054827e+002
2.787971e+000	-4.620438e+002
4.934154e+000	-3.782186e+002
6.336847e+000	-3.271600e+002
6.494635e+000	-3.309656e+002
6.687014e+000	-3.332469e+002
6.879382e+000	-3.355287e+002
7.227367e+000	-3.309522e+002
7.575355e+000	-3.263757e+002
8.009791e+000	-3.179891e+002
8.271323e+000	-3.172227e+002
8.342672e+000	-3.248380e+002
8.656071e+000	-3.217858e+002
8.606379e+000	-3.347354e+002
8.885210e+000	-3.332067e+002
9.025712e+000	-3.377742e+002
9.494728e+000	-3.278638e+002
9.877293e+000	-3.217634e+002
1.043276e+001	-3.080429e+002
1.053868e+001	-3.141343e+002
1.078293e+001	-3.141298e+002
1.159776e+001	-2.889790e+002
1.156535e+001	-3.011667e+002
1.229373e+001	-2.798260e+002
1.283190e+001	-2.668678e+002
1.305885e+001	-2.676253e+002
1.351058e+001	-2.584768e+002
1.377212e+001	-2.577104e+002
1.489817e+001	-2.188435e+002
1.605880e+001	-1.784528e+002
1.638950e+001	-1.746382e+002
1.630523e+001	-1.891117e+002
1.667050e+001	-1.837733e+002
1.662081e+001	-1.967230e+002
1.693422e+001	-1.936703e+002
1.707472e+001	-1.982379e+002
1.678296e+001	-2.218559e+002
1.720010e+001	-2.142312e+002
1.735790e+001	-2.180368e+002
1.734279e+001	-2.294622e+002
1.746600e+001	-2.347917e+002
1.771025e+001	-2.347872e+002
1.759139e+001	-2.507850e+002
1.747253e+001	-2.667829e+002
1.721537e+001	-2.888761e+002
1.778813e+001	-2.743937e+002
1.836088e+001	-2.599112e+002
1.857055e+001	-2.614306e+002
1.857272e+001	-2.720945e+002
1.845388e+001	-2.880918e+002
1.831773e+001	-3.048516e+002
1.899423e+001	-2.857971e+002
1.920390e+001	-2.873165e+002
1.939627e+001	-2.895982e+002
1.965781e+001	-2.888314e+002
1.991934e+001	-2.880650e+002
2.002526e+001	-2.941568e+002
2.075363e+001	-2.728161e+002
2.175865e+001	-2.392832e+002
2.264264e+001	-2.110847e+002
2.276585e+001	-2.164142e+002
2.281990e+001	-2.247918e+002
2.277021e+001	-2.377415e+002
2.363690e+001	-2.103048e+002
2.426154e+001	-1.935362e+002
2.476513e+001	-1.821018e+002
2.554537e+001	-1.584753e+002
2.582420e+001	-1.569466e+002
2.605116e+001	-1.577040e+002
2.677952e+001	-1.363637e+002
2.690273e+001	-1.416932e+002
2.700866e+001	-1.477846e+002
2.709729e+001	-1.546384e+002
2.727238e+001	-1.576817e+002
2.725726e+001	-1.691075e+002
2.762253e+001	-1.637690e+002
2.772846e+001	-1.698604e+002
2.771334e+001	-1.812862e+002
2.787115e+001	-1.850914e+002
2.795977e+001	-1.919452e+002
2.777176e+001	-2.109908e+002
2.818890e+001	-2.033665e+002
2.827754e+001	-2.102199e+002
2.848720e+001	-2.117393e+002
2.873145e+001	-2.117348e+002
2.862988e+001	-2.269707e+002
2.864935e+001	-2.368722e+002
2.934314e+001	-2.170558e+002
3.033087e+001	-1.842848e+002
3.204479e+001	-1.195101e+002
3.287691e+001	-9.359731e+001
3.327676e+001	-8.673503e+001
3.345185e+001	-8.977828e+001
3.369609e+001	-8.977381e+001
