    nm         	pN
0.000000e+000	6.279826e+002
3.674150e-002	6.188421e+002
5.620283e-002	6.089402e+002
6.535962e-003	5.959916e+002
8.718395e-003	5.853282e+002
-6.389410e-003	5.739027e+002
-2.148588e-002	5.624777e+002
-5.387259e-002	5.502908e+002
-1.035407e-001	5.373422e+002
-1.186372e-001	5.259172e+002
-1.855842e-001	5.122071e+002
-1.488427e-001	5.030667e+002
-1.812294e-001	4.908797e+002
-2.308963e-001	4.779312e+002
-2.805625e-001	4.649827e+002
-2.956609e-001	4.535576e+002
-3.971758e-001	4.383241e+002
-3.431548e-001	4.299452e+002
-3.582519e-001	4.185202e+002
-3.906399e-001	4.063332e+002
-4.575862e-001	3.926231e+002
-4.899723e-001	3.804362e+002
-5.223496e-001	3.682496e+002
-5.374574e-001	3.568242e+002
-5.871242e-001	3.438756e+002
-5.503827e-001	3.347352e+002
-6.346081e-001	3.202636e+002
-6.669960e-001	3.080766e+002
-7.339425e-001	2.943666e+002
-7.144805e-001	2.844646e+002
-6.777390e-001	2.753242e+002
-8.138136e-001	2.585676e+002
-8.461908e-001	2.463810e+002
-8.267396e-001	2.364786e+002
-8.245571e-001	2.258152e+002
-8.569438e-001	2.136282e+002
-9.238902e-001	1.999181e+002
-9.735565e-001	1.869696e+002
-8.849669e-001	1.801142e+002
-8.827946e-001	1.694503e+002
-9.670206e-001	1.549787e+002
-9.994072e-001	1.427917e+002
-9.626657e-001	1.336513e+002
-9.950436e-001	1.214648e+002
-1.010150e+000	1.100393e+002
-1.007968e+000	9.937581e+001
-1.005797e+000	8.871189e+001
-1.003614e+000	7.804841e+001
-1.087840e+000	6.357682e+001
-1.154786e+000	4.986675e+001
-1.135325e+000	3.996481e+001
-1.150432e+000	2.853935e+001
-1.096411e+000	2.016047e+001
-1.111508e+000	8.735461e+000
-1.178454e+000	-4.974590e+000
-1.193562e+000	-1.640004e+001
-1.260508e+000	-3.011011e+001
-1.241046e+000	-4.001205e+001
-1.342563e+000	-5.524562e+001
-1.340380e+000	-6.590910e+001
-1.355478e+000	-7.733411e+001
-1.336025e+000	-8.723650e+001
-1.316564e+000	-9.713845e+001
-1.297102e+000	-1.070404e+002
-1.381327e+000	-1.215120e+002
-1.361876e+000	-1.314144e+002
-1.376974e+000	-1.428394e+002
-1.426641e+000	-1.557879e+002
-1.476308e+000	-1.687364e+002
-1.456845e+000	-1.786384e+002
-1.437384e+000	-1.885403e+002
-1.521610e+000	-2.030119e+002
-1.588555e+000	-2.167220e+002
-1.655513e+000	-2.304325e+002
-1.670610e+000	-2.418575e+002
-1.633867e+000	-2.509979e+002
-1.683534e+000	-2.639464e+002
-1.767760e+000	-2.784180e+002
-1.782868e+000	-2.898435e+002
-1.849814e+000	-3.035535e+002
-1.795795e+000	-3.119325e+002
-1.741773e+000	-3.203113e+002
-1.774148e+000	-3.324978e+002
-1.771976e+000	-3.431618e+002
-1.787075e+000	-3.545868e+002
-1.767614e+000	-3.644887e+002
-1.765441e+000	-3.751527e+002
-1.780538e+000	-3.865777e+002
-1.761077e+000	-3.964797e+002
-1.758904e+000	-4.071436e+002
-1.894981e+000	-4.239002e+002
-1.944638e+000	-4.368483e+002
-1.856056e+000	-4.437041e+002
-1.871162e+000	-4.551295e+002
-1.920819e+000	-4.680776e+002
-1.970486e+000	-4.810261e+002
-1.951024e+000	-4.909281e+002
-1.966131e+000	-5.023535e+002
-1.877551e+000	-5.092093e+002
-1.858090e+000	-5.191113e+002
-1.838629e+000	-5.290133e+002
-1.888296e+000	-5.419618e+002
-1.868832e+000	-5.518637e+002
-1.832092e+000	-5.610041e+002
-1.864477e+000	-5.731911e+002
-1.914144e+000	-5.861396e+002
-1.877404e+000	-5.952801e+002
-1.857942e+000	-6.051820e+002
-1.873039e+000	-6.166070e+002
-1.991836e+000	-6.326021e+002
-1.834126e+000	-6.364114e+002
-1.797386e+000	-6.455518e+002
-1.812482e+000	-6.569768e+002
-1.827589e+000	-6.684023e+002
-1.946384e+000	-6.843973e+002
-1.857794e+000	-6.912527e+002
-1.907461e+000	-7.042013e+002
-1.818869e+000	-7.110566e+002
-1.799421e+000	-7.209590e+002
-1.918203e+000	-7.369537e+002
-1.777774e+000	-7.415244e+002
-1.827441e+000	-7.544729e+002
-1.842550e+000	-7.658984e+002
