    nm         	nN
0.000000e+000	-6.972494e+000
1.946385e-002	-6.982396e+000
7.349055e-002	-6.990775e+000
5.838149e-002	-7.002200e+000
6.056392e-002	-7.012864e+000
1.089201e-002	-7.025812e+000
-3.877990e-002	-7.038761e+000
-5.387888e-002	-7.050186e+000
-6.898795e-002	-7.061612e+000
-1.186599e-001	-7.074560e+000
-1.510403e-001	-7.086747e+000
-2.007122e-001	-7.099696e+000
-2.331026e-001	-7.111883e+000
-3.000560e-001	-7.125593e+000
-3.324465e-001	-7.137781e+000
-3.302640e-001	-7.148444e+000
-3.626545e-001	-7.160631e+000
-3.604721e-001	-7.171295e+000
-4.101440e-001	-7.184243e+000
-4.252531e-001	-7.195669e+000
-4.057892e-001	-7.205571e+000
-4.036068e-001	-7.216234e+000
-3.668615e-001	-7.225375e+000
-3.992520e-001	-7.237562e+000
-4.143510e-001	-7.248987e+000
-4.121786e-001	-7.259651e+000
-4.964134e-001	-7.274123e+000
-5.115224e-001	-7.285548e+000
-4.920586e-001	-7.295450e+000
-5.071576e-001	-7.306875e+000
-5.568295e-001	-7.319824e+000
-5.719386e-001	-7.331249e+000
-6.734547e-001	-7.346483e+000
-7.404081e-001	-7.360193e+000
-7.209442e-001	-7.370095e+000
-7.360533e-001	-7.381521e+000
-8.202880e-001	-7.395993e+000
-8.872413e-001	-7.409703e+000
-8.677775e-001	-7.419605e+000
-8.483237e-001	-7.429507e+000
-8.288599e-001	-7.439409e+000
-8.612402e-001	-7.451596e+000
-8.936408e-001	-7.463783e+000
-8.741669e-001	-7.473685e+000
-9.065674e-001	-7.485872e+000
-9.389479e-001	-7.498059e+000
-9.367654e-001	-7.508723e+000
-9.518745e-001	-7.520148e+000
-1.001546e+000	-7.533097e+000
-1.033927e+000	-7.545284e+000
-1.066327e+000	-7.557471e+000
-1.098708e+000	-7.569658e+000
-1.113817e+000	-7.581083e+000
-1.180760e+000	-7.594793e+000
-1.109452e+000	-7.602410e+000
-1.124561e+000	-7.613836e+000
-1.191504e+000	-7.627546e+000
-1.154759e+000	-7.636686e+000
-1.187160e+000	-7.648874e+000
-1.288666e+000	-7.664107e+000
-1.234649e+000	-7.672486e+000
-1.249758e+000	-7.683911e+000
-1.282139e+000	-7.696098e+000
-1.279956e+000	-7.706761e+000
-1.174085e+000	-7.712855e+000
-1.171903e+000	-7.723519e+000
-1.169720e+000	-7.734182e+000
-1.184829e+000	-7.745608e+000
-1.182647e+000	-7.756271e+000
-1.180465e+000	-7.766935e+000
-1.247428e+000	-7.780645e+000
-1.331663e+000	-7.795117e+000
-1.433189e+000	-7.810351e+000
-1.379152e+000	-7.818730e+000
-1.376970e+000	-7.829393e+000
-1.357516e+000	-7.839295e+000
-1.407188e+000	-7.852244e+000
-1.405005e+000	-7.862908e+000
-1.368260e+000	-7.872048e+000
-1.366078e+000	-7.882711e+000
-1.484875e+000	-7.898707e+000
-1.482713e+000	-7.909371e+000
-1.497802e+000	-7.920796e+000
-1.495640e+000	-7.931460e+000
-1.458894e+000	-7.940600e+000
-1.491275e+000	-7.952787e+000
-1.540947e+000	-7.965736e+000
-1.504201e+000	-7.974876e+000
-1.484748e+000	-7.984778e+000
-1.534419e+000	-7.997727e+000
-1.601363e+000	-8.011437e+000
-1.616472e+000	-8.022862e+000
-1.631581e+000	-8.034288e+000
-1.594836e+000	-8.043428e+000
-1.523507e+000	-8.051044e+000
-1.555908e+000	-8.063232e+000
-1.588288e+000	-8.075419e+000
-1.568835e+000	-8.085321e+000
-1.411109e+000	-8.089129e+000
-1.443490e+000	-8.101316e+000
-1.337619e+000	-8.107410e+000
-1.318145e+000	-8.117311e+000
-1.125857e+000	-8.119597e+000
-1.037257e+000	-8.126452e+000
-7.931145e-001	-8.126452e+000
-6.353892e-001	-8.130260e+000
-4.258096e-001	-8.131783e+000
1.294186e-001	-8.118073e+000
4.599783e-001	-8.114265e+000
5.485779e-001	-8.121120e+000
8.618461e-001	-8.118073e+000
1.486220e+000	-8.101316e+000
2.058740e+000	-8.086844e+000
2.493008e+000	-8.078465e+000
2.702568e+000	-8.079989e+000
2.894876e+000	-8.082274e+000
4.296985e+000	-8.031241e+000
6.062033e+000	-7.964212e+000
7.204910e+000	-7.924604e+000
7.535470e+000	-7.920796e+000
7.952426e+000	-7.913179e+000
8.041027e+000	-7.920034e+000
8.198752e+000	-7.923843e+000
8.667583e+000	-7.913941e+000
8.928996e+000	-7.913179e+000
8.931179e+000	-7.923843e+000
9.296302e+000	-7.918511e+000
