    nm         	pN
0.000000e+000	5.756702e+002
5.402796e-002	5.672916e+002
-1.292789e-002	5.535811e+002
-1.074546e-002	5.429177e+002
4.328376e-002	5.345391e+002
-2.367209e-002	5.208287e+002
-4.206978e-003	5.109269e+002
-1.230197e-001	4.949310e+002
-1.035546e-001	4.850292e+002
-1.186548e-001	4.736040e+002
-1.856207e-001	4.598931e+002
-2.352851e-001	4.469447e+002
-2.158307e-001	4.370424e+002
-2.309297e-001	4.256173e+002
-1.941831e-001	4.164772e+002
-1.920108e-001	4.058132e+002
-2.243931e-001	3.936265e+002
-2.395021e-001	3.822009e+002
-2.027556e-001	3.730607e+002
-2.178546e-001	3.616357e+002
-1.811081e-001	3.524955e+002
-2.999101e-001	3.365001e+002
-3.323119e-001	3.243124e+002
-3.992577e-001	3.106024e+002
-4.143673e-001	2.991768e+002
-4.467490e-001	2.869901e+002
-4.618587e-001	2.755645e+002
-4.424043e-001	2.656623e+002
-4.402219e-001	2.549988e+002
-5.763154e-001	2.382413e+002
-5.395695e-001	2.291011e+002
-5.201145e-001	2.191989e+002
-5.697681e-001	2.062509e+002
-5.676064e-001	1.955866e+002
-6.345522e-001	1.818765e+002
-6.496613e-001	1.704510e+002
-6.820429e-001	1.582642e+002
-6.798605e-001	1.476008e+002
-6.258414e-001	1.392218e+002
-6.236590e-001	1.285583e+002
-6.214765e-001	1.178948e+002
-6.711509e-001	1.049460e+002
-7.035528e-001	9.275838e+001
-6.668049e-001	8.361820e+001
-6.818952e-001	7.219353e+001
-6.624401e-001	6.229127e+001
-5.738380e-001	5.543646e+001
-6.753680e-001	4.020225e+001
-7.423138e-001	2.649221e+001
-7.747156e-001	1.430457e+001
-8.070972e-001	2.117829e+000
-8.740619e-001	-1.159308e+001
-8.718795e-001	-2.225655e+001
-9.215539e-001	-3.520539e+001
-9.193715e-001	-4.586885e+001
-8.826249e-001	-5.500903e+001
-9.150066e-001	-6.719579e+001
-8.955516e-001	-7.709805e+001
-8.933692e-001	-8.776152e+001
-8.739141e-001	-9.766378e+001
-8.026035e-001	-1.052807e+002
-7.831283e-001	-1.151821e+002
-9.019309e-001	-1.311775e+002
-8.997686e-001	-1.418418e+002
-9.667144e-001	-1.555519e+002
-8.954038e-001	-1.631688e+002
-9.450769e-001	-1.761176e+002
-1.012043e+000	-1.898285e+002
-1.044425e+000	-2.020153e+002
-1.042243e+000	-2.126787e+002
-9.882041e-001	-2.210568e+002
-1.055170e+000	-2.347678e+002
-1.070279e+000	-2.461933e+002
-1.068097e+000	-2.568568e+002
-1.048643e+000	-2.667590e+002
-9.600382e-001	-2.736138e+002
-9.924211e-001	-2.858006e+002
-9.556733e-001	-2.949408e+002
-9.880764e-001	-3.071284e+002
-9.513286e-001	-3.162686e+002
-9.145821e-001	-3.254088e+002
-9.296722e-001	-3.368334e+002
-8.583616e-001	-3.444503e+002
-9.425989e-001	-3.589224e+002
-9.404366e-001	-3.695868e+002
-8.863973e-001	-3.779649e+002
-7.459383e-001	-3.825343e+002
