    nm         	pN
0.000000e+000	3.960565e+002
2.975066e-002	3.929503e+002
-8.877452e-002	3.876957e+002
-1.084485e-001	3.838734e+002
-1.281321e-001	3.800509e+002
-1.478061e-001	3.762286e+002
-3.568100e-002	3.743158e+002
-2.036308e-001	3.683452e+002
-1.738878e-001	3.652388e+002
-3.583049e-001	3.590296e+002
-3.779865e-001	3.552072e+002
-3.976624e-001	3.513848e+002
-4.502881e-001	3.470851e+002
-3.711128e-001	3.446949e+002
-4.566882e-001	3.399178e+002
-5.257868e-001	3.353793e+002
-5.619434e-001	3.313182e+002
-5.980941e-001	3.272571e+002
-6.671947e-001	3.227187e+002
-5.221275e-001	3.212832e+002
-5.088517e-001	3.179383e+002
-4.626281e-001	3.150707e+002
-4.658349e-001	3.114870e+002
-4.196113e-001	3.086194e+002
-5.710862e-001	3.028875e+002
-5.413356e-001	2.997812e+002
-5.939593e-001	2.954815e+002
-5.477434e-001	2.926138e+002
-5.179927e-001	2.895076e+002
-6.694657e-001	2.837757e+002
-8.538904e-001	2.775663e+002
-8.076668e-001	2.746988e+002
-7.943910e-001	2.713538e+002
-7.975920e-001	2.677702e+002
-6.195751e-001	2.668121e+002
-6.886737e-001	2.622737e+002
-6.259829e-001	2.596447e+002
-5.468076e-001	2.572546e+002
-6.159082e-001	2.527161e+002
-6.685396e-001	2.484163e+002
-6.882155e-001	2.445939e+002
-7.243643e-001	2.405329e+002
-5.463474e-001	2.395748e+002
-4.836489e-001	2.369459e+002
-6.186480e-001	2.314527e+002
-7.536471e-001	2.259595e+002
-8.556975e-001	2.209436e+002
-6.776796e-001	2.199856e+002
-6.314559e-001	2.171180e+002
-6.676048e-001	2.130570e+002
-6.543386e-001	2.097119e+002
-8.881793e-001	2.027866e+002
-7.266382e-001	2.015898e+002
-6.639378e-001	1.989610e+002
-8.318877e-001	1.929903e+002
-8.186128e-001	1.896454e+002
-8.053447e-001	1.863003e+002
-6.767458e-001	1.846263e+002
-6.140540e-001	1.819973e+002
-4.689868e-001	1.805618e+002
-5.710285e-001	1.755461e+002
-6.566039e-001	1.707690e+002
-6.268609e-001	1.676626e+002
-5.641614e-001	1.650338e+002
-6.003122e-001	1.609727e+002
-3.728707e-001	1.607307e+002
-2.937030e-001	1.583405e+002
-5.934424e-001	1.504604e+002
-4.648520e-001	1.487862e+002
-4.845279e-001	1.449638e+002
-5.206767e-001	1.409028e+002
-2.108684e-001	1.418542e+002
-1.481680e-001	1.392254e+002
-1.678439e-001	1.354030e+002
-2.204696e-001	1.311033e+002
-1.742517e-001	1.282356e+002
-1.445011e-001	1.251294e+002
-1.806499e-001	1.210683e+002
-2.634931e-003	1.201103e+002
-3.682757e-001	1.112753e+002
-2.067336e-001	1.100786e+002
-1.110911e-001	1.079270e+002
3.398180e-002	1.064917e+002
4.724991e-002	1.031466e+002
-3.832551e-002	9.836945e+001
1.561739e-001	9.765019e+001
2.518165e-001	9.549863e+001
4.627831e-001	9.501795e+001
4.266323e-001	9.095691e+001
4.728560e-001	8.808936e+001
5.025990e-001	8.498299e+001
4.993999e-001	8.139935e+001
6.774168e-001	8.044129e+001
6.247988e-001	7.614165e+001
8.522403e-001	7.589967e+001
1.112632e+000	7.613509e+001
1.241222e+000	7.446092e+001
1.221540e+000	7.063847e+001
1.053598e+000	6.466794e+001
1.182190e+000	6.299377e+001
1.228408e+000	6.012612e+001
1.439373e+000	5.964544e+001
1.551490e+000	5.773258e+001
1.416500e+000	5.223945e+001
1.495666e+000	4.984919e+001
1.706632e+000	4.936851e+001
1.802275e+000	4.721695e+001
1.584908e+000	4.053033e+001
2.075948e+000	4.410753e+001
2.089216e+000	4.076247e+001
1.740050e+000	3.216626e+001
2.000441e+000	3.240168e+001
2.178456e+000	3.144361e+001
1.994041e+000	2.523439e+001
2.139108e+000	2.379892e+001
2.630148e+000	2.737612e+001
2.593989e+000	2.331497e+001
2.195399e+000	1.400266e+001
2.406366e+000	1.352199e+001
2.798556e+000	1.566700e+001
3.124847e+000	1.685721e+001
3.236964e+000	1.494434e+001
3.464406e+000	1.470237e+001
3.856596e+000	1.684738e+001
3.952239e+000	1.469581e+001
4.146729e+000	1.397644e+001
4.703654e+000	1.850821e+001
4.618087e+000	1.373118e+001
4.466620e+000	7.999361e+000
4.875269e+000	1.038284e+001
4.855603e+000	6.560609e+000
4.440538e+000	-2.990383e+000
4.799763e+000	-1.322994e+000
4.961320e+000	-2.519546e+000
5.386445e+000	1.026367e-001
5.317352e+000	-4.435689e+000
5.627168e+000	-3.484176e+000
5.936984e+000	-2.532659e+000
5.867878e+000	-7.071212e+000
6.144744e+000	-6.597090e+000
6.536934e+000	-4.452083e+000
6.204243e+000	-1.280959e+001
